state,county_name,county_id,dem_2018,gop_2018,oth_2018,total_2018
AL,Autauga,01001,5734,13994,21,19749
AL,Baldwin,01003,20464,57415,118,77997
AL,Barbour,01005,4043,4336,11,8390
AL,Bibb,01007,1799,5082,15,6896
AL,Blount,01009,2479,16984,40,19503
AL,Bullock,01011,2729,949,4,3682
AL,Butler,01013,3363,4812,3,8178
AL,Calhoun,01015,12487,24460,92,37039
AL,Chambers,01017,4625,6687,20,11332
AL,Cherokee,01019,1552,6974,15,8541
AL,Chilton,01021,2501,11291,10,13802
AL,Choctaw,01023,2649,3475,7,6131
AL,Clarke,01025,4889,6344,7,11240
AL,Clay,01027,1241,4164,9,5414
AL,Cleburne,01029,508,3902,14,4424
AL,Coffee,01031,3782,12117,73,15972
AL,Colbert,01033,7692,13180,34,20906
AL,Conecuh,01035,2444,2473,7,4924
AL,Coosa,01037,1522,2785,7,4314
AL,Covington,01039,2168,9852,22,12042
AL,Crenshaw,01041,1522,3873,6,5401
AL,Cullman,01043,4309,24361,43,28713
AL,Dale,01045,3731,10528,47,14306
AL,Dallas,01047,10295,4917,8,15220
AL,DeKalb,01049,4087,17316,87,21490
AL,Elmore,01051,7722,21752,31,29505
AL,Escambia,01053,4035,8098,19,12152
AL,Etowah,01055,10513,24041,92,34646
AL,Fayette,01057,2025,5455,9,7489
AL,Franklin,01059,2336,6465,22,8823
AL,Geneva,01061,1220,7784,15,9019
AL,Greene,01063,3506,661,1,4168
AL,Hale,01065,4206,2361,5,6572
AL,Henry,01067,2045,4655,14,6714
AL,Houston,01069,9062,23112,53,32227
AL,Jackson,01071,3569,12074,39,15682
AL,Jefferson,01073,152103,105661,304,258068
AL,Lamar,01075,974,4399,4,5377
AL,Lauderdale,01077,10222,20692,51,30965
AL,Lawrence,01079,3796,8181,25,12002
AL,Lee,01081,20021,29238,74,49333
AL,Limestone,01083,10421,23213,53,33687
AL,Lowndes,01085,3487,1555,4,5046
AL,Macon,01087,5882,1376,2,7260
AL,Madison,01089,65522,75874,244,141640
AL,Marengo,01091,4735,4029,5,8769
AL,Marion,01093,1877,8021,17,9915
AL,Marshall,01095,5193,22031,70,27294
AL,Mobile,01097,63656,69671,158,133485
AL,Monroe,01099,3881,5038,5,8924
AL,Montgomery,01101,48722,28491,62,77275
AL,Morgan,01103,11091,28415,57,39563
AL,Perry,01105,3182,1061,3,4246
AL,Pickens,01107,3672,4636,8,8316
AL,Pike,01109,4176,6226,11,10413
AL,Randolph,01111,1859,5729,12,7600
AL,Russell,01113,7864,7168,17,15049
AL,Shelby,01117,26928,56989,125,84042
AL,St. Clair,01115,6389,23529,55,29973
AL,Sumter,01119,4151,1289,3,5443
AL,Talladega,01121,10606,15621,27,26254
AL,Tallapoosa,01123,5015,10703,25,15743
AL,Tuscaloosa,01125,34336,34335,122,68793
AL,Walker,01127,5468,17671,38,23177
AL,Washington,01129,2172,4729,7,6908
AL,Wilcox,01131,3138,1577,4,4719
AL,Winston,01133,1102,6580,25,7707
AR,Arkansas,05001,1355,3530,77,4962
AR,Ashley,05003,1751,4278,126,6155
AR,Baxter,05005,2978,10694,679,14351
AR,Benton,05007,22316,53185,2033,77534
AR,Boone,05009,2208,9028,387,11623
AR,Bradley,05011,868,1906,80,2854
AR,Calhoun,05013,423,1335,33,1791
AR,Carroll,05015,2968,5796,204,8968
AR,Chicot,05017,1857,1638,56,3551
AR,Clark,05019,2611,3988,132,6731
AR,Clay,05021,782,3218,132,4132
AR,Cleburne,05023,1495,7856,273,9624
AR,Cleveland,05025,513,2020,56,2589
AR,Columbia,05027,2044,4199,99,6342
AR,Conway,05029,1966,4339,160,6465
AR,Craighead,05031,7407,17313,1358,26078
AR,Crawford,05033,3120,13200,540,16860
AR,Crittenden,05035,5833,5775,310,11918
AR,Cross,05037,1498,4108,188,5794
AR,Dallas,05039,773,1316,26,2115
AR,Desha,05041,1560,1833,76,3469
AR,Drew,05043,1606,3658,133,5397
AR,Faulkner,05045,11689,25643,1227,38559
AR,Franklin,05047,916,4204,175,5295
AR,Fulton,05049,900,2829,103,3832
AR,Garland,05051,8865,21969,933,31767
AR,Grant,05053,898,4524,127,5549
AR,Greene,05055,2088,8275,590,10953
AR,Hempstead,05057,1554,3312,105,4971
AR,Hot Spring,05059,2113,6368,258,8739
AR,Howard,05061,974,2489,56,3519
AR,Independence,05063,1928,7733,484,10145
AR,Izard,05065,869,3423,179,4471
AR,Jackson,05067,1067,2998,106,4171
AR,Jefferson,05069,10406,9005,409,19820
AR,Johnson,05071,1672,5546,259,7477
AR,Lafayette,05073,693,1395,43,2131
AR,Lawrence,05075,908,3584,177,4669
AR,Lee,05077,1130,947,42,2119
AR,Lincoln,05079,771,2227,41,3039
AR,Little River,05081,1014,2820,91,3925
