state,county_name,county_id,dem_2022,gop_2022,oth_2022,total_2022,districts_2022
SD,Aurora,46003,179,989,0,1168,1
SD,Beadle,46005,870,4712,0,5582,1
SD,Bennett,46007,258,699,0,957,1
SD,Bon Homme,46009,388,2057,0,2445,1
SD,Brookings,46011,2757,8783,0,11540,1
SD,Brown,46013,2684,10425,0,13109,1
SD,Brule,46015,367,1652,0,2019,1
SD,Buffalo,46017,139,211,0,350,1
SD,Butte,46019,1022,3021,0,4043,1
SD,Campbell,46021,64,583,0,647,1
SD,Charles Mix,46023,572,2391,0,2963,1
SD,Clark,46025,213,1320,0,1533,1
SD,Clay,46027,1163,2971,0,4134,1
SD,Codington,46029,1790,8729,0,10519,1
SD,Corson,46031,269,550,0,819,1
SD,Custer,46033,1023,3753,0,4776,1
SD,Davison,46035,1143,5769,0,6912,1
SD,Day,46037,480,1898,0,2378,1
SD,Deuel,46039,279,1643,0,1922,1
SD,Dewey,46041,519,870,0,1389,1
SD,Douglas,46043,146,1279,0,1425,1
SD,Edmunds,46045,200,1440,0,1640,1
SD,Fall River,46047,759,2700,0,3459,1
SD,Faulk,46049,140,779,0,919,1
SD,Grant,46051,468,2587,0,3055,1
SD,Gregory,46053,280,1690,0,1970,1
SD,Haakon,46055,165,791,0,956,1
SD,Hamlin,46057,366,2255,0,2621,1
SD,Hand,46059,197,1259,0,1456,1
SD,Hanson,46061,233,1336,0,1569,1
SD,Harding,46063,143,518,0,661,1
SD,Hughes,46065,1410,5706,0,7116,1
SD,Hutchinson,46067,358,2690,0,3048,1
SD,Hyde,46069,81,479,0,560,1
SD,Jackson,46071,247,598,0,845,1
SD,Jerauld,46073,105,720,0,825,1
SD,Jones,46075,72,391,0,463,1
SD,Kingsbury,46077,390,2055,0,2445,1
SD,Lake,46079,845,3810,0,4655,1
SD,Lawrence,46081,2999,8479,0,11478,1
SD,Lincoln,46083,5360,21002,0,26362,1
SD,Lyman,46085,267,982,0,1249,1
SD,Marshall,46091,391,1378,0,1769,1
SD,McCook,46087,389,2054,0,2443,1
SD,McPherson,46089,123,953,0,1076,1
SD,Meade,46093,3294,8152,0,11446,1
SD,Mellette,46095,159,429,0,588,1
SD,Miner,46097,133,828,0,961,1
SD,Minnehaha,46099,17765,50693,0,68458,1
SD,Moody,46101,574,1976,0,2550,1
SD,Oglala Lakota,46102,1336,647,0,1983,1
SD,Pennington,46103,11080,31305,0,42385,1
SD,Perkins,46105,282,1060,0,1342,1
SD,Potter,46107,136,944,0,1080,1
SD,Roberts,46109,738,2590,0,3328,1
SD,Sanborn,46111,124,845,0,969,1
SD,Spink,46115,410,2166,0,2576,1
SD,Stanley,46117,272,1129,0,1401,1
SD,Sully,46119,129,625,0,754,1
SD,Todd,46121,947,677,0,1624,1
SD,Tripp,46123,325,1865,0,2190,1
SD,Turner,46125,561,3174,0,3735,1
SD,Union,46127,1139,5180,0,6319,1
SD,Walworth,46129,271,1691,0,1962,1
SD,Yankton,46135,1804,6499,0,8303,1
SD,Ziebach,46137,228,389,0,617,1
TN,Anderson,47001,6715,13969,350,21034,3
TN,Bedford,47003,1798,7942,453,10193,4
TN,Benton,47005,736,3229,95,4060,7;8
TN,Bledsoe,47007,442,2836,80,3358,4
TN,Blount,47009,9472,30042,0,39514,2
TN,Bradley,47011,4167,20136,366,24669,3
TN,Campbell,47013,1206,6204,61,7471,2;3
