state,county_name,county_id,dem_2022,gop_2022,oth_2022,total_2022
AL,Autauga,01001,3814,13359,567,17740
AL,Baldwin,01003,11478,59501,2218,73197
AL,Barbour,01005,2620,3861,62,6543
AL,Bibb,01007,971,4694,204,5869
AL,Blount,01009,1130,14904,552,16586
AL,Bullock,01011,1827,785,32,2644
AL,Butler,01013,2039,3789,81,5909
AL,Calhoun,01015,7365,22008,708,30081
AL,Chambers,01017,2997,5917,185,9099
AL,Cherokee,01019,761,6947,127,7835
AL,Chilton,01021,1407,10386,371,12164
AL,Choctaw,01023,1899,3198,57,5154
AL,Clarke,01025,3613,5348,58,9019
AL,Clay,01027,505,3628,100,4233
AL,Cleburne,01029,308,4212,84,4604
AL,Coffee,01031,2298,11411,289,13998
AL,Colbert,01033,4181,12748,327,17256
AL,Conecuh,01035,1830,2564,41,4435
AL,Coosa,01037,1042,2662,112,3816
AL,Covington,01039,1289,9852,131,11272
AL,Crenshaw,01041,895,3607,60,4562
AL,Cullman,01043,1951,23228,944,26123
AL,Dale,01045,2326,9458,215,11999
AL,Dallas,01047,7312,3888,111,11311
AL,DeKalb,01049,1679,15200,255,17134
AL,Elmore,01051,4866,20167,706,25739
AL,Escambia,01053,2247,7284,121,9652
AL,Etowah,01055,4925,20599,568,26092
AL,Fayette,01057,690,4697,114,5501
AL,Franklin,01059,770,6547,121,7438
AL,Geneva,01061,763,7113,102,7978
AL,Greene,01063,2337,597,32,2966
AL,Hale,01065,2790,2298,85,5173
AL,Henry,01067,1560,5085,87,6732
AL,Houston,01069,5854,21246,508,27608
AL,Jackson,01071,1518,11617,237,13372
AL,Jefferson,01073,100792,91802,5238,197832
AL,Lamar,01075,447,3869,60,4376
AL,Lauderdale,01077,5453,19893,542,25888
AL,Lawrence,01079,1916,8573,239,10728
AL,Lee,01081,12458,26966,1158,40582
AL,Limestone,01083,7037,23422,881,31340
AL,Lowndes,01085,2734,1277,60,4071
AL,Macon,01087,4131,1153,87,5371
AL,Madison,01089,45976,70577,3947,120500
AL,Marengo,01091,3375,3807,82,7264
AL,Marion,01093,591,7636,160,8387
AL,Marshall,01095,2461,21211,555,24227
AL,Mobile,01097,40266,64378,2456,107100
AL,Monroe,01099,2678,4270,78,7026
AL,Montgomery,01101,33685,22741,1279,57705
AL,Morgan,01103,5879,25310,916,32105
AL,Perry,01105,2224,898,54,3176
AL,Pickens,01107,2248,4225,98,6571
AL,Pike,01109,2661,5359,115,8135
AL,Randolph,01111,991,5471,115,6577
AL,Russell,01113,5398,5967,180,11545
AL,Shelby,01117,16276,50762,2836,69874
AL,St. Clair,01115,3933,23049,938,27920
AL,Sumter,01119,2684,1163,29,3876
AL,Talladega,01121,6891,14269,460,21620
AL,Tallapoosa,01123,2914,10421,233,13568
AL,Tuscaloosa,01125,18591,31879,1156,51626
AL,Walker,01127,2083,15206,532,17821
AL,Washington,01129,1267,4557,54,5878
AL,Wilcox,01131,2446,1329,37,3812
AL,Winston,01133,403,6309,191,6903
AR,Arkansas,05001,1012,3342,105,4459
AR,Ashley,05003,1251,4103,80,5434
AR,Baxter,05005,2940,12207,443,15590
AR,Benton,05007,28336,58938,3288,90562
AR,Boone,05009,1979,10174,533,12686
AR,Bradley,05011,730,1824,63,2617
