NAME,DP02_0068PE,DP03_0062E,DP05_0001E,DP05_0076PE,DP05_0082PE,DP05_0083PE,DP05_0085PE,state,county,county subdivision
"Andover town, Capitol Planning Region, Connecticut",46.3,127335,3148,0.6,94.2,0.3,1.8,09,110,01080
"Avon town, Capitol Planning Region, Connecticut",71.4,151481,18856,4.6,73.4,2.1,15.2,09,110,02060
"Berlin town, Capitol Planning Region, Connecticut",43.7,110657,20210,6.2,86.0,0.9,4.7,09,110,04300
"Bloomfield town, Capitol Planning Region, Connecticut",39.1,97436,21547,7.6,29.9,53.8,4.0,09,110,05910
"Bolton town, Capitol Planning Region, Connecticut",48.6,124861,4848,6.6,86.4,1.5,1.4,09,110,06260
"Canton town, Capitol Planning Region, Connecticut",58.9,127941,10108,3.1,88.1,1.2,0.2,09,110,12270
"Columbia town, Capitol Planning Region, Connecticut",33.5,122500,5268,5.5,85.9,2.2,0.0,09,110,16400
"Coventry town, Capitol Planning Region, Connecticut",44.2,104953,12267,4.7,92.0,0.0,1.6,09,110,17800
"East Granby town, Capitol Planning Region, Connecticut",47.1,123005,5214,6.0,76.7,4.1,3.2,09,110,22070
"East Hartford town, Capitol Planning Region, Connecticut",17.6,66943,50798,38.4,31.9,22.7,3.2,09,110,22630
"East Windsor town, Capitol Planning Region, Connecticut",41.8,95264,11157,8.3,73.8,4.6,6.6,09,110,24800
"Ellington town, Capitol Planning Region, Connecticut",48.8,125797,16700,4.3,82.6,2.5,5.5,09,110,25360
"Enfield town, Capitol Planning Region, Connecticut",30.6,91141,41100,10.7,75.6,5.0,2.4,09,110,25990
"Farmington town, Capitol Planning Region, Connecticut",66.2,134237,26685,7.3,69.8,2.7,16.7,09,110,27600
"Glastonbury town, Capitol Planning Region, Connecticut",68.8,150290,35136,8.2,76.4,2.0,9.8,09,110,31240
"Granby town, Capitol Planning Region, Connecticut",56.7,117476,11020,2.7,90.6,0.6,2.1,09,110,32640
"Hartford town, Capitol Planning Region, Connecticut",18.3,45300,119970,44.8,15.9,33.8,2.2,09,110,37070
"Hebron town, Capitol Planning Region, Connecticut",51.4,140700,9109,4.5,90.5,0.9,0.6,09,110,37910
"Manchester town, Capitol Planning Region, Connecticut",39.7,87213,59473,15.9,54.4,14.3,10.7,09,110,44700
"Mansfield town, Capitol Planning Region, Connecticut",57.2,67321,22454,6.7,71.2,5.4,13.3,09,110,44910
"Marlborough town, Capitol Planning Region, Connecticut",49.5,140022,6106,10.9,81.7,2.0,4.8,09,110,45820
"New Britain town, Capitol Planning Region, Connecticut",18.8,57036,73301,42.8,39.8,10.6,2.3,09,110,50440
"Newington town, Capitol Planning Region, Connecticut",40.4,98585,30551,11.6,72.2,4.3,6.9,09,110,52140
"Plainville town, Capitol Planning Region, Connecticut",28.5,81920,17468,11.3,78.3,2.5,2.8,09,110,60120
"Rocky Hill town, Capitol Planning Region, Connecticut",49.1,100061,20724,7.8,69.3,4.7,14.4,09,110,65370
"Simsbury town, Capitol Planning Region, Connecticut",69.5,153715,24747,6.5,82.3,3.2,4.3,09,110,68940
"Somers town, Capitol Planning Region, Connecticut",37.2,115119,10164,5.8,83.4,4.6,0.0,09,110,69220
"Southington town, Capitol Planning Region, Connecticut",43.2,121584,43575,5.0,86.3,1.5,2.8,09,110,70550
"South Windsor town, Capitol Planning Region, Connecticut",59.0,143025,26820,5.9,64.3,4.2,21.0,09,110,71390
"Stafford town, Capitol Planning Region, Connecticut",27.6,97509,11462,6.4,88.4,0.1,0.4,09,110,72090
"Suffield town, Capitol Planning Region, Connecticut",40.2,125352,15636,8.0,81.2,5.8,2.1,09,110,74540
"Tolland town, Capitol Planning Region, Connecticut",56.5,132500,14556,7.7,84.1,0.5,2.3,09,110,76290
"Vernon town, Capitol Planning Region, Connecticut",36.2,80766,30377,12.1,71.4,5.0,6.5,09,110,78250
"West Hartford town, Capitol Planning Region, Connecticut",66.3,125616,63809,11.5,68.6,7.3,7.7,09,110,82590
"Wethersfield town, Capitol Planning Region, Connecticut",54.5,118523,27180,12.6,77.8,2.9,4.9,09,110,84900
"Willington town, Capitol Planning Region, Connecticut",37.9,88370,5563,4.8,82.1,1.0,7.3,09,110,85950
"Windsor town, Capitol Planning Region, Connecticut",43.9,107548,29367,10.1,45.1,33.9,3.8,09,110,87000
"Windsor Locks town, Capitol Planning Region, Connecticut",26.4,90417,12555,9.4,71.7,7.2,6.3,09,110,87070
"County subdivisions not defined, Greater Bridgeport Planning Region, Connecticut",-666666666.0,-666666666,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,09,120,00000
"Bridgeport town, Greater Bridgeport Planning Region, Connecticut",23.1,56584,148012,44.6,25.6,19.5,5.2,09,120,08070
"Easton town, Greater Bridgeport Planning Region, Connecticut",72.6,189505,7612,3.4,86.1,1.5,3.9,09,120,23890
"Fairfield town, Greater Bridgeport Planning Region, Connecticut",71.4,168391,62508,7.0,84.7,0.8,4.9,09,120,26620
"Monroe town, Greater Bridgeport Planning Region, Connecticut",57.8,156731,18833,6.8,83.4,0.8,6.5,09,120,48620
"Stratford town, Greater Bridgeport Planning Region, Connecticut",37.5,93820,52403,19.1,64.3,11.1,2.2,09,120,74190
"Trumbull town, Greater Bridgeport Planning Region, Connecticut",59.5,163227,36928,8.4,74.6,2.0,9.4,09,120,77200
"County subdivisions not defined, Lower Connecticut River Valley Planning Region, Connecticut",-666666666.0,-666666666,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,09,130,00000
"Chester town, Lower Connecticut River Valley Planning Region, Connecticut",42.8,94570,3786,6.9,86.3,1.8,0.1,09,130,14300
"Clinton town, Lower Connecticut River Valley Planning Region, Connecticut",44.1,116023,13317,6.1,86.8,0.4,2.4,09,130,15350
"Cromwell town, Lower Connecticut River Valley Planning Region, Connecticut",45.6,104458,14301,8.8,74.5,5.5,6.1,09,130,18080
"Deep River town, Lower Connecticut River Valley Planning Region, Connecticut",43.4,86995,4432,4.5,87.4,2.8,0.6,09,130,19130
"Durham town, Lower Connecticut River Valley Planning Region, Connecticut",47.9,151875,7182,3.2,88.2,0.1,2.0,09,130,20810
"East Haddam town, Lower Connecticut River Valley Planning Region, Connecticut",40.8,105866,8934,3.9,91.4,0.0,0.1,09,130,22280
"East Hampton town, Lower Connecticut River Valley Planning Region, Connecticut",36.6,118775,12834,7.3,86.1,0.6,3.0,09,130,22490
"Essex town, Lower Connecticut River Valley Planning Region, Connecticut",55.8,100767,6766,3.2,88.7,1.7,2.5,09,130,26270
"Haddam town, Lower Connecticut River Valley Planning Region, Connecticut",47.3,115833,8562,5.4,84.9,0.9,5.4,09,130,35230
"Killingworth town, Lower Connecticut River Valley Planning Region, Connecticut",51.7,132739,6219,2.5,87.6,0.0,0.9,09,130,40710
"Lyme town, Lower Connecticut River Valley Planning Region, Connecticut",63.3,139000,2356,1.5,92.7,0.0,0.6,09,130,44210
"Middlefield town, Lower Connecticut River Valley Planning Region, Connecticut",42.7,113750,4236,3.6,86.5,0.6,6.8,09,130,47080
"Middletown town, Lower Connecticut River Valley Planning Region, Connecticut",40.7,73979,47646,11.8,64.7,13.3,5.3,09,130,47360
"Old Lyme town, Lower Connecticut River Valley Planning Region, Connecticut",53.6,126904,7644,4.3,88.0,0.4,3.2,09,130,57040
"Old Saybrook town, Lower Connecticut River Valley Planning Region, Connecticut",56.6,119500,10515,6.8,90.5,0.4,1.1,09,130,57320
"Portland town, Lower Connecticut River Valley Planning Region, Connecticut",49.9,118955,9421,3.8,87.9,1.4,3.8,09,130,61800
"Westbrook town, Lower Connecticut River Valley Planning Region, Connecticut",45.4,76172,6832,13.7,76.5,1.1,1.7,09,130,81680
"Ansonia town, Naugatuck Valley Planning Region, Connecticut",22.7,80585,18951,25.1,50.6,16.5,3.1,09,140,01220
"Beacon Falls town, Naugatuck Valley Planning Region, Connecticut",43.4,95405,6089,8.4,79.8,6.5,0.7,09,140,03250
"Bethlehem town, Naugatuck Valley Planning Region, Connecticut",36.5,106731,3398,5.0,90.8,1.0,0.0,09,140,04930
"Bristol town, Naugatuck Valley Planning Region, Connecticut",30.5,83458,61129,18.6,64.9,6.6,4.6,09,140,08490
"Cheshire town, Naugatuck Valley Planning Region, Connecticut",62.1,150787,28852,6.8,73.4,2.7,9.6,09,140,14160
"Derby town, Naugatuck Valley Planning Region, Connecticut",33.2,76263,12359,20.9,58.9,11.3,1.9,09,140,19550
"Middlebury town, Naugatuck Valley Planning Region, Connecticut",53.4,142750,7736,4.0,82.7,0.5,7.4,09,140,46940
"Naugatuck town, Naugatuck Valley Planning Region, Connecticut",32.4,92184,31634,17.2,60.6,11.3,4.4,09,140,49950
"Oxford town, Naugatuck Valley Planning Region, Connecticut",45.8,125563,12870,11.7,77.0,0.8,5.3,09,140,58300
"Plymouth town, Naugatuck Valley Planning Region, Connecticut",27.6,99797,11715,7.5,85.6,1.1,0.8,09,140,60750
"Prospect town, Naugatuck Valley Planning Region, Connecticut",36.7,125556,9414,4.9,83.8,3.7,1.7,09,140,62290
"Seymour town, Naugatuck Valley Planning Region, Connecticut",34.7,103682,16799,18.6,67.0,7.0,2.2,09,140,67610
"Shelton town, Naugatuck Valley Planning Region, Connecticut",43.5,114739,41402,11.9,69.4,5.8,8.6,09,140,68170
