level,geoid,state_fips,code,name,population,college_pct,white_pct,black_pct,hispanic_pct,asian_pct,median_household_income
nation,US,,,United States,334922499,35.7,57.4,11.9,19.3,5.9,80734
state,01,01,,Alabama,5086768,28.4,63.4,25.6,5.6,1.4,63999
state,02,02,,Alaska,735706,31.7,57.7,2.9,7.3,6.4,92788
state,04,04,,Arizona,7378838,33.3,52.6,4.4,31.4,3.5,79964
state,05,05,,Arkansas,3049391,25.7,67.4,14.6,9.0,1.6,60773
state,06,06,,California,39287377,37.1,33.8,5.2,40.2,15.3,99122
state,08,08,,Colorado,5862189,45.7,64.8,3.8,22.5,3.2,95470
state,09,09,,Connecticut,3624508,42.5,61.9,9.8,18.3,4.7,95781
state,10,10,,Delaware,1021191,35.8,58.1,21.4,11.0,4.3,84954
state,11,11,,District of Columbia,681294,64.2,36.5,41.6,11.9,4.3,109870
state,12,12,,Florida,22416077,34.1,50.4,14.6,27.4,2.9,74568
state,13,13,,Georgia,10940407,34.9,49.1,30.7,11.0,4.5,77353
state,15,15,,Hawaii,1445235,36.1,20.9,1.8,9.9,36.4,100389
state,16,16,,Idaho,1934262,31.8,78.6,0.7,13.6,1.3,77800
state,17,17,,Illinois,12694798,37.8,58.1,13.3,18.8,5.9,83390
state,18,18,,Indiana,6851073,29.5,75.4,9.1,8.6,2.6,71957
state,19,19,,Iowa,3210507,31.4,82.3,3.8,7.3,2.5,75059
state,20,20,,Kansas,2947197,35.6,72.7,5.2,13.6,2.9,74275
state,21,21,,Kentucky,4534824,27.6,81.5,7.6,5.0,1.6,63726
state,22,22,,Louisiana,4611961,27.0,55.7,30.5,7.2,1.7,60756
state,23,23,,Maine,1387817,36.2,89.9,1.8,2.2,1.1,74733
state,24,24,,Maryland,6206011,43.4,46.6,28.9,12.5,6.5,103678
state,25,25,,Massachusetts,7044056,47.3,66.6,6.4,13.3,7.3,103960
state,26,26,,Michigan,10077761,32.4,72.4,13.1,5.9,3.4,72875
state,27,27,,Minnesota,5739445,39.4,75.9,6.9,6.4,5.1,89062
state,28,28,,Mississippi,2946779,25.1,55.2,36.3,3.7,1.0,56447
state,29,29,,Missouri,6191814,32.4,76.3,10.9,5.2,2.1,70702
state,30,30,,Montana,1116875,35.2,83.6,0.4,4.6,0.8,72509
state,31,31,,Nebraska,1978707,34.6,75.3,4.6,12.7,2.6,76475
state,32,32,,Nevada,3184612,27.9,44.8,9.0,29.6,8.8,78260
state,33,33,,New Hampshire,1394868,40.6,86.9,1.3,4.7,2.6,99031
state,34,34,,New Jersey,9343809,43.6,50.9,12.2,22.5,10.0,103556
state,35,35,,New Mexico,2120246,31.0,36.0,1.8,48.4,1.6,64059
state,36,36,,New York,19852366,40.2,52.8,13.4,19.8,9.0,85974
state,37,37,,North Carolina,10730404,35.7,60.0,20.0,11.3,3.3,72388
state,38,38,,North Dakota,784841,32.7,81.7,3.3,4.7,1.6,76657
state,39,39,,Ohio,11810293,31.5,75.8,12.0,4.8,2.5,71389
