race_id,district,tracts,population,college_pct,white_pct,black_pct,hispanic_pct,asian_pct,median_household_income,lines_unchanged,pop_dev_pct
0101,AL-01,203,733836,27.6,65.2,24.9,4.1,1.6,64345,,1.0
0102,AL-02,221,711643,24.7,49.2,40.3,5.1,1.7,56806,,-2.1
0103,AL-03,208,722213,24.1,70.9,19.7,4.1,1.5,60301,yes,-0.6
0104,AL-04,204,730115,21.3,80.3,7.1,8.4,0.6,61036,yes,0.5
0105,AL-05,180,746089,36.1,68.2,17.5,7.0,1.8,77941,yes,2.7
0106,AL-06,179,709272,39.0,70.4,18.4,5.9,1.8,84442,,-2.4
0107,AL-07,242,733600,25.6,39.5,51.6,4.5,1.2,52131,,1.0
0601,CA-01,186,725329,28.7,59.7,1.6,27.7,4.0,78131,,-4.0
0602,CA-02,221,778039,41.4,68.8,1.6,15.8,4.8,88481,,3.0
0603,CA-03,192,771267,38.6,56.9,5.3,19.2,10.8,94136,,2.1
0604,CA-04,190,795184,34.2,49.7,2.1,31.4,10.0,96368,,5.2
0605,CA-05,190,805531,28.2,52.5,2.2,33.1,5.6,89079,,6.6
0606,CA-06,168,754858,34.0,49.8,6.6,22.9,12.0,93728,,-0.1
0607,CA-07,175,760945,36.5,40.0,7.9,23.7,19.8,101639,,0.7
0608,CA-08,170,761341,32.6,30.7,11.8,32.8,16.7,101673,,0.8
0609,CA-09,153,733959,23.7,24.3,9.6,39.8,19.1,95965,,-2.9
0610,CA-10,166,796702,52.3,45.9,5.0,21.0,20.7,145616,,5.4
0611,CA-11,208,702233,63.8,40.8,4.8,15.2,31.4,141589,yes,-7.1
0612,CA-12,196,755220,53.8,32.7,14.7,23.9,20.4,109265,yes,-0.0
0613,CA-13,163,760035,14.6,21.0,3.4,63.7,8.3,70404,,0.6
0614,CA-14,144,703084,50.8,23.9,4.4,23.7,41.6,150355,,-6.9
0615,CA-15,174,735872,49.1,27.6,2.4,25.9,37.3,149565,yes,-2.6
0616,CA-16,175,773646,61.5,39.6,1.9,21.5,30.8,171666,,2.4
0617,CA-17,155,765915,63.5,19.7,2.0,16.6,56.9,182089,yes,1.4
0618,CA-18,157,733717,24.1,18.0,2.1,65.5,11.1,101784,,-2.9
0619,CA-19,188,762361,47.5,47.4,1.7,26.3,18.3,126690,yes,0.9
0620,CA-20,191,811608,25.1,41.5,3.0,44.5,5.9,84644,,7.4
0621,CA-21,166,757974,18.3,19.8,4.3,62.4,10.1,65319,,0.3
0622,CA-22,175,732484,10.8,14.6,4.5,74.1,4.2,59590,,-3.0
0623,CA-23,196,842431,20.5,36.7,8.1,45.5,3.9,76199,,11.5
0624,CA-24,185,734466,39.1,49.0,1.4,39.6,4.8,98031,,-2.8
0625,CA-25,179,739933,21.7,27.2,3.1,63.6,2.7,70419,,-2.1
0626,CA-26,178,780104,38.3,41.2,2.5,43.6,7.6,116225,,3.3
0627,CA-27,163,713709,29.3,29.5,9.4,47.2,9.0,96772,,-5.5
0628,CA-28,178,769714,46.6,25.9,4.2,28.2,36.7,106451,,1.9
0629,CA-29,194,724308,25.1,21.3,3.9,64.0,7.7,76599,,-4.1
0630,CA-30,217,761238,51.4,54.1,3.7,23.7,12.6,91738,,0.8
0631,CA-31,166,758310,29.0,16.6,3.5,57.9,18.4,97970,,0.4
0632,CA-32,218,789825,52.0,51.5,3.8,25.6,12.6,115391,,4.5
0633,CA-33,153,764140,21.8,17.2,9.3,62.3,6.9,87613,,1.1
0634,CA-34,227,743816,29.5,11.1,4.3,64.3,17.2,63702,yes,-1.5
0635,CA-35,146,743892,27.5,17.1,5.8,59.6,14.0,98254,,-1.5
0636,CA-36,183,721531,66.6,52.3,4.1,16.9,18.7,129474,yes,-4.5
0637,CA-37,201,742679,29.6,12.9,21.2,54.9,6.4,70328,yes,-1.7
0638,CA-38,169,741894,28.6,12.8,1.2,58.4,24.9,92965,,-1.8
0639,CA-39,154,718506,20.0,18.8,7.9,63.6,6.1,91791,,-4.9
0640,CA-40,153,838200,37.7,44.4,3.9,34.1,11.1,122112,,10.9
0641,CA-41,163,715074,29.0,20.9,3.7,61.4,10.5,99910,,-5.4
0642,CA-42,177,742565,45.7,44.9,5.2,32.3,11.3,105647,,-1.7
0643,CA-43,180,730397,22.4,6.9,21.8,58.7,8.9,75705,yes,-3.3
0644,CA-44,185,751612,19.7,8.7,8.5,70.4,9.4,79032,,-0.5
0645,CA-45,144,722872,34.7,19.9,2.2,33.9,39.8,103850,,-4.3
0646,CA-46,137,774819,24.1,17.2,1.7,64.1,13.9,90753,,2.6
0647,CA-47,135,730470,61.7,45.5,1.8,17.7,28.1,131808,,-3.3
0648,CA-48,143,680074,32.7,42.0,4.3,39.8,7.5,97731,,-10.0
0649,CA-49,166,791276,55.2,54.8,2.2,23.5,12.4,131225,,4.7
0650,CA-50,209,847549,54.0,52.0,2.7,22.9,15.4,117589,,12.2
0651,CA-51,163,725084,40.1,50.1,6.3,28.2,8.1,98458,,-4.0
0652,CA-52,164,769585,26.0,16.6,6.9,59.4,12.5,87826,,1.9
1201,FL-01,174,794783,32.1,69.4,12.5,8.2,2.6,78350,yes,-0.7
1202,FL-02,216,788527,31.7,62.6,22.3,7.8,2.0,64871,yes,-1.5
1203,FL-03,174,798338,29.1,64.3,15.3,12.6,3.0,60538,yes,-0.3
1204,FL-04,176,800340,27.1,51.8,30.1,9.9,2.6,71172,yes,-0.0
1205,FL-05,151,818095,46.4,64.0,11.3,12.6,5.9,90173,yes,2.2
1206,FL-06,185,827041,25.6,70.3,10.6,13.2,1.6,65503,yes,3.3
1207,FL-07,153,777869,36.9,60.4,9.2,22.0,4.0,81718,yes,-2.8
1208,FL-08,178,804551,36.4,64.8,9.5,16.8,3.1,82645,,0.5
1209,FL-09,161,807633,30.3,44.1,8.4,40.7,2.7,70536,,0.9
1210,FL-10,159,781618,34.0,31.0,27.1,32.2,4.3,67745,,-2.4
1211,FL-11,147,821189,37.9,56.0,10.2,23.3,4.4,85912,,2.6
1212,FL-12,187,822651,34.1,54.6,9.0,28.3,3.7,72189,,2.8
1213,FL-13,213,782262,34.4,72.9,6.2,12.5,3.9,71342,,-2.3
1214,FL-14,162,812619,38.2,50.3,12.9,28.2,3.4,89860,,1.5
1215,FL-15,200,810175,28.1,59.7,12.5,18.6,4.2,65206,,1.2
1216,FL-16,209,801304,35.7,66.6,10.8,16.2,2.1,76264,,0.1
1217,FL-17,221,822043,33.5,72.6,7.2,14.4,1.7,74212,,2.7
1218,FL-18,176,849369,24.6,48.3,14.5,31.0,1.8,67972,,6.1
1219,FL-19,222,814181,36.4,66.3,4.8,24.0,1.8,83240,,1.7
1220,FL-20,161,773591,28.4,23.5,42.8,25.4,2.8,65817,,-3.4
1221,FL-21,184,815792,36.3,60.4,14.2,18.8,2.3,83557,,1.9
1222,FL-22,173,808417,41.5,43.8,13.5,33.3,4.0,98690,,1.0
1223,FL-23,183,768148,33.2,39.4,24.4,29.8,2.3,71710,,-4.1
1224,FL-24,187,814649,24.0,10.0,42.3,43.4,1.3,60027,,1.8
1225,FL-25,227,797928,48.9,53.9,7.2,30.2,2.5,81056,,-0.3
1226,FL-26,172,767389,35.7,12.5,8.2,74.1,2.7,78455,,-4.1
1227,FL-27,218,766838,43.9,16.5,4.8,73.5,2.1,79307,,-4.2
1228,FL-28,191,768737,30.4,15.3,8.8,72.2,1.4,79747,,-4.0
2201,LA-01,217,760156,35.2,67.9,12.5,11.4,2.1,75388,,-1.1
2202,LA-02,286,748292,27.7,26.9,55.2,10.5,2.7,51726,,-2.6
2203,LA-03,231,779059,23.9,61.8,26.2,5.5,1.5,59637,,1.4
2204,LA-04,234,760935,21.7,58.4,30.7,5.0,1.0,54066,,-1.0
2205,LA-05,232,763995,20.8,57.7,33.8,3.8,0.8,50315,,-0.6
2206,LA-06,188,799524,32.6,60.8,25.4,7.2,2.2,75911,,4.0
2901,MO-01,224,752647,38.1,41.7,45.1,4.6,3.1,61224,,-2.8
2902,MO-02,175,758392,46.2,82.9,3.0,3.2,4.8,94801,,-2.0
2903,MO-03,172,776080,37.8,83.4,5.4,3.8,2.7,88683,,0.3
2904,MO-04,225,784220,33.6,80.5,6.9,5.8,1.5,72823,,1.3
2905,MO-05,227,774216,24.3,67.9,17.0,8.8,1.0,62952,,0.0
2906,MO-06,219,781179,30.5,81.6,5.2,6.6,1.7,74404,,0.9
2907,MO-07,199,785931,27.7,84.0,1.8,6.5,1.4,63583,yes,1.5
2908,MO-08,213,779149,20.7,87.0,3.7,2.6,0.8,60194,yes,0.7
3701,NC-01,239,750621,24.2,56.9,31.1,6.2,1.0,61313,,-2.1
3702,NC-02,157,767252,54.1,53.4,22.6,13.3,5.7,93349,yes,0.1
3703,NC-03,207,755887,24.0,53.0,27.2,13.0,1.4,59120,,-1.4
3704,NC-04,163,778033,61.4,53.1,18.8,11.6,11.0,103120,yes,1.5
3705,NC-05,189,744856,27.8,68.7,16.9,8.3,2.3,59239,yes,-2.8
3706,NC-06,178,785666,30.2,60.5,19.2,12.0,3.7,69155,yes,2.5
3707,NC-07,195,776081,33.1,64.9,18.0,8.9,1.3,69641,yes,1.3
3708,NC-08,182,769484,35.2,60.1,16.5,9.7,4.0,81504,yes,0.4
3709,NC-09,178,765045,28.3,57.3,21.1,13.5,1.8,66932,yes,-0.2
3710,NC-10,175,754984,33.0,66.8,14.7,11.5,2.5,70608,yes,-1.5
3711,NC-11,207,759285,35.7,83.0,3.1,8.1,0.9,65669,yes,-0.9
3712,NC-12,207,762478,44.5,34.5,37.1,18.8,5.4,75745,yes,-0.5
3713,NC-13,170,790043,31.3,61.9,18.6,13.8,1.0,82232,yes,3.1
3714,NC-14,225,770689,35.5,66.2,15.4,9.3,3.9,75838,yes,0.6
3901,OH-01,203,799129,43.0,70.0,16.4,4.4,3.8,80242,,1.5
3902,OH-02,199,784366,22.2,92.1,1.8,1.6,0.8,64830,,-0.4
3903,OH-03,204,785699,44.7,53.8,28.0,6.7,5.5,72218,yes,-0.2
3904,OH-04,206,775841,24.0,86.5,4.5,3.0,1.3,72256,,-1.5
3905,OH-05,197,796959,24.6,82.2,4.4,7.9,1.2,68524,,1.2
3906,OH-06,230,789790,20.1,86.4,5.8,3.5,0.5,61787,,0.3
3907,OH-07,201,778905,37.8,85.6,3.3,4.3,2.9,86417,,-1.1
3908,OH-08,177,772307,35.0,72.2,13.4,5.0,3.6,79815,,-1.9
3909,OH-09,260,780880,27.8,75.3,11.4,7.4,1.3,68715,,-0.8
3910,OH-10,221,793248,32.3,71.8,15.9,4.3,2.3,70757,,0.7
3911,OH-11,300,774383,33.6,41.1,43.0,8.0,2.8,53547,yes,-1.6
3912,OH-12,183,806213,32.6,85.6,4.4,2.3,3.7,85020,,2.4
3913,OH-13,192,773828,35.0,74.8,12.6,3.1,3.6,70026,,-1.7
3914,OH-14,204,787430,28.0,86.7,4.6,3.5,0.9,72491,,0.0
3915,OH-15,191,811315,32.5,72.7,11.7,6.5,4.0,77834,,3.0
4701,TN-01,191,784991,23.2,88.5,2.1,5.3,0.8,58121,yes,-0.0
4702,TN-02,194,788536,34.5,83.0,5.6,5.9,1.7,72589,yes,0.4
4703,TN-03,189,789430,29.3,77.5,9.6,6.5,1.4,69730,,0.5
4704,TN-04,167,787648,30.8,64.7,14.6,12.9,2.8,71968,,0.3
4705,TN-05,219,781078,28.5,62.1,26.4,6.1,1.3,63139,,-0.5
4706,TN-06,189,799378,34.3,76.4,10.1,7.8,1.7,69737,,1.8
4707,TN-07,171,782363,36.3,72.4,13.2,7.5,1.9,84317,,-0.4
4708,TN-08,196,772965,34.1,58.7,26.9,7.6,2.5,73317,,-1.6
4709,TN-09,185,779994,28.9,55.4,30.9,7.1,2.8,67461,,-0.7
4801,TX-01,199,779597,23.7,59.4,17.3,17.8,1.1,65060,,-1.9
4802,TX-02,141,830899,41.4,46.0,12.6,30.9,6.1,99657,,4.6
4803,TX-03,155,860510,43.9,53.3,11.3,19.4,11.5,106969,,8.3
4804,TX-04,173,792845,50.6,56.3,8.7,13.3,16.6,104212,,-0.2
4805,TX-05,182,805433,27.3,45.7,16.3,30.5,3.1,76197,,1.4
4806,TX-06,175,801498,31.2,44.6,12.6,33.3,5.5,86283,,0.9
4807,TX-07,207,768587,48.9,27.9,16.7,36.1,15.5,78638,,-3.3
4808,TX-08,171,827257,32.7,39.5,16.1,34.4,6.0,81518,,4.1
4809,TX-09,172,770091,13.8,23.3,8.6,64.5,1.4,63762,,-3.1
4810,TX-10,192,790700,43.1,59.0,9.0,21.7,5.7,81407,,-0.5
4811,TX-11,187,780717,31.9,45.1,6.3,41.3,3.7,83141,,-1.7
4812,TX-12,160,797611,30.8,50.2,9.7,32.4,3.9,81726,,0.4
