office,state,race,year,election_type,party,candidate,fec_id,reports,receipts_sept,receipts_full_from_reports,receipts_final_csv
H,AK,AK-01,2022,Regular,D,Mary Peltola,H2AK01158,8,379087.93,7751293.39,7751293.39
H,AK,AK-01,2022,Regular,R,Sarah Palin,H2AK00226,8,1073839.21,1971160.93,1971160.93
H,AL,AL-01,2022,Regular,R,Jerry Carl,H0AL01055,11,798765.85,1313718.57,1313718.57
H,AL,AL-02,2022,Regular,D,Phyllis Harvey-Hall,H0AL02202,11,30631.51,60440.24,60440.24
H,AL,AL-02,2022,Regular,R,Barry Moore,H8AL02171,11,703736.68,891776.46,891776.46
H,AL,AL-03,2022,Regular,D,Lin Veasey,H2AL03131,2,0.00,8752.00,9968.0
H,AL,AL-03,2022,Regular,R,Mike Rogers,H2AL03032,11,1472833.17,2262995.22,2262995.22
H,AL,AL-04,2022,Regular,D,Rick Neighbors,H8AL04086,7,11023.50,22648.30,22648.3
H,AL,AL-04,2022,Regular,R,Robert Aderholt,H6AL04098,11,1156149.94,1540807.20,1540807.2
H,AL,AL-05,2022,Regular,D,Kathy Warner-Stanton,H2AL05177,6,85150.00,85150.00,85150.0
H,AL,AL-05,2022,Regular,R,Dale Strong,H2AL05102,12,1634593.50,1994353.59,1994353.59
H,AL,AL-06,2022,Regular,R,Gary Palmer,H4AL06098,11,1064593.26,1278902.76,1278902.76
H,AL,AL-07,2022,Regular,D,Terri Sewell,H0AL07086,11,1678837.63,2359060.83,2359060.83
H,AL,AL-07,2022,Regular,R,Beatrice Nichols,H2AL07173,8,21761.36,47728.98,47728.98
H,AR,AR-01,2022,Regular,D,Monte Hodges,H2AR01113,7,22849.00,66983.81,66983.81
H,AR,AR-01,2022,Regular,R,Rick Crawford,H0AR01083,11,830567.34,1087410.34,1087410.34
H,AR,AR-02,2022,Regular,D,Quintessa Hathaway,H2AR02095,6,6562.70,10421.88,10421.88
H,AR,AR-02,2022,Regular,R,French Hill,H4AR02141,11,2653110.00,3396282.37,3396282.37
H,AR,AR-03,2022,Regular,D,Lauren Mallett-Hays,H2AR03283,10,35184.23,65741.89,65741.89
H,AR,AR-03,2022,Regular,R,Steve Womack,H0AR03055,11,1117957.47,1664168.78,1664168.78
H,AR,AR-04,2022,Regular,R,Bruce Westerman,H4AR04048,11,1268302.57,1944291.45,1944291.45
H,AZ,AZ-01,2022,Regular,D,Jevin Hodge,H2AZ06221,10,1033778.07,2565414.50,2565414.5
H,AZ,AZ-01,2022,Regular,R,David Schweikert,H4AZ06045,12,1297556.03,2017256.16,2018409.26
H,AZ,AZ-02,2022,Regular,D,Tom O'Halleran,H6AZ01199,11,2750944.05,4300864.23,4300864.23
H,AZ,AZ-02,2022,Regular,R,Eli Crane,H2AZ01354,14,2014094.42,3777635.98,3779765.67
H,AZ,AZ-03,2022,Regular,D,Ruben Gallego,H4AZ07043,11,1760368.25,2933465.25,2933465.25
H,AZ,AZ-03,2022,Regular,R,Jeff Zink,H2AZ07187,11,65722.24,73781.24,73781.24
H,AZ,AZ-04,2022,Regular,D,Greg Stanton,H8AZ09040,11,2997574.78,4314114.15,4314114.15
H,AZ,AZ-04,2022,Regular,R,Kelly Cooper,H2AZ09191,12,1544700.18,2342076.93,2342076.93
H,AZ,AZ-05,2022,Regular,D,Javier Ramos,H0AZ05185,3,0.00,16642.54,16642.54
H,AZ,AZ-05,2022,Regular,R,Andy Biggs,H6AZ05083,11,1489959.83,2116014.71,2116014.71
H,AZ,AZ-06,2022,Regular,D,Kirsten Engel,H2AZ02311,11,1277548.53,2474877.80,2474877.8
H,AZ,AZ-06,2022,Regular,R,Juan Ciscomani,H2AZ02360,13,1704932.80,3398846.75,3398846.75
H,AZ,AZ-07,2022,Regular,D,Raúl Grijalva,H2AZ07070,11,454037.50,660513.91,660513.91
H,AZ,AZ-07,2022,Regular,R,Luis Pozzolo,H2AZ03152,8,111829.97,268102.04,268102.04
H,AZ,AZ-08,2022,Regular,D,Jeremy Spreitzer,H2AZ08201,1,0.00,855.00,855.0
H,AZ,AZ-08,2022,Regular,R,Debbie Lesko,H8AZ08158,11,925871.13,1198976.40,1198976.4
H,AZ,AZ-09,2022,Regular,R,Paul Gosar,H0AZ01259,11,669719.21,949145.58,949145.58
H,CA,CA-01,2022,Regular,D,Max Steiner,H2CA01227,9,484379.54,627432.86,627432.86
H,CA,CA-01,2022,Regular,R,Doug LaMalfa,H2CA02142,11,653069.19,961209.18,961209.18
H,CA,CA-02,2022,Regular,D,Jared Huffman,H2CA06259,11,703806.45,938689.41,938689.41
H,CA,CA-02,2022,Regular,R,Douglas Brower,H2CA02209,9,8390.00,15677.00,15677.0
H,CA,CA-03,2022,Regular,D,Kermit Jones,H2CA04122,9,1746141.92,3261535.00,3261535.0
H,CA,CA-03,2022,Regular,R,Kevin Kiley,H2CA03157,11,1715690.29,3212844.00,3212844.0
H,CA,CA-04,2022,Regular,D,Mike Thompson,H8CA01109,11,1654792.09,2278299.13,2278299.13
H,CA,CA-04,2022,Regular,R,Matt Brock,H2CA04148,7,4707.00,11265.00,11265.0
H,CA,CA-05,2022,Regular,D,Mike Barkley,H2CA00096,11,40522.59,461674.19,461674.19
H,CA,CA-05,2022,Regular,R,Tom McClintock,H8CA04152,11,1192804.24,1674004.02,1674004.02
H,CA,CA-06,2022,Regular,D,Ami Bera,H0CA03078,11,1156963.00,1545895.36,1545895.36
H,CA,CA-06,2022,Regular,R,Tamika Hamilton,H0CA03128,11,742382.43,1158787.40,1158787.4
H,CA,CA-07,2022,Regular,D,Doris Matsui,H6CA05195,11,1079709.97,1400594.49,1400594.49
H,CA,CA-07,2022,Regular,R,Max Semenenko,H2CA07141,7,49568.22,58819.37,58819.37
H,CA,CA-08,2022,Regular,D,John Garamendi,H0CA10149,11,867830.35,1146918.01,1146918.01
H,CA,CA-08,2022,Regular,R,Rudy Recile,H2CA00153,9,38943.94,60648.94,60648.94
H,CA,CA-09,2022,Regular,D,Josh Harder,H8CA10126,11,5400884.49,6593261.38,6593261.38
H,CA,CA-09,2022,Regular,R,Tom Patti,H2CA09139,12,749133.00,1627893.83,1627893.83
H,CA,CA-10,2022,Regular,D,Mark DeSaulnier,H0CA10073,11,478161.71,618156.84,618156.84
H,CA,CA-10,2022,Regular,R,Michael Ernest Kerr,H2CA10244,3,0.00,6620.58,6620.58
H,CA,CA-11,2022,Regular,D,Nancy Pelosi,H8CA05035,11,19423124.42,25577528.17,25577528.17
H,CA,CA-11,2022,Regular,R,John Dennis,H2CA12174,11,823777.01,998254.03,998254.03
H,CA,CA-12,2022,Regular,D,Barbara Lee,H8CA09060,11,1564586.62,2183372.57,2183372.57
H,CA,CA-12,2022,Regular,R,Stephen Slauson,H2CA12240,0,,,1050.0
H,CA,CA-13,2022,Regular,D,Adam Gray,H2CA13115,7,951715.76,2380065.97,2390120.97
H,CA,CA-13,2022,Regular,R,John Duarte,H2CA13131,11,1276117.47,2639924.80,2639924.8
H,CA,CA-14,2022,Regular,D,Eric Swalwell,H2CA15094,11,3038935.85,3943361.57,3943361.57
H,CA,CA-14,2022,Regular,R,Alison Hayden,H0CA15247,0,,,0.0
H,CA,CA-15,2022,Regular,D,Kevin Mullin,H2CA14162,8,899843.60,1213762.86,1213762.86
H,CA,CA-15,2022,Regular,R,David Canepa,H2CA14170,8,753115.92,815538.47,815538.47
H,CA,CA-16,2022,Regular,D,Anna Eshoo,H8CA12098,11,1627682.92,2037404.98,2037404.98
H,CA,CA-16,2022,Regular,R,Rishi Kumar,H0CA18068,11,350505.98,747661.06,747661.06
H,CA,CA-17,2022,Regular,D,Ro Khanna,H4CA12055,11,5095722.46,5949743.81,5949743.81
H,CA,CA-17,2022,Regular,R,Ritesh Tandon,H0CA17193,11,45637.00,116486.00,116486.0
H,CA,CA-18,2022,Regular,D,Zoe Lofgren,H4CA16049,11,1586642.94,2022557.14,2022557.14
H,CA,CA-18,2022,Regular,R,Peter Hernandez,H2CA18163,7,70952.11,251022.45,251022.45
H,CA,CA-19,2022,Regular,D,Jimmy Panetta,H6CA20152,11,1942499.75,2623733.10,2623733.1
H,CA,CA-19,2022,Regular,R,Jeff Gorman,H0CA20122,11,31356.96,58794.18,58794.18
H,CA,CA-20,2022,Regular,D,Marisa Wood,H2CA23155,10,728895.59,1051451.47,1051451.47
H,CA,CA-20,2022,Regular,R,Kevin McCarthy,H6CA22125,11,21591048.30,28295639.53,28295639.53
H,CA,CA-21,2022,Regular,D,Jim Costa,H4CA20082,11,1530342.02,2034865.46,2034865.46
H,CA,CA-21,2022,Regular,R,Michael Maher,H2CA22215,14,139941.00,311788.67,311788.67
H,CA,CA-22,2022,Regular,D,Rudy Salas,H2CA21233,8,1013456.10,2953288.73,2953288.73
H,CA,CA-22,2022,Regular,R,David Valadao,H2CA20094,12,2464761.07,3738008.91,3738008.91
H,CA,CA-23,2022,Regular,D,Derek Marshall,H2CA08214,11,651529.27,956858.59,956858.59
H,CA,CA-23,2022,Regular,R,Jay Obernolte,H0CA08135,11,692438.41,1060460.56,1060460.56
H,CA,CA-24,2022,Regular,D,Salud Carbajal,H6CA24303,11,1795327.54,2178872.17,2178872.17
H,CA,CA-24,2022,Regular,R,Brad Allen,H2CA24229,5,2525.00,40904.00,40904.0
H,CA,CA-25,2022,Regular,D,Raul Ruiz,H2CA36439,11,1857381.24,2307413.10,2307413.1
H,CA,CA-25,2022,Regular,R,Brian Hawkins,H2CA01177,11,411367.81,541664.83,541664.83
H,CA,CA-26,2022,Regular,D,Julia Brownley,H2CA00120,11,1576239.48,2446763.43,2446763.43
H,CA,CA-26,2022,Regular,R,Matt Jacobs,H2CA26133,11,1664758.15,2655736.79,2655736.79
H,CA,CA-27,2022,Regular,D,Christy Smith,H0CA25154,11,1364158.05,3949504.79,3949504.79
H,CA,CA-27,2022,Regular,R,Mike Garcia,H0CA25105,12,4828998.04,7192788.37,7192788.37
H,CA,CA-28,2022,Regular,D,Judy Chu,H0CA32101,11,908777.91,1587238.65,1587238.65
H,CA,CA-28,2022,Regular,R,Wes Hallman,H2CA28188,7,27078.22,109463.22,109463.22
H,CA,CA-29,2022,Regular,D,Tony Cárdenas,H2CA28113,11,1109572.34,1595441.44,1595441.44
H,CA,CA-29,2022,Regular,R,Angélica Dueñas,H8CA29100,11,84203.49,152823.26,152823.26
H,CA,CA-30,2022,Regular,D,Adam Schiff,H0CA27085,11,16977815.21,25328092.74,25328092.74
H,CA,CA-31,2022,Regular,D,Grace Napolitano,H8CA34068,11,210438.81,367395.21,367395.21
H,CA,CA-31,2022,Regular,R,Daniel Bocic Martinez,H2CA13123,7,3135.00,3135.00,3135.0
H,CA,CA-32,2022,Regular,D,Brad Sherman,H6CA24113,11,2131253.39,2651948.74,2651948.74
H,CA,CA-32,2022,Regular,R,Lucie Lapointe Volotzky,H2CA30283,11,20211.00,53589.76,53589.76
H,CA,CA-33,2022,Regular,D,Pete Aguilar,H2CA31125,11,2331540.14,3255093.36,3255093.36
H,CA,CA-33,2022,Regular,R,John Mark Porter,H2CA33253,3,0.00,4318.62,4318.62
H,CA,CA-34,2022,Regular,D,Jimmy Gomez,H8CA34266,11,1364934.38,1778066.38,1778066.38
H,CA,CA-34,2022,Regular,R,David Kim,H2CA34079,8,90619.19,264511.59,264511.59
H,CA,CA-35,2022,Regular,D,Norma Torres,H4CA35031,11,544495.30,784075.22,784075.22
H,CA,CA-35,2022,Regular,R,Mike Cargile,H0CA35146,11,23787.51,67073.63,67073.63
H,CA,CA-36,2022,Regular,D,Ted Lieu,H4CA33119,11,1206985.67,1510163.27,1510163.27
H,CA,CA-36,2022,Regular,R,Joe Collins,H0CA43108,13,2282819.72,2531674.82,2532158.82
H,CA,CA-37,2022,Regular,D,Sydney Kamlager-Dove,H2CA37304,8,617669.78,1221470.83,1221470.83
H,CA,CA-37,2022,Regular,R,Jan Perry,H2CA37312,7,433816.08,711893.36,711893.36
H,CA,CA-38,2022,Regular,D,Linda Sánchez,H2CA39078,11,1150086.66,1519205.78,1519205.78
H,CA,CA-38,2022,Regular,R,Eric Ching,H2CA39151,10,162511.01,280589.09,280589.09
H,CA,CA-39,2022,Regular,D,Mark Takano,H2CA43245,11,963506.24,1254503.88,1254503.88
H,CA,CA-39,2022,Regular,R,Aja Smith,H8CA41170,11,157350.96,163141.55,163141.55
H,CA,CA-40,2022,Regular,D,Asif Mahmood,H2CA40092,7,2243450.76,3703609.48,3703609.48
H,CA,CA-40,2022,Regular,R,Young Kim,H8CA39240,17,6275585.29,9340940.92,9340940.92
H,CA,CA-41,2022,Regular,D,Will Rollins,H2CA42205,8,1471064.51,3780991.55,3780991.55
H,CA,CA-41,2022,Regular,R,Ken Calvert,H2CA37023,11,2354403.76,3728273.29,3728273.29
H,CA,CA-42,2022,Regular,D,Robert Garcia,H2CA47188,8,1199957.84,1704812.52,1704812.52
H,CA,CA-42,2022,Regular,R,John Briscoe,H8CA47078,11,252245.00,527945.00,527945.0
H,CA,CA-43,2022,Regular,D,Maxine Waters,H4CA23011,11,961786.98,1248563.32,1248563.32
H,CA,CA-43,2022,Regular,R,Omar Navarro,H6CA44145,11,80966.56,85997.53,85997.53
H,CA,CA-44,2022,Regular,D,Nanette Diaz Barragán,H6CA44103,11,913555.10,1212156.11,1212156.11
H,CA,CA-44,2022,Regular,R,Paul Jones,H2CA04122,9,1746141.92,3261535.00,3261535.0
H,CA,CA-45,2022,Regular,D,Jay Chen,H2CA39136,11,2972058.59,5037026.06,5037026.06
H,CA,CA-45,2022,Regular,R,Michelle Steel,H0CA48198,12,4792889.39,7411601.19,7411601.19
H,CA,CA-46,2022,Regular,D,Luis Correa,H6CA46116,11,953351.19,1293189.19,1293189.19
H,CA,CA-46,2022,Regular,R,Christopher Gonzales,H0CA45160,10,29941.00,55923.37,55923.37
H,CA,CA-47,2022,Regular,D,Katie Porter,H8CA45130,11,17214826.51,26031047.87,26031047.87
H,CA,CA-47,2022,Regular,R,Scott Baugh,H6CA48245,8,1779291.74,3071107.19,3071107.19
H,CA,CA-48,2022,Regular,D,Stephen Houlahan,H2CA50174,11,42728.44,71577.85,71577.85
H,CA,CA-48,2022,Regular,R,Darrell Issa,H0CA48024,11,1717299.85,2337213.84,2337213.84
H,CA,CA-49,2022,Regular,D,Mike Levin,H8CA49058,11,3459060.08,5149615.51,5149615.51
H,CA,CA-49,2022,Regular,R,Brian Maryott,H8CA49108,18,2423652.51,5590667.05,5591297.83
H,CA,CA-50,2022,Regular,D,Scott Peters,H2CA52089,11,1985737.38,2410741.93,2410741.93
H,CA,CA-50,2022,Regular,R,Corey Gustafson,H2CA50232,6,54696.19,94112.24,94112.24
H,CA,CA-51,2022,Regular,D,Sara Jacobs,H8CA49074,11,1543518.47,1712465.57,1712465.57
H,CA,CA-51,2022,Regular,R,Stan Caplan,H2CA51206,7,65924.07,135385.49,135385.49
H,CA,CA-52,2022,Regular,D,Juan Vargas,H2CA50026,11,757483.58,942886.84,942886.84
H,CA,CA-52,2022,Regular,R,Tyler Geffeney,H2CA52188,6,20605.00,40408.04,40408.04
H,CO,CO-01,2022,Regular,D,Diana DeGette,H6CO01141,11,907077.23,1151100.27,1151100.27
H,CO,CO-02,2022,Regular,D,Joe Neguse,H8CO02160,11,1790550.10,2351040.38,2351040.38
H,CO,CO-02,2022,Regular,R,Marshall Dawson,H2CO02205,5,25495.98,48943.09,48943.09
H,CO,CO-03,2022,Regular,D,Adam Frisch,H2CO03351,7,2645799.14,6714235.34,6714235.34
H,CO,CO-03,2022,Regular,R,Lauren Boebert,H0CO03165,11,5384349.36,7854668.58,7854668.58
H,CO,CO-04,2022,Regular,D,Ike McCorkle,H0CO04197,11,171870.61,303509.40,303509.4
H,CO,CO-04,2022,Regular,R,Ken Buck,H4CO04090,11,1173878.91,1618431.12,1618431.12
H,CO,CO-05,2022,Regular,R,Doug Lamborn,H6CO05159,11,401798.30,506157.30,506157.3
H,CO,CO-06,2022,Regular,D,Jason Crow,H8CO06229,11,1985128.99,2734127.98,2734127.98
H,CO,CO-06,2022,Regular,R,Steven Monahan,H2CO06214,6,79065.63,258207.39,258207.39
H,CO,CO-07,2022,Regular,D,Brittany Pettersen,H8CO07045,11,1315476.78,2883823.65,2883823.65
H,CO,CO-07,2022,Regular,R,Erik Aadland,H2CO07170,14,534953.85,1525113.68,1525113.68
H,CO,CO-08,2022,Regular,D,Yadira Caraveo,H2CO08020,9,1158308.51,3563279.53,3563279.53
H,CO,CO-08,2022,Regular,R,Barbara Kirkmeyer,H2CO08079,12,397604.79,1602545.07,1602545.07
H,CT,CT-01,2022,Regular,D,John Larson,H8CT01046,11,1407941.33,1840867.05,1840867.05
H,CT,CT-01,2022,Regular,R,Larry Lazor,H2CT01213,10,145336.95,190652.21,190652.21
H,CT,CT-02,2022,Regular,D,Joe Courtney,H2CT02112,11,1279427.34,1981330.09,1981330.09
H,CT,CT-02,2022,Regular,R,Mike France,H2CT02161,16,515836.01,880637.26,880637.26
H,CT,CT-03,2022,Regular,D,Rosa DeLauro,H0CT03072,11,1625374.65,2182549.03,2182549.03
H,CT,CT-03,2022,Regular,R,Lesley DeNardis,H2CT03110,7,32373.42,46977.86,46977.86
H,CT,CT-04,2022,Regular,D,James Himes,H8CT04172,11,1119963.77,1695711.93,1695711.93
H,CT,CT-04,2022,Regular,R,Jayme Stevenson,H2CT04134,8,349106.90,560799.90,560799.9
H,CT,CT-05,2022,Regular,D,Jahana Hayes,H8CT05245,11,1558749.50,2779884.08,2779884.08
H,CT,CT-05,2022,Regular,R,George Logan,H2CT05222,13,475214.68,1297327.41,1297352.41
H,DE,DE-01,2022,Regular,D,Lisa Blunt Rochester,H6DE00206,11,2136693.19,2899174.85,2899174.85
H,DE,DE-01,2022,Regular,R,Lee Murphy,H8DE01044,8,235708.71,349933.46,349933.46
H,FL,FL-01,2022,Regular,D,Rebekah Jones,H2FL01233,9,544640.61,980885.53,980885.53
H,FL,FL-01,2022,Regular,R,Matt Gaetz,H6FL01119,11,5677524.78,6727002.23,6727002.23
H,FL,FL-02,2022,Regular,D,Al Lawson,H0FL02086,11,422487.62,829346.62,829346.62
H,FL,FL-02,2022,Regular,R,Neal Dunn,H6FL02208,11,1184013.00,1800603.34,1800603.34
H,FL,FL-03,2022,Regular,D,Danielle Hawk,H2FL03163,10,39327.51,83335.11,83335.11
H,FL,FL-03,2022,Regular,R,Kat Cammack,H0FL03175,11,1861162.17,2323162.63,2323162.63
H,FL,FL-04,2022,Regular,D,LJ Holloway,H6FL05193,7,8864.10,10465.32,10465.32
H,FL,FL-04,2022,Regular,R,Aaron Bean,H2FL04211,10,511343.70,1198576.19,1198576.19
H,FL,FL-05,2022,Regular,R,John Rutherford,H6FL04105,11,507792.27,785952.63,785952.63
H,FL,FL-06,2022,Regular,R,Michael Waltz,H8FL06148,11,2567745.60,3165364.33,3165364.33
H,FL,FL-07,2022,Regular,D,Karen Green,H2FL08139,6,27715.75,67798.90,67798.9
H,FL,FL-07,2022,Regular,R,Cory Mills,H2FL07156,14,1869240.50,2634884.12,2634884.12
H,FL,FL-08,2022,Regular,D,Joanne Terry,H2FL08105,8,39841.51,89920.38,89920.38
H,FL,FL-08,2022,Regular,R,Bill Posey,H8FL15107,11,811929.45,1030661.36,1030661.36
H,FL,FL-09,2022,Regular,D,Darren Soto,H6FL09179,11,934441.99,1337428.16,1337428.16
H,FL,FL-09,2022,Regular,R,Scotty Moore,H2FL09228,9,389899.98,601171.19,601171.19
H,FL,FL-10,2022,Regular,D,Maxwell Alejandro Frost,H2FL10259,9,1540969.62,3014746.19,3014746.19
H,FL,FL-10,2022,Regular,R,Calvin Wimbish,H2FL10283,8,131619.61,253418.48,253418.48
H,FL,FL-11,2022,Regular,D,Shante Munns,H2FL11174,4,0.00,6131.41,20763.41
H,FL,FL-11,2022,Regular,R,Daniel Webster,H0FL08208,11,595279.81,783304.69,783304.69
H,FL,FL-12,2022,Regular,D,Kimberly Walker,H6FL13197,11,15865.83,20401.13,20401.13
H,FL,FL-12,2022,Regular,R,Gus Bilirakis,H6FL09070,11,1429154.32,1985594.58,1985594.58
H,FL,FL-13,2022,Regular,D,Eric Lynn,H6FL13189,11,1473807.61,2247469.30,2247469.3
H,FL,FL-13,2022,Regular,R,Anna Paulina Luna,H0FL13158,16,1951455.75,3387013.53,3387013.53
H,FL,FL-14,2022,Regular,D,Kathy Castor,H6FL11126,11,1178580.92,1585896.95,1585896.95
