Pollster,Date,Sample,Dem,Rep,Diff
Big Data Poll,7/27 - 7/29,2617 LV,50,39,-11
Economist/YouGov,7/25 - 7/27,1407 RV,46,42,-4
CNN,7/23 - 7/27,RV,47,39,-8
Quinnipiac,7/23 - 7/27,963 RV,48,41,-7
Morning Consult,7/24 - 7/26,2200 RV,46,43,-3
Reuters/Ipsos,7/24 - 7/26,1003 RV,40,38,-2
Emerson,7/19 - 7/20,1100 LV,53,42,-11
Daily Mail,7/17 - 7/20,626 LV,50,41,-9
FOX News,7/17 - 7/20,1003 RV,53,46,-7
Economist/YouGov,7/17 - 7/20,1432 RV,46,41,-5
Morning Consult,7/17 - 7/19,2200 RV,46,43,-3
RMG Research**,7/13 - 7/14,1000 RV,47,45,-2
Harvard-Harris,7/11 - 7/12,LV,51,49,-2
Echelon Insights**,7/9 - 7/13,1004 LV,50,44,-6
Wash Post/Ipsos,7/8 - 7/13,2092 RV,48,45,-3
CNBC,7/8 - 7/12,1000 RV,49,45,-4
Morning Consult,7/10 - 7/13,2200 RV,46,43,-3
Economist/YouGov,7/10 - 7/13,1450 RV,46,42,-4
2Way/HarrisX,7/9 - 7/10,787 LV,51,49,-2
Pew Research,7/6 - 7/12,2779 RV,43,37,-6
Quantus Insights,7/3 - 7/7,1140 LV,47,42,-5
Economist/YouGov,7/3 - 7/6,1443 RV,46,43,-3
Morning Consult,6/29 - 7/5,24000 RV,45,42,-3
Cygnal,6/30 - 7/1,1500 LV,50,44,-6
Financial Times,6/26 - 6/30,1795 RV,49,42,-7
Big Data Poll,6/26 - 6/28,2604 LV,50,41,-9
Daily Mail,6/24 - 6/26,625 LV,50,42,-8
Rasmussen Reports,6/24 - 6/25,2224 LV,46,42,-4
Economist/YouGov,6/26 - 6/29,1428 RV,45,42,-3
Morning Consult,6/26 - 6/28,2202 RV,46,42,-4
Economist/YouGov,6/19 - 6/22,1517 RV,45,43,-2
Quinnipiac,6/18 - 6/22,1165 RV,49,42,-7
Echelon Insights**,6/18 - 6/22,1003 LV,51,45,-6
Reuters/Ipsos,6/18 - 6/21,1262 RV,41,36,-5
Morning Consult,6/15 - 6/21,29540 RV,46,42,-4
Quantus Insights,6/16 - 6/17,1000 LV,47,43,-4
Economist/YouGov,6/13 - 6/15,1403 RV,46,44,-2
Reuters/Ipsos,6/12 - 6/15,1195 RV,41,38,-3
Echelon Insights**,6/11 - 6/14,1012 RV,50,44,-6
Marquette,6/9 - 6/15,827 LV,53,45,-8
Emerson,6/7 - 6/8,1000 LV,50,40,-10
Economist/YouGov,6/5 - 6/8,1438 RV,45,41,-4
Reuters/Ipsos,6/3 - 6/8,3578 RV,41,37,-4
Morning Consult,6/1 - 6/7,29264 LV,46,42,-4
RMG Research**,6/3 - 6/4,1000 RV,49,45,-4
NBC News,5/29 - 6/7,2400 RV,49,44,-5
Cygnal,6/2 - 6/3,1500 LV,49,44,-5
Quantus Insights,6/1 - 6/2,1050 LV,47,42,-5
