year,pollster,start,end,sample,population,dem,rep
2018,Ipsos,2016-10-31,2016-11-04,2855,rv,45.3,37.1
2018,Ipsos,2016-11-01,2016-11-05,2831,rv,46.3,35.8
2018,Ipsos,2016-11-01,2016-11-05,2258,lv,44.6,38.3
2018,Ipsos,2016-11-02,2016-11-06,2753,rv,47.2,35.4
2018,Ipsos,2016-11-02,2016-11-06,2195,lv,45.0,38.6
2018,Ipsos,2016-11-03,2016-11-07,2812,rv,46.8,36.0
2018,Ipsos,2016-11-03,2016-11-07,2223,lv,44.7,38.9
2018,Ipsos,2016-11-04,2016-11-08,2531,rv,46.9,36.7
2018,Ipsos,2016-11-04,2016-11-08,2030,lv,44.6,39.4
2018,Ipsos,2016-11-04,2016-11-08,2972,a,41.7,33.1
2018,Ipsos,2016-11-05,2016-11-09,2241,rv,46.6,38.1
2018,Ipsos,2016-11-05,2016-11-09,1790,lv,44.7,40.4
2018,Ipsos,2016-11-05,2016-11-09,2648,a,41.4,34.3
2018,Ipsos,2016-11-06,2016-11-10,1694,rv,46.1,39.4
2018,Ipsos,2016-11-06,2016-11-10,1360,lv,43.1,42.6
2018,Ipsos,2016-11-06,2016-11-10,2016,a,40.9,35.6
2018,Ipsos,2016-11-07,2016-11-11,1155,rv,45.2,40.2
2018,Ipsos,2016-11-07,2016-11-11,925,lv,42.8,42.9
2018,Ipsos,2016-11-07,2016-11-11,1356,a,40.9,36.4
2018,Ipsos,2016-11-08,2016-11-12,575,rv,46.8,42.2
2018,Ipsos,2016-11-08,2016-11-12,483,lv,42.7,44.2
2018,Ipsos,2016-11-08,2016-11-12,680,a,42.2,37.5
2018,Ipsos,2016-11-09,2016-11-13,296,rv,47.0,44.0
2018,Ipsos,2016-11-09,2016-11-13,241,lv,45.0,46.0
2018,Ipsos,2016-11-09,2016-11-13,342,a,43.0,41.0
2018,PPP,2017-01-23,2017-01-24,1043,rv,48.0,40.0
2018,PPP,2017-01-30,2017-01-31,725,rv,45.0,42.0
2018,Emerson,2017-02-05,2017-02-06,617,rv,48.1,46.3
2018,McLaughlin,2017-02-02,2017-02-06,1000,lv,42.4,44.0
2018,PPP,2017-02-07,2017-02-08,712,rv,49.0,41.0
2018,McLaughlin,2017-02-15,2017-02-20,1000,lv,43.5,43.8
2018,PPP,2017-02-21,2017-02-22,941,rv,46.0,43.0
2018,PPP,2017-03-10,2017-03-12,808,rv,46.0,41.0
