state_abbr,state_name,race_desc,next_election,current_incumbent,party,Term_Length,prob_dem,prob_rep,margin,proj_dem,proj_rep,dem_name,rep_name,incumbent,rcp_dem,rcp_rep,kalshi_dem,kalshi_rep,poly_dem,poly_rep
AL,Alabama,Democrats have not won a gubernatorial election in Alabama since 1998.,2026,Kay Ivey,R,4,0.06,0.94,25,37.5,62.5,Doug Jones,Tommy Tuberville,None,N/A,N/A,0.06,0.94,N/A,N/A
AK,Alaska,"Alaska has a very interesting race with Democrat Tom Begich, part of a well known family in Alaska, running for governor in this open seat.",2026,Mike Dunleavy,R,4,0.24,0.76,10,45,55,Nick Begich,Dave Bronson,None,N/A,N/A,0.24,0.76,N/A,N/A
AZ,Arizona,Incumbent Katie Hubbs is running for a second term in a state that Trump won back in 2024.,2026,Katie Hobbs,D,4,0.71,0.29,-3,51.5,48.5,Katie Hobbs,Andy Biggs,D,N/A,N/A,0.71,0.29,N/A,N/A
AR,Arkansas,Incumbent Governor Sarah Huckabee Sanders is seeking re-election to a second term.,2026,Sarah Huckabee Sanders,R,4,0.06,0.94,25,37.5,62.5,Fredrick Love,Sarah Huckabee Sanders,R,N/A,N/A,0.06,0.94,N/A,N/A
CA,California,California hasn't elected a Republican for Governor since Arnold Schwarzenegger in 2006.,2026,Gavin Newsom,D,4,0.86,0.14,-20,60,40,Katie Porter,Chad Bianco,None,N/A,N/A,0.86,0.14,N/A,N/A
CO,Colorado,Colorado is a reliable Democrat state and Republicans have not won a gubernatorial election in Colorado since Bill Owens was re-elected in 2002.,2026,Jared Polis,D,4,0.91,0.09,-20,60,40,Michael Bennet,Barbara Kirkmeyer,None,N/A,N/A,0.91,0.09,N/A,N/A
CT,Connecticut,Incumbent Governor Ned Lamont is running for a third term.,2026,Ned Lamont,D,4,0.94,0.06,-11,55.5,44.5,Ned Lamont,Ryan Fazio,D,N/A,N/A,0.94,0.06,N/A,N/A
FL,Florida,The race to succeed Incumbent Governor Ron DeSantis will be an interesting one in this once swing state now trending strongly towards Republicans.,2026,Ron DeSantis,R,4,0.15,0.85,8,46,54,David Jolly,Byron Donalds,None,N/A,N/A,0.15,0.85,N/A,N/A
GA,Georgia,Democrats have not won a gubernatorial election in Georgia since 1998. This year might be their best shot yet to break that streak.,2026,Brian Kemp,R,4,0.55,0.45,1,49.5,50.5,Keisha Lance Bottoms,Rick Jackson,None,N/A,N/A,0.55,0.45,N/A,N/A
HI,Hawaii,Republicans have not won a gubernatorial eelction in Hawaii since Linda Lingle was re-elected in 2006.,2026,Josh Green,D,4,0.94,0.06,-30,65,35,Josh Green,TBD,D,N/A,N/A,0.94,0.06,N/A,N/A
ID,Idaho,Incumbent Governor Brad Little is running for a third term. Democrats have not won the governership here since 1990.,2026,Brad Little,R,4,0.07,0.93,30,35,65,TBD,Brad Little,R,N/A,N/A,0.07,0.93,N/A,N/A
IL,Illinois,Incumbent Governor JB Pritzker is running for a third term.,2026,JB Pritzker,D,4,0.9,0.1,-15,57.5,42.5,JB Pritzker,Darren Bailey,D,N/A,N/A,0.9,0.1,N/A,N/A
IA,Iowa,"This is surprisingly the first open seat gubernatorial election in the state since 2006, which as also the last gubernatorial election in Iowa won by a Democrat.",2026,Kim Reynolds,R,4,0.49,0.51,2,49,51,Rob Sand,Randy Feenstra,None,N/A,N/A,0.49,0.51,N/A,N/A
KS,Kansas,Democrat Governor Laura Kelly is term limited in this typically Republican state.,2026,Laura Kelly,D,4,0.29,0.71,10,45,55,Ethan Corson,Jeff Colyer,None,N/A,N/A,0.29,0.71,N/A,N/A
ME,Maine,Maine is a reliably Democrat state although it currenlty has one Republican senator.,2026,Janet Mills,D,4,0.87,0.13,-10,55,45,Hannah Pingree,Robert Charles,None,N/A,N/A,0.87,0.13,N/A,N/A
