township,precinct,ballots,reg_voters,gov_d,gov_r,gov_total,gov_d_pct,gov_r_pct,gov_margin,sen_d,sen_r,sen_total,sen_d_pct,sen_r_pct,sen_margin,house_d,house_r,house_total,house_d_pct,house_r_pct,house_margin,house_dist,srep_d,srep_r,srep_total,srep_d_pct,srep_r_pct,srep_margin,srep_dist
Barberton,BARBERTON 1-A,423,871,197,209,415,47.5,50.4,-2.9,210,203,413,50.8,49.2,1.7,206,204,410,50.2,49.8,0.5,CD-13,197,186,403,48.9,46.2,2.7,HD-35
Barberton,BARBERTON 1-B,381,877,183,169,368,49.7,45.9,3.8,206,169,375,54.9,45.1,9.9,198,170,368,53.8,46.2,7.6,CD-13,185,150,362,51.1,41.4,9.7,HD-35
Barberton,BARBERTON 1-C,447,889,226,191,438,51.6,43.6,8,246,184,430,57.2,42.8,14.4,236,193,429,55,45,10,CD-13,211,178,417,50.6,42.7,7.9,HD-35
Barberton,BARBERTON 2-A,467,954,251,189,459,54.7,41.2,13.5,291,163,454,64.1,35.9,28.2,277,167,444,62.4,37.6,24.8,CD-13,241,157,431,55.9,36.4,19.5,HD-35
Barberton,BARBERTON 2-B,531,894,270,233,517,52.2,45.1,7.2,318,202,520,61.2,38.8,22.3,302,206,508,59.4,40.6,18.9,CD-13,265,194,493,53.8,39.4,14.4,HD-35
Barberton,BARBERTON 2-C,407,894,224,161,397,56.4,40.6,15.9,242,153,395,61.3,38.7,22.5,230,160,390,59,41,17.9,CD-13,210,152,383,54.8,39.7,15.1,HD-35
Barberton,BARBERTON 3-A,429,1008,323,89,421,76.7,21.1,55.6,335,87,422,79.4,20.6,58.8,333,87,420,79.3,20.7,58.6,CD-13,317,81,420,75.5,19.3,56.2,HD-35
Barberton,BARBERTON 3-B,519,944,300,188,504,59.5,37.3,22.2,354,161,515,68.7,31.3,37.5,347,164,511,67.9,32.1,35.8,CD-13,320,146,495,64.6,29.5,35.2,HD-35
Barberton,BARBERTON 3-C,692,948,341,336,684,49.9,49.1,0.7,379,298,677,56,44,12,362,308,670,54,46,8.1,CD-13,328,294,647,50.7,45.4,5.3,HD-35
Barberton,BARBERTON 4-A,266,759,147,104,261,56.3,39.8,16.5,155,106,261,59.4,40.6,18.8,148,108,256,57.8,42.2,15.6,CD-13,136,104,253,53.8,41.1,12.6,HD-35
Barberton,BARBERTON 4-B,319,808,180,116,315,57.1,36.8,20.3,193,122,315,61.3,38.7,22.5,190,123,313,60.7,39.3,21.4,CD-13,178,114,307,58,37.1,20.8,HD-35
Barberton,BARBERTON 4-C,394,810,221,156,389,56.8,40.1,16.7,235,150,385,61,39,22.1,224,160,384,58.3,41.7,16.7,CD-13,197,151,374,52.7,40.4,12.3,HD-35
Barberton,BARBERTON 5-A,368,835,179,161,357,50.1,45.1,5,204,155,359,56.8,43.2,13.6,200,160,360,55.6,44.4,11.1,CD-13,175,142,351,49.9,40.5,9.4,HD-35
Barberton,BARBERTON 5-B,380,802,203,146,368,55.2,39.7,15.5,218,145,363,60.1,39.9,20.1,201,160,361,55.7,44.3,11.4,CD-13,181,143,353,51.3,40.5,10.8,HD-35
Barberton,BARBERTON 5-C,353,802,186,141,341,54.5,41.3,13.2,209,139,348,60.1,39.9,20.1,201,144,345,58.3,41.7,16.5,CD-13,185,138,339,54.6,40.7,13.9,HD-35
Barberton,BARBERTON 6-A,525,788,258,239,516,50,46.3,3.7,272,242,514,52.9,47.1,5.8,261,244,505,51.7,48.3,3.4,CD-13,236,220,481,49.1,45.7,3.3,HD-35
