township,precinct,ballots,reg_voters,pres_d,pres_r,pres_total,pres_d_pct,pres_r_pct,pres_margin,house_d,house_r,house_total,house_d_pct,house_r_pct,house_margin,house_dist,srep_d,srep_r,srep_total,srep_d_pct,srep_r_pct,srep_margin,srep_dist
Barberton,BARBERTON 1-A,573,886,202,356,566,35.7,62.9,-27.2,217,323,540,40.2,59.8,19.6,13,210,319,529,39.7,60.3,20.6,35
Barberton,BARBERTON 1-B,588,892,236,335,582,40.5,57.6,-17,250,291,541,46.2,53.8,7.6,13,236,311,547,43.1,56.9,13.8,35
Barberton,BARBERTON 1-C,662,928,283,364,656,43.1,55.5,-12.3,281,322,603,46.6,53.4,6.8,13,268,332,600,44.7,55.3,10.6,35
Barberton,BARBERTON 2-A,652,958,303,333,648,46.8,51.4,-4.6,300,305,605,49.6,50.4,0.8,13,288,310,598,48.2,51.8,3.6,35
Barberton,BARBERTON 2-B,685,886,308,349,670,46,52.1,-6.1,312,329,641,48.7,51.3,2.6,13,315,317,632,49.8,50.2,0.4,35
Barberton,BARBERTON 2-C,583,922,267,298,576,46.4,51.7,-5.4,283,267,550,51.5,48.5,-3,13,272,271,543,50.1,49.9,-0.2,35
Barberton,BARBERTON 3-A,627,1035,424,191,622,68.2,30.7,37.5,418,178,596,70.1,29.9,-40.2,13,411,182,593,69.3,30.7,-38.6,35
Barberton,BARBERTON 3-B,706,996,416,278,698,59.6,39.8,19.8,419,240,659,63.6,36.4,-27.2,13,395,261,656,60.2,39.8,-20.4,35
Barberton,BARBERTON 3-C,832,942,362,444,817,44.3,54.3,-10,364,416,780,46.7,53.3,6.6,13,352,405,757,46.5,53.5,7,35
Barberton,BARBERTON 4-A,401,772,190,196,397,47.9,49.4,-1.5,189,180,369,51.2,48.8,-2.4,13,196,181,377,52,48,-4,35
Barberton,BARBERTON 4-B,478,804,238,220,472,50.4,46.6,3.8,239,201,440,54.3,45.7,-8.6,13,225,217,442,50.9,49.1,-1.8,35
Barberton,BARBERTON 4-C,608,857,262,330,604,43.4,54.6,-11.3,279,285,564,49.5,50.5,1,13,269,292,561,48,52,4,35
Barberton,BARBERTON 5-A,544,811,211,316,539,39.1,58.6,-19.5,217,278,495,43.8,56.2,12.4,13,225,273,498,45.2,54.8,9.6,35
Barberton,BARBERTON 5-B,558,802,244,298,552,44.2,54,-9.8,239,274,513,46.6,53.4,6.8,13,233,282,515,45.2,54.8,9.6,35
