State,Year,Dem_Seats,Rep_Seats,dem_pct,rep_pct,margin,dem_votes,rep_votes,vote_margin,total votes
Alabama,2024,2,5,25.29,73.66,48.37,517881,1508610,990729,2048663
Alaska,2024,0,1,48.78,51.22,2.44,156985,164861,7876,329555
Arizona,2024,3,6,47.67,51.66,3.99,1551107,1680841,129734,3253920
Arkansas,2024,0,4,31.34,66.77,35.43,358749,764367,405618,1144800
California,2024,43,9,60.48,39.23,-21.25,9138709,5928084,-3210625,15111243
Colorado,2024,4,4,54.28,42.52,-11.76,1667163,1306086,-361077,3073391
Connecticut,2024,5,0,58.85,40.43,-18.42,1000415,687319,-313096,1701914
Delaware,2024,1,0,57.86,42.14,-15.72,287830,209606,-78224,497436
Florida,2024,8,20,42.02,57.86,15.84,4339733,5975435,1635702,10327922
Georgia,2024,5,9,47.5,52.5,5,2434984,2702118,267134,5137102
Hawaii,2024,2,0,69.03,29.21,-39.82,330488,139844,-190644,522236
Idaho,2024,0,2,28.03,66.52,38.49,244885,581168,336283,917600
Illinois,2024,14,3,52.78,46.97,-5.81,2829169,2517389,-311780,5360054
Indiana,2024,2,7,38.47,58.18,19.71,1103484,1668618,565134,2868107
Iowa,2024,0,4,43.24,56.2,12.96,696033,904563,208530,1609609
Kansas,2024,1,3,40.3,57.39,17.09,526153,749375,223222,1305649
Kentucky,2024,1,5,26.87,73.07,46.2,511998,1392354,880356,1905534
Louisiana,2024,2,4,34.15,65.49,31.34,650836,1248101,597265,1905718
Maine,2024,0,2,54.7,42.75,-11.95,446949,349294,-97655,1234099
Maryland,2024,7,1,63.48,34.67,-28.81,1863416,1017654,-845762,2935328
Massachusetts,2024,9,0,80.19,10.23,-69.96,2386170,304460,-2081710,3512930
Michigan,2024,6,7,47.97,48.75,0.78,2634228,2676970,42742,5516896
Minnesota,2024,4,4,50.2,49.27,-0.93,1579742,1550499,-29243,3146762
Mississippi,2024,1,3,30.12,69.88,39.76,350353,812799,462446,1163152
Missouri,2024,2,6,38.47,58.51,20.04,1116732,1698595,581863,2924863
Montana,2024,0,2,39.73,58.61,18.88,237496,350361,112865,597811
Nebraska,2024,0,3,36.38,63.62,27.24,338154,591238,253084,929392
Nevada,2024,3,1,37.43,48.54,11.11,534115,692714,158599,1427077
New Hampshire,2024,2,0,53.47,46.45,-7.02,430218,373746,-56472,830986
New Jersey,2024,9,3,52.41,45.3,-7.11,2115843,1828853,-286990,4037126
New Mexico,2024,3,0,55.07,44.93,-10.14,493722,402776,-90946,896498
New York,2024,19,7,57.21,42.52,-14.69,4527087,3364296,-1162791,8380426
North Carolina,2024,4,10,42.8,52.78,9.98,2328248,2889657,561409,5483155
North Dakota,2024,0,1,30.36,69.24,38.88,109231,249101,139870,359787
Ohio,2024,5,10,43.43,56.57,13.14,2382078,3104290,722212,5570784
Oklahoma,2024,0,5,31.02,65.09,34.07,397829,834553,436724,1282106
Oregon,2024,5,1,53.38,42.3,-11.08,1151394,912337,-239057,2156972
Pennsylvania,2024,7,10,48.95,51.05,2.1,3338371,3481113,142742,6819484
Rhode Island,2024,2,0,60.42,37.17,-23.25,292791,180123,-112668,484598
South Carolina,2024,1,6,39.51,60.48,20.97,960885,1470674,509789,2474904
South Dakota,2024,0,1,27.96,72.04,44.08,117818,303630,185812,421448
Tennessee,2024,1,8,33.41,64.39,30.98,977870,1884691,906821,2926955
Texas,2024,13,25,40.39,58.41,18.02,4311123,6235017,1923894,10673912
Utah,2024,0,4,32.52,62.77,30.25,471051,909332,438281,1448677
Vermont,2024,1,0,62.29,29.79,-32.5,218398,104451,-113947,372885
Virginia,2024,6,5,51.4,47.64,-3.76,2274922,2108450,-166472,4425762
Washington,2024,8,2,57.21,42.26,-14.95,2155907,1592599,-563308,3768180
West Virginia,2024,0,2,27.76,68.67,40.91,200813,496681,295868,723284
Wisconsin,2024,2,6,48.21,51.17,2.96,1603350,1701860,98510,3325606
Wyoming,2024,0,1,23.24,70.61,47.37,60778,184680,123902,271123
Alabama,2022,1,6,23.71,70.13,46.42,318540,942393,623853,1343710
Alaska,2022,0,1,48.77,49.08,0.31,128553,129379,826,263610
Arizona,2022,3,6,42.56,56.14,13.58,1004462,1324961,320499,2360078
Arkansas,2022,0,4,30.36,66.81,36.45,271771,598000,326229,895102
California,2022,40,12,63.28,36.22,-27.06,6743737,3859666,-2884071,10656368
Colorado,2022,5,3,55.23,42.51,-12.72,1365427,1050960,-314467,2472074
Connecticut,2022,5,0,56.51,41.34,-15.17,712823,521387,-191436,1261351
Delaware,2022,1,0,55.47,42.97,-12.5,178416,138201,-40215,321649
Florida,2022,8,20,39.63,58.25,18.62,2905702,4271196,1365494,7332304
Georgia,2022,5,9,47.69,52.31,4.62,1863870,2044802,180932,3908686
Hawaii,2022,2,0,64.85,29.59,-35.26,271953,124091,-147862,419363
Idaho,2022,0,2,31.01,67.74,36.73,180997,395351,214354,583628
Illinois,2022,14,3,56.09,43.68,-12.41,2271361,1768782,-502579,4049405
