district_id,district_name,state_abbr,state_name,year,dem_candidate,rep_candidate,incumbent,dem_pct,rep_pct,margin,dem_votes,rep_votes,vote_margin,total_votes,dem_extra,rep_extra
201,AK-01,AK,Alaska,2016,Steve Lindbeck,Don Young,R,36.02,50.32,14.3,111019,155088,44069,308198,,
101,AL-01,AL,Alabama,2016,,Bradley Byrne,R,0,96.38,96.38,0,208083,208083,215893,,
102,AL-02,AL,Alabama,2016,Nathan Mathis,Martha Roby,R,40.53,48.77,8.24,112089,134886,22797,276584,,
103,AL-03,AL,Alabama,2016,Jesse Smith,Mike Rogers,R,32.93,66.93,34,94549,192164,97615,287104,,
104,AL-04,AL,Alabama,2016,,Robert B. Aderholt,R,0,98.53,98.53,0,235925,235925,239444,,
105,AL-05,AL,Alabama,2016,"Will Boyd, Jr.",Mo Brooks,R,33.16,66.7,33.54,102234,205647,103413,308326,,
106,AL-06,AL,Alabama,2016,David J. Putman,Gary J. Palmer,R,25.42,74.49,49.07,83709,245313,161604,329306,,
107,AL-07,AL,Alabama,2016,Terri A. Sewell,,D,98.41,0,-98.41,229330,0,-229330,233028,,
501,AR-01,AR,Arkansas,2016,Mark West (L),Eric A. “Rick” Crawford,R,23.72,76.28,52.56,57181,183866,126685,241047,,
502,AR-02,AR,Arkansas,2016,Dianne Curry,J. French Hill,R,36.81,58.34,21.53,111347,176472,65125,302464,,
503,AR-03,AR,Arkansas,2016,Steve Isaacson (L),Steve Womack,R,22.68,77.32,54.64,63715,217192,153477,280907,,
504,AR-04,AR,Arkansas,2016,Kerry Hicks (L),Bruce Westerman,R,25.1,74.9,49.8,61274,182885,121611,244159,,
401,AZ-01,AZ,Arizona,2016,Tom O’Halleran,Paul Babeu,None,50.66,43.37,-7.29,142219,121745,-20474,280710,,
402,AZ-02,AZ,Arizona,2016,Matt Heinz,Martha McSally,R,43.04,56.96,13.92,135873,179806,43933,315679,,
403,AZ-03,AZ,Arizona,2016,Raúl M. Grijalva,Bill Abatecola,D,98.63,0.86,-97.77,148973,1303,-147670,151035,,
404,AZ-04,AZ,Arizona,2016,Mikel Weisser,Paul A. Gosar,R,28.55,71.45,42.9,81296,203487,122191,284783,,
405,AZ-05,AZ,Arizona,2016,Talia Fuentes,Andy Biggs,None,35.9,64.1,28.2,114940,205184,90244,320124,,
