district_id,code,state,state_name,pres16_total,pres16_dem,pres16_rep,pres20_total,pres20_dem,pres20_rep,pres24_total,pres24_dem,pres24_rep,margin_2016,margin_2020,margin_2024
201,AK-01,AK,Alaska,318608,116454,163387,357569,153778,189951,337780,139695,184410,-16.77130942,-10.52369745,-13.79645485
101,AL-01,AL,Alabama,297479,97477,190125,324766,111504,209022,328069,103121,220876,-32.21396235,-30.42436495,-36.34447233
102,AL-02,AL,Alabama,294563,127407,159319,310336,139947,166756,293174,123962,165887,-11.12978942,-8.741029595,-14.46442803
103,AL-03,AL,Alabama,289677,79538,200498,322821,93356,225352,316410,82862,230048,-43.19444643,-41.41596697,-47.0378064
104,AL-04,AL,Alabama,297488,51956,236405,326492,60120,262489,323861,52911,267661,-63.9646138,-62.72887613,-66.98963103
105,AL-05,AL,Alabama,298086,92178,189897,346248,122869,216421,353600,122382,224861,-34.64291412,-27.57287276,-29.51218599
106,AL-06,AL,Alabama,320579,88483,217406,356423,116892,233531,349473,112016,231535,-42.14698796,-33.28520103,-34.78930348
107,AL-07,AL,Alabama,325952,192568,124979,336196,204936,127599,300503,175158,121748,21.28472321,23.25680004,17.98885843
501,AR-01,AR,Arkansas,274701,82710,178526,286792,80516,197832,279751,73540,200849,-36.67794638,-42.14724015,-46.39726811
502,AR-02,AR,Arkansas,306119,120843,166843,333041,140254,183964,322108,131691,182666,-15.98965539,-13.48166974,-16.21564018
503,AR-03,AR,Arkansas,259373,82476,156678,300274,110479,180794,316568,114236,193730,-31.02686972,-24.14058289,-25.8125897
504,AR-04,AR,Arkansas,290299,94416,182697,298962,92683,198057,280797,81677,193950,-31.85740113,-36.24337896,-40.73367268
401,AZ-01,AZ,Arizona,371758,165645,181468,462714,231828,225000,450734,216232,230237,-4.558457909,1.494654443,-3.136835928
402,AZ-02,AZ,Arizona,317058,130295,162484,405642,183709,215674,416477,174969,237306,-10.99429945,-8.003595546,-15.12024741
403,AZ-03,AZ,Arizona,170143,121424,36498,229528,171012,54815,213222,147522,62762,53.77718114,51.45398912,40.30739381
404,AZ-04,AZ,Arizona,292378,136013,128842,371378,201148,162949,347506,182893,159723,2.707519209,10.49143497,6.76267308
405,AZ-05,AZ,Arizona,293915,103832,166365,417448,171318,239637,445025,175673,264571,-23.1434842,-16.62444793,-20.19289303
406,AZ-06,AZ,Arizona,354405,155070,173737,436083,214892,214586,440175,216024,219323,-5.677190571,0.07124928401,-0.7577863176
407,AZ-07,AZ,Arizona,236125,149723,70427,296842,194849,97589,281685,170352,108028,36.0190779,33.25833168,22.38810259
408,AZ-08,AZ,Arizona,313776,116708,176019,402270,171106,225569,392023,162183,226186,-20.26154062,-13.72987962,-16.47994562
409,AZ-09,AZ,Arizona,255099,82457,156561,363389,132281,225867,402472,137012,262106,-31.00352275,-26.13053821,-31.34261046
601,CA-01,CA,California,321841,170598,126522,369547,212964,147017,341644,186164,144424,14.83441034,18.31957798,12.62598763
602,CA-02,CA,California,360469,211519,123116,417404,263170,144491,389315,236524,140558,26.41773873,29.11217899,25.44963695
603,CA-03,CA,California,312846,158917,130674,390775,217623,163088,366634,195637,158302,9.752720216,14.32451387,10.54842784
604,CA-04,CA,California,294872,167192,107953,361299,214496,138292,343934,191758,141847,21.53010231,21.60050795,14.9611067
605,CA-05,CA,California,307542,117813,171874,383759,159852,215543,362461,139201,214114,-18.66186608,-14.83530681,-21.2028926
606,CA-06,CA,California,267285,138060,110749,357325,196529,151560,336344,176808,148595,10.97669297,12.91882249,8.670172064
607,CA-07,CA,California,292191,164796,109416,375056,220144,146476,346907,190078,145585,20.19605269,20.09383012,13.25525899
608,CA-08,CA,California,276809,191499,69772,343801,241492,94851,312348,204494,98040,46.59032193,43.59864781,35.18745001
609,CA-09,CA,California,223768,135705,76029,295299,183175,105771,268485,145369,114692,28.18442007,26.78839645,11.79607861
610,CA-10,CA,California,332881,215821,96748,413477,282092,122486,377829,246078,119171,38.09494864,39.44999481,34.74533811
611,CA-11,CA,California,363048,312188,32219,393710,339716,46188,361181,295462,50870,81.29015961,76.0624404,70.62356352
612,CA-12,CA,California,326129,285851,21158,367980,328667,31678,318372,269134,33869,86.21669072,82.41796057,77.64444576
613,CA-13,CA,California,172949,99641,63356,223212,128684,89225,207956,101626,100599,22.26114591,18.10801757,0.5078501669
614,CA-14,CA,California,261784,185055,61360,327119,234592,85794,285585,186755,87473,50.19783698,46.44335271,36.20418046
615,CA-15,CA,California,288196,222846,51514,351206,272983,71576,305556,220581,74238,62.4478787,58.45355948,49.63825262
616,CA-16,CA,California,323947,241413,63325,378287,284912,85226,340107,245843,82146,58.43970886,53.94906765,49.90929574
617,CA-17,CA,California,244152,181413,48738,303008,221507,75429,264237,177855,74877,57.64693614,49.19511275,40.74592849
618,CA-18,CA,California,209851,148302,49331,267322,187853,73682,237448,148784,81233,50.0781752,43.65419542,29.36782933
619,CA-19,CA,California,343793,228213,92930,412422,283131,119846,376406,246335,116873,42.12547058,40.51968226,35.64403868
620,CA-20,CA,California,254783,79369,161348,330665,118319,204971,315433,103304,204989,-34.05617385,-26.80317981,-32.98323348
621,CA-21,CA,California,178879,103959,65153,230879,137371,88586,201804,104262,92148,22.94692275,21.59039109,6.167710402
622,CA-22,CA,California,148327,85332,54863,189956,108930,76598,171160,81761,84855,21.73330005,17.4270191,-1.856964517
623,CA-23,CA,California,239572,93385,132767,301409,128992,165463,276563,107871,161464,-17.41395168,-12.38593333,-19.89826796
624,CA-24,CA,California,324394,191795,110312,378599,239698,129955,351365,214059,126370,26.97156968,29.68811291,25.75838134
625,CA-25,CA,California,217741,122676,85098,283332,162219,115733,270081,139917,124154,18.08599729,16.72447041,5.969227973
626,CA-26,CA,California,309914,177503,114648,377422,227110,142642,343374,193089,140597,21.51455925,22.84450118,15.73095665
627,CA-27,CA,California,257839,145107,97256,329919,193710,128922,296071,157992,129114,19.74352521,20.08108309,10.05830599
628,CA-28,CA,California,288234,184398,87774,368031,240596,120216,326776,199321,116646,35.5010802,33.36363536,26.16570718
629,CA-29,CA,California,217818,167798,38126,278708,205835,66753,239025,156032,75625,62.97080476,51.02278897,34.70950586
630,CA-30,CA,California,309258,225759,66999,382071,273452,101697,341501,233206,96623,54.22909024,45.78314216,41.41024592
631,CA-31,CA,California,256037,157364,83888,330596,203333,120410,291926,159433,123733,30.45612057,25.61383567,12.60744581
632,CA-32,CA,California,322638,212185,93210,396309,261121,127773,359671,219580,129616,38.95774325,34.28903506,25.76318171
633,CA-33,CA,California,209314,130175,67605,275681,170325,99061,248383,132778,108364,31.63616139,26.45423296,10.12432509
634,CA-34,CA,California,198317,166571,20440,253311,205047,42312,214522,156727,48089,78.1403233,65.78899494,53.04175455
