PA,district_name,state_abbr,state_name,new_26,new_26_desc,24,24_desc,22,22_desc,20,20_desc,18,18_desc,16,16_desc
101,AL-01,AL,Alabama,Yes,"Alabama reinstated the legislature's 2023 map for 2026 (enacted June 2, 2026) after the U.S. Supreme Court let the state discard its court-ordered map; AL-1 keeps its Gulf Coast/Mobile core but its lines revert toward the pre-2024 configuration.",Yes,"AL-1 traded its northern and western reaches for the Wiregrass: out went Washington and Monroe counties and 40% of Mobile County, in came Dale, Coffee, Covington, Geneva, Houston and Henry counties plus the rest of Escambia. It stayed safely Republican.",Yes,"AL-1 kept most of its previous shape, dropping out of Clarke County and cutting its share of Escambia County from 100% to 85%. It was safely Republican.",No,,No,,No,
102,AL-02,AL,Alabama,Yes,"AL-2 saw the biggest change under Alabama's reinstated 2026 map (enacted June 2, 2026): after the U.S. Supreme Court let the state discard its court-ordered map, AL-2 reverted to the heavily Republican, Wiregrass-based district used before 2024, undoing the seat Democrats had flipped that year.",Yes,"AL-2 was the seat the court-ordered map created. It gave up the entire Wiregrass — Dale, Coffee, Covington, Geneva, Houston and Henry counties — and reached west instead for Washington, Monroe, Russell and Macon counties, 40% of Mobile and nearly all of Montgomery. About half its area was replaced, turning a safely Republican seat into a Democratic-leaning one.",Yes,"AL-2 kept most of its previous shape, taking 15% of Escambia County and raising its share of Montgomery County from 69% to 83%. It was safely Republican.",No,,No,,No,
103,AL-03,AL,Alabama,Yes,"Alabama's 2026 map (enacted June 2, 2026) reinstates the legislature's 2023 plan after the U.S. Supreme Court lifted the requirement for a court-ordered second Black-opportunity district; AL-3 shifts back toward its pre-2024 east Alabama footprint.",Yes,"AL-3 picked up Etowah County and gave up Coosa, Russell and Macon counties as the districts to its south and west were rebuilt. It remained safely Republican.",Yes,"AL-3 kept most of its previous shape, adding Coosa County, taking 24% of Chilton County and taking in the rest of Cherokee County. It was safely Republican.",No,,No,,No,
104,AL-04,AL,Alabama,Yes,"Under Alabama's reinstated 2026 map (enacted June 2, 2026), AL-4 reverts toward its pre-2024 north Alabama boundaries as the state abandoned the court-ordered map after a favorable U.S. Supreme Court ruling.",Yes,"AL-4 added Blount County and larger shares of Lauderdale and Tuscaloosa, giving up Lawrence County and its share of Etowah. It stayed safely Republican.",Yes,"AL-4 kept most of its previous shape, taking 51% of Lauderdale County, cutting its share of Tuscaloosa County from 62% to 43% and dropping out of Cherokee County. It was safely Republican.",No,,No,,No,
105,AL-05,AL,Alabama,Yes,"Alabama's 2026 map (enacted June 2, 2026) restores the legislature's 2023 plan after the U.S. Supreme Court let the state discard its court-ordered map; AL-5 returns to roughly its pre-2024 north Alabama/Huntsville lines.",Yes,"AL-5 took all of Lawrence County and cut its share of Lauderdale from 49% to 28%, otherwise keeping its north Alabama shape. It remained safely Republican.",Yes,"AL-5 kept most of its previous shape, cutting its share of Lauderdale County from 99% to 49%. It was safely Republican.",No,,No,,No,
106,AL-06,AL,Alabama,Yes,"Under Alabama's reinstated 2026 map (enacted June 2, 2026), AL-6's Birmingham-suburbs boundaries shift back toward their pre-2024 shape as the state abandoned the court-ordered map after the U.S. Supreme Court's ruling.",Yes,"AL-6 shifted south to take Coosa, Elmore and Autauga counties and the rest of Chilton, dropping Blount County and cutting its share of Jefferson from 57% to 40%. It stayed safely Republican.",Yes,"AL-6 was reshaped, taking in the rest of Blount County, giving up Coosa County and cutting its share of Chilton County from 100% to 76%. It was safely Republican.",No,,No,,No,
107,AL-07,AL,Alabama,Yes,"AL-7 remains Alabama's only Black-opportunity district under the reinstated 2026 map (enacted June 2, 2026), with its lines pulled back toward the more compact Black Belt-and-Birmingham configuration used before the 2024 court-ordered map created a second such district.",Yes,AL-7 raised its share of Jefferson County and Birmingham from 43% to 59% while giving up Montgomery County and parts of Clarke and Tuscaloosa. It remained the state's solidly Democratic seat.,Yes,"AL-7 kept most of its previous shape, raising its share of Jefferson County from 21% to 43% and raising its share of Tuscaloosa County from 37% to 57%. It was solidly Democratic.",No,,No,,No,
201,AK-01,AK,Alaska,,,No,,No,,No,,No,,No,
401,AZ-01,AZ,Arizona,,,No,,Yes,"AZ-1 was rebuilt almost from scratch, taking 17% of Maricopa County, giving up Coconino, Greenlee, Navajo, Graham and Apache counties and dropping out of Pinal County. It was a Republican-leaning toss-up.",No,,No,,No,
402,AZ-02,AZ,Arizona,,,No,,Yes,"AZ-2 was rebuilt almost from scratch, adding Coconino, Gila, Navajo, Apache and Yavapai counties, taking 55% of Pinal County and taking 37% of Graham County. It leaned Republican.",No,,No,,No,
