chamber,district,round,dem_votes,rep_votes,oth_votes,total_votes
House,1,primary,0,10646,0,10646
House,3,primary,6983,0,0,6983
House,5,primary,4116,8055,0,12171
House,10,primary,3154,9533,0,12687
House,15,primary,0,12921,0,12921
House,16,primary,8132,0,0,8132
House,18,primary,9721,5826,0,15547
House,20,primary,2474,13815,0,16289
House,21,primary,7135,0,5833,12968
House,22,primary,0,13581,0,13581
House,24,primary,0,12636,1402,14038
House,26,primary,8300,0,0,8300
House,28,primary,4306,7835,641,12782
House,30,primary,0,8038,0,8038
House,31,primary,1935,12077,0,14012
House,32,primary,4525,8134,0,12659
House,33,primary,0,11001,0,11001
House,34,primary,11341,0,0,11341
House,35,primary,0,13021,0,13021
House,36,primary,0,13398,0,13398
House,37,primary,0,12412,0,12412
House,38,primary,5885,8880,0,14765
House,39,primary,4009,9421,0,13430
House,40,primary,8922,3770,0,12692
House,43,primary,2823,11878,0,14701
House,45,primary,3180,8583,0,11763
House,46,primary,0,14837,0,14837
House,48,primary,2039,13739,0,15778
House,50,primary,0,7480,4328,11808
House,51,primary,0,9762,0,9762
House,54,primary,0,11716,0,11716
House,55,primary,0,13934,0,13934
House,58,primary,13088,0,0,13088
House,62,primary,0,7972,7423,15395
House,63,primary,11072,0,0,11072
House,66,primary,5015,12961,649,18625
House,67,primary,6075,939,0,7014
House,68,primary,4832,9198,0,14030
House,69,primary,0,10892,2924,13816
House,70,primary,5504,8476,478,14458
House,71,primary,1736,9764,0,11500
House,72,primary,9629,0,2268,11897
House,73,primary,0,12064,0,12064
House,74,primary,2464,11241,0,13705
House,75,primary,7334,4072,0,11406
House,76,primary,0,10353,0,10353
House,77,primary,3617,14860,0,18477
House,78,primary,0,12702,0,12702
House,80,primary,0,10548,0,10548
House,82,primary,4022,9625,0,13647
House,83,primary,8880,0,0,8880
House,84,primary,0,10920,0,10920
House,87,primary,7256,0,0,7256
House,88,primary,0,12961,0,12961
House,89,primary,2431,11809,0,14240
House,90,primary,0,9799,1046,10845
House,91,primary,11323,0,0,11323
House,94,primary,5317,10287,226,15830
House,95,primary,2410,8717,0,11127
House,96,primary,7880,0,2274,10154
House,97,primary,15142,0,0,15142
House,98,primary,12345,0,0,12345
House,99,primary,11216,0,0,11216
House,100,primary,10902,0,0,10902
House,105,primary,4557,7135,0,11692
House,3,runoff,9765,0,0,9765
House,15,runoff,0,15206,0,15206
House,20,runoff,0,16467,0,16467
House,21,runoff,7856,0,5528,13384
House,30,runoff,0,8405,0,8405
House,31,runoff,0,15540,0,15540
House,34,runoff,12965,0,0,12965
House,37,runoff,0,13140,0,13140
House,46,runoff,0,15224,0,15224
House,48,runoff,0,16815,0,16815
House,50,runoff,0,7760,5601,13361
House,62,runoff,0,8327,9491,17818
House,67,runoff,9086,0,0,9086
House,68,runoff,6720,9165,0,15885
House,70,runoff,7891,8758,0,16649
House,71,runoff,2903,9559,0,12462
House,88,runoff,0,13618,0,13618
House,89,runoff,0,15889,0,15889
House,91,runoff,14903,0,0,14903
House,94,runoff,7809,11110,0,18919
House,97,runoff,19320,0,0,19320
House,98,runoff,15729,0,0,15729
House,99,runoff,15111,0,0,15111
House,105,runoff,7177,6075,0,13252
Senate,2,primary,36719,0,0,36719
Senate,3,primary,23221,5287,0,28508
Senate,5,primary,26281,0,0,26281
Senate,6,primary,0,29531,7596,37127
Senate,9,primary,0,30171,0,30171
Senate,10,primary,0,30422,0,30422
Senate,11,primary,0,42997,0,42997
Senate,12,primary,11266,24590,0,35856
Senate,13,primary,0,33759,0,33759
Senate,14,primary,25758,0,0,25758
Senate,15,primary,30659,0,0,30659
Senate,16,primary,14213,26868,1086,42167
Senate,20,primary,6855,21682,0,28537
Senate,24,primary,24418,0,7922,32340
Senate,25,primary,0,36367,0,36367
Senate,26,primary,7161,27228,0,34389
Senate,28,primary,13016,22293,0,35309
Senate,29,primary,16196,10158,0,26354
Senate,30,primary,5973,22856,0,28829
Senate,31,primary,0,33506,0,33506
Senate,32,primary,7104,29988,0,37092
Senate,33,primary,0,32065,0,32065
Senate,35,primary,0,32495,0,32495
Senate,36,primary,4976,29187,0,34163
Senate,37,primary,0,16221,6593,22814
Senate,38,primary,15806,16266,0,32072
Senate,39,primary,15755,7071,0,22826
Senate,3,runoff,34761,0,0,34761
Senate,11,runoff,0,49999,0,49999
Senate,16,runoff,19912,27090,0,47002
Senate,35,runoff,0,36061,0,36061
Senate,36,runoff,0,39259,0,39259
