precinct	office	party_detailed	party_simplified	mode	votes	county_name	county_fips	jurisdiction_name	jurisdiction_fips	candidate	district	dataverse	year	stage	state	special	writein	state_po	state_fips	state_cen	state_ic	date	readme_check	magnitude
"ALTON"	"GOVERNOR"	"REPUBLICAN"	"REPUBLICAN"	"TOTAL"	2356	"BELKNAP"	33001	"ALTON"	3300101060	"CHRIS SUNUNU"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"FALSE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
"BARNSTEAD"	"GOVERNOR"	"REPUBLICAN"	"REPUBLICAN"	"TOTAL"	1526	"BELKNAP"	33001	"BARNSTEAD"	3300103220	"CHRIS SUNUNU"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"FALSE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
"BELMONT"	"GOVERNOR"	"REPUBLICAN"	"REPUBLICAN"	"TOTAL"	2286	"BELKNAP"	33001	"BELMONT"	3300104740	"CHRIS SUNUNU"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"FALSE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
"CENTER HARBOR"	"GOVERNOR"	"REPUBLICAN"	"REPUBLICAN"	"TOTAL"	419	"BELKNAP"	33001	"CENTER HARBOR"	3300110660	"CHRIS SUNUNU"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"FALSE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
"GILFORD"	"GOVERNOR"	"REPUBLICAN"	"REPUBLICAN"	"TOTAL"	2864	"BELKNAP"	33001	"GILFORD"	3300128740	"CHRIS SUNUNU"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"FALSE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
"GILMANTON"	"GOVERNOR"	"REPUBLICAN"	"REPUBLICAN"	"TOTAL"	1374	"BELKNAP"	33001	"GILMANTON"	3300128980	"CHRIS SUNUNU"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"FALSE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
"LACONIA WARD 1"	"GOVERNOR"	"REPUBLICAN"	"REPUBLICAN"	"TOTAL"	1139	"BELKNAP"	33001	"LACONIA"	3300140180	"CHRIS SUNUNU"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"FALSE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
"LACONIA WARD 2"	"GOVERNOR"	"REPUBLICAN"	"REPUBLICAN"	"TOTAL"	632	"BELKNAP"	33001	"LACONIA"	3300140180	"CHRIS SUNUNU"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"FALSE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
"LACONIA WARD 3"	"GOVERNOR"	"REPUBLICAN"	"REPUBLICAN"	"TOTAL"	674	"BELKNAP"	33001	"LACONIA"	3300140180	"CHRIS SUNUNU"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"FALSE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
"LACONIA WARD 4"	"GOVERNOR"	"REPUBLICAN"	"REPUBLICAN"	"TOTAL"	599	"BELKNAP"	33001	"LACONIA"	3300140180	"CHRIS SUNUNU"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"FALSE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
"LACONIA WARD 5"	"GOVERNOR"	"REPUBLICAN"	"REPUBLICAN"	"TOTAL"	580	"BELKNAP"	33001	"LACONIA"	3300140180	"CHRIS SUNUNU"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"FALSE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
"LACONIA WARD 6"	"GOVERNOR"	"REPUBLICAN"	"REPUBLICAN"	"TOTAL"	1072	"BELKNAP"	33001	"LACONIA"	3300140180	"CHRIS SUNUNU"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"FALSE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
"MEREDITH"	"GOVERNOR"	"REPUBLICAN"	"REPUBLICAN"	"TOTAL"	2045	"BELKNAP"	33001	"MEREDITH"	3300147140	"CHRIS SUNUNU"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"FALSE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
