precinct	office	party_detailed	party_simplified	mode	votes	county_name	county_fips	jurisdiction_name	jurisdiction_fips	candidate	district	dataverse	year	stage	state	special	writein	state_po	state_fips	state_cen	state_ic	date	readme_check	magnitude
"Andersonville"	"CONSTITUTIONAL AMENDMENT # 1"	""	""	"TOTAL"	793	"ANDERSON"	47001	"ANDERSON"	47001	"YES"		"STATE"	2022	"GEN"	"TENNESSEE"	"FALSE"	"FALSE"	"TN"	47	62	54	2022-11-08	"FALSE"	1
"Andersonville"	"CONSTITUTIONAL AMENDMENT # 2"	""	""	"TOTAL"	744	"ANDERSON"	47001	"ANDERSON"	47001	"YES"		"STATE"	2022	"GEN"	"TENNESSEE"	"FALSE"	"FALSE"	"TN"	47	62	54	2022-11-08	"FALSE"	1
"Andersonville"	"CONSTITUTIONAL AMENDMENT # 3"	""	""	"TOTAL"	770	"ANDERSON"	47001	"ANDERSON"	47001	"YES"		"STATE"	2022	"GEN"	"TENNESSEE"	"FALSE"	"FALSE"	"TN"	47	62	54	2022-11-08	"FALSE"	1
"Andersonville"	"CONSTITUTIONAL AMENDMENT # 4"	""	""	"TOTAL"	716	"ANDERSON"	47001	"ANDERSON"	47001	"YES"		"STATE"	2022	"GEN"	"TENNESSEE"	"FALSE"	"FALSE"	"TN"	47	62	54	2022-11-08	"FALSE"	1
"Andersonville"	"US HOUSE"	"REPUBLICAN"	"REPUBLICAN"	"TOTAL"	979	"ANDERSON"	47001	"ANDERSON"	47001	"CHUCK FLEISCHMANN"	003	"HOUSE"	2022	"GEN"	"TENNESSEE"	"FALSE"	"FALSE"	"TN"	47	62	54	2022-11-08	"FALSE"	1
"Andersonville"	"STATE SENATE"	"REPUBLICAN"	"REPUBLICAN"	"TOTAL"	1010	"ANDERSON"	47001	"ANDERSON"	47001	"RANDY MCNALLY"	005	"STATE"	2022	"GEN"	"TENNESSEE"	"FALSE"	"FALSE"	"TN"	47	62	54	2022-11-08	"FALSE"	1
"Andersonville"	"STATE HOUSE"	"REPUBLICAN"	"REPUBLICAN"	"TOTAL"	874	"ANDERSON"	47001	"ANDERSON"	47001	"ED BUTLER"	041	"STATE"	2022	"GEN"	"TENNESSEE"	"FALSE"	"FALSE"	"TN"	47	62	54	2022-11-08	"FALSE"	1
"Bull Run"	"CONSTITUTIONAL AMENDMENT # 1"	""	""	"TOTAL"	867	"ANDERSON"	47001	"ANDERSON"	47001	"YES"		"STATE"	2022	"GEN"	"TENNESSEE"	"FALSE"	"FALSE"	"TN"	47	62	54	2022-11-08	"FALSE"	1
"Bull Run"	"CONSTITUTIONAL AMENDMENT # 2"	""	""	"TOTAL"	879	"ANDERSON"	47001	"ANDERSON"	47001	"YES"		"STATE"	2022	"GEN"	"TENNESSEE"	"FALSE"	"FALSE"	"TN"	47	62	54	2022-11-08	"FALSE"	1
"Bull Run"	"CONSTITUTIONAL AMENDMENT # 3"	""	""	"TOTAL"	911	"ANDERSON"	47001	"ANDERSON"	47001	"YES"		"STATE"	2022	"GEN"	"TENNESSEE"	"FALSE"	"FALSE"	"TN"	47	62	54	2022-11-08	"FALSE"	1
"Bull Run"	"CONSTITUTIONAL AMENDMENT # 4"	""	""	"TOTAL"	794	"ANDERSON"	47001	"ANDERSON"	47001	"YES"		"STATE"	2022	"GEN"	"TENNESSEE"	"FALSE"	"FALSE"	"TN"	47	62	54	2022-11-08	"FALSE"	1
"Bull Run"	"US HOUSE"	"REPUBLICAN"	"REPUBLICAN"	"TOTAL"	1011	"ANDERSON"	47001	"ANDERSON"	47001	"CHUCK FLEISCHMANN"	003	"HOUSE"	2022	"GEN"	"TENNESSEE"	"FALSE"	"FALSE"	"TN"	47	62	54	2022-11-08	"FALSE"	1
"Bull Run"	"STATE SENATE"	"REPUBLICAN"	"REPUBLICAN"	"TOTAL"	1089	"ANDERSON"	47001	"ANDERSON"	47001	"RANDY MCNALLY"	005	"STATE"	2022	"GEN"	"TENNESSEE"	"FALSE"	"FALSE"	"TN"	47	62	54	2022-11-08	"FALSE"	1
"Bull Run"	"STATE HOUSE"	"REPUBLICAN"	"REPUBLICAN"	"TOTAL"	1002	"ANDERSON"	47001	"ANDERSON"	47001	"JOHN D RAGAN"	033	"STATE"	2022	"GEN"	"TENNESSEE"	"FALSE"	"FALSE"	"TN"	47	62	54	2022-11-08	"FALSE"	1
"Briceville"	"CONSTITUTIONAL AMENDMENT # 1"	""	""	"TOTAL"	131	"ANDERSON"	47001	"ANDERSON"	47001	"YES"		"STATE"	2022	"GEN"	"TENNESSEE"	"FALSE"	"FALSE"	"TN"	47	62	54	2022-11-08	"FALSE"	1
"Briceville"	"CONSTITUTIONAL AMENDMENT # 2"	""	""	"TOTAL"	118	"ANDERSON"	47001	"ANDERSON"	47001	"YES"		"STATE"	2022	"GEN"	"TENNESSEE"	"FALSE"	"FALSE"	"TN"	47	62	54	2022-11-08	"FALSE"	1
"Briceville"	"CONSTITUTIONAL AMENDMENT # 3"	""	""	"TOTAL"	120	"ANDERSON"	47001	"ANDERSON"	47001	"YES"		"STATE"	2022	"GEN"	"TENNESSEE"	"FALSE"	"FALSE"	"TN"	47	62	54	2022-11-08	"FALSE"	1
"Briceville"	"CONSTITUTIONAL AMENDMENT # 4"	""	""	"TOTAL"	99	"ANDERSON"	47001	"ANDERSON"	47001	"YES"		"STATE"	2022	"GEN"	"TENNESSEE"	"FALSE"	"FALSE"	"TN"	47	62	54	2022-11-08	"FALSE"	1
"Briceville"	"US HOUSE"	"REPUBLICAN"	"REPUBLICAN"	"TOTAL"	176	"ANDERSON"	47001	"ANDERSON"	47001	"CHUCK FLEISCHMANN"	003	"HOUSE"	2022	"GEN"	"TENNESSEE"	"FALSE"	"FALSE"	"TN"	47	62	54	2022-11-08	"FALSE"	1
"Briceville"	"STATE SENATE"	"REPUBLICAN"	"REPUBLICAN"	"TOTAL"	181	"ANDERSON"	47001	"ANDERSON"	47001	"RANDY MCNALLY"	005	"STATE"	2022	"GEN"	"TENNESSEE"	"FALSE"	"FALSE"	"TN"	47	62	54	2022-11-08	"FALSE"	1
"Briceville"	"STATE HOUSE"	"REPUBLICAN"	"REPUBLICAN"	"TOTAL"	115	"ANDERSON"	47001	"ANDERSON"	47001	"JOHN D RAGAN"	033	"STATE"	2022	"GEN"	"TENNESSEE"	"FALSE"	"FALSE"	"TN"	47	62	54	2022-11-08	"FALSE"	1
"Briceville"	"STATE HOUSE"	"REPUBLICAN"	"REPUBLICAN"	"TOTAL"	57	"ANDERSON"	47001	"ANDERSON"	47001	"ED BUTLER"	041	"STATE"	2022	"GEN"	"TENNESSEE"	"FALSE"	"FALSE"	"TN"	47	62	54	2022-11-08	"FALSE"	1
"Brushy Valley"	"CONSTITUTIONAL AMENDMENT # 1"	""	""	"TOTAL"	286	"ANDERSON"	47001	"ANDERSON"	47001	"YES"		"STATE"	2022	"GEN"	"TENNESSEE"	"FALSE"	"FALSE"	"TN"	47	62	54	2022-11-08	"FALSE"	1
"Brushy Valley"	"CONSTITUTIONAL AMENDMENT # 2"	""	""	"TOTAL"	273	"ANDERSON"	47001	"ANDERSON"	47001	"YES"		"STATE"	2022	"GEN"	"TENNESSEE"	"FALSE"	"FALSE"	"TN"	47	62	54	2022-11-08	"FALSE"	1
"Brushy Valley"	"CONSTITUTIONAL AMENDMENT # 3"	""	""	"TOTAL"	301	"ANDERSON"	47001	"ANDERSON"	47001	"YES"		"STATE"	2022	"GEN"	"TENNESSEE"	"FALSE"	"FALSE"	"TN"	47	62	54	2022-11-08	"FALSE"	1
