chamber,district,dem_votes,rep_votes,oth_votes,total_votes
House,1,0,6044,0,6044
House,2,0,4590,0,4590
House,3,1249,5055,0,6304
House,4,0,5124,676,5800
House,5,4886,0,0,4886
House,6,1856,2789,106,4751
House,7,1930,2905,0,4835
House,8,0,6074,0,6074
House,9,4534,1834,0,6368
House,10,0,7205,0,7205
House,11,6078,0,0,6078
House,12,1698,2800,0,4498
House,13,0,6555,0,6555
House,14,0,6097,0,6097
House,15,0,6010,0,6010
House,16,5201,0,0,5201
House,17,0,5395,0,5395
House,18,0,6168,0,6168
House,19,0,6390,0,6390
House,20,0,3165,0,3165
House,21,0,6649,0,6649
House,22,0,5972,0,5972
House,23,1283,5829,994,8106
House,24,1971,4064,0,6035
House,25,0,3745,0,3745
House,26,4116,0,0,4116
House,27,6538,0,0,6538
House,28,0,5983,0,5983
House,29,5641,0,0,5641
House,30,6350,0,0,6350
House,31,5449,0,0,5449
House,32,4930,0,0,4930
House,33,0,3756,0,3756
House,34,0,7753,0,7753
House,35,0,6707,0,6707
House,36,7570,0,0,7570
House,37,0,6942,0,6942
House,38,5520,0,0,5520
House,39,0,5805,0,5805
House,40,1810,944,0,2754
House,41,4748,0,1247,5995
House,42,7006,0,915,7921
House,43,0,4590,0,4590
House,44,0,4967,568,5535
House,45,3723,2515,457,6695
House,46,0,6628,0,6628
House,47,5773,0,0,5773
House,48,0,6530,0,6530
House,49,3859,0,694,4553
House,50,5019,0,0,5019
House,51,7085,0,0,7085
House,52,2040,3148,0,5188
House,53,0,6162,0,6162
House,54,0,6771,0,6771
House,55,5692,0,0,5692
House,56,2808,5348,0,8156
House,57,6503,0,0,6503
House,58,0,8688,0,8688
House,59,0,6474,0,6474
House,60,0,6628,0,6628
House,61,0,4593,0,4593
House,62,0,6023,0,6023
House,63,7880,0,0,7880
House,64,0,2783,4575,7358
House,65,6617,0,0,6617
House,66,6333,0,0,6333
House,67,5941,0,0,5941
House,68,3678,0,0,3678
House,69,4892,0,0,4892
House,70,6490,0,0,6490
House,71,5368,0,0,5368
House,72,6121,0,0,6121
House,73,0,8408,0,8408
House,74,0,7326,0,7326
House,75,0,5547,2010,7557
House,76,5684,1983,0,7667
House,77,0,6393,0,6393
House,78,0,5795,0,5795
House,79,0,7105,0,7105
House,80,6228,0,0,6228
House,81,0,5678,0,5678
House,82,3554,0,0,3554
House,83,0,6436,0,6436
House,84,0,7584,0,7584
House,85,5968,0,1497,7465
House,86,3042,5743,0,8785
House,87,0,6164,0,6164
House,88,0,7935,0,7935
House,89,0,6331,0,6331
House,90,0,6553,0,6553
House,91,5696,2924,0,8620
House,92,0,7793,0,7793
House,93,0,5182,0,5182
House,94,6178,0,0,6178
House,95,0,5495,0,5495
House,96,0,0,6248,6248
House,97,0,6003,0,6003
House,98,6235,0,0,6235
House,99,0,5745,1075,6820
House,100,0,5994,0,5994
House,101,0,5718,0,5718
House,102,0,3992,0,3992
House,103,4865,0,0,4865
House,104,0,5511,0,5511
House,105,1121,5471,0,6592
House,106,0,4202,0,4202
House,107,0,5196,0,5196
House,108,0,4224,0,4224
House,109,0,4831,0,4831
House,110,3559,0,0,3559
House,111,0,4554,0,4554
House,112,0,3987,0,3987
House,113,0,4645,0,4645
House,114,0,3222,703,3925
House,115,0,2348,0,2348
House,116,0,4437,0,4437
House,117,0,3751,0,3751
House,118,0,4709,0,4709
House,119,3790,0,0,3790
House,120,0,4171,1040,5211
House,121,2426,4126,0,6552
House,122,0,3625,977,4602
Senate,1,0,9633,0,9633
Senate,2,4727,6169,0,10896
Senate,3,0,13786,0,13786
Senate,4,0,10436,3178,13614
Senate,5,0,14803,0,14803
Senate,6,0,13806,0,13806
Senate,7,8860,6997,284,16141
Senate,8,0,15753,0,15753
Senate,9,0,12634,0,12634
Senate,10,6786,10525,0,17311
Senate,11,9066,0,0,9066
Senate,12,10774,0,0,10774
Senate,13,11481,0,0,11481
Senate,14,0,14351,0,14351
Senate,15,0,12011,0,12011
Senate,16,14253,0,0,14253
Senate,17,0,13441,0,13441
Senate,18,0,12794,0,12794
Senate,19,4104,7866,0,11970
Senate,20,0,14672,0,14672
Senate,21,15666,0,0,15666
Senate,22,9534,7024,0,16558
Senate,23,0,13990,0,13990
Senate,24,8930,5539,1797,16266
Senate,25,0,16036,0,16036
Senate,26,16287,0,0,16287
Senate,27,15493,0,0,15493
Senate,28,12787,0,0,12787
Senate,29,12786,3656,0,16442
Senate,30,0,10781,0,10781
Senate,31,0,12995,0,12995
Senate,32,12200,0,0,12200
Senate,33,0,14207,0,14207
Senate,34,14100,0,0,14100
Senate,35,0,13696,0,13696
Senate,36,0,15601,0,15601
Senate,37,16264,0,0,16264
Senate,38,9350,0,0,9350
Senate,39,0,17059,0,17059
Senate,40,2304,9701,0,12005
Senate,41,0,15467,0,15467
Senate,42,0,15861,0,15861
Senate,43,0,12810,0,12810
Senate,44,0,12594,0,12594
Senate,45,0,12349,0,12349
Senate,46,0,11225,0,11225
Senate,47,0,10679,1726,12405
Senate,48,0,8206,3335,11541
Senate,49,0,7926,3411,11337
Senate,50,0,7615,0,7615
Senate,51,0,7946,2523,10469
Senate,52,0,8874,0,8874
