district,incumbent,incumbent_party,elected,elected_party
2,Robert Clements,Rep,Robert Clements,Rep
4,Robert Hilkemann,Rep,Robert Hilkemann,Rep
6,Theresa Thibodeau,Rep,Machaela Cavanaugh,Dem
8,Burke Harr,Dem,Megan Hunt,Dem
10,Bob Krist,Dem,Wendy DeBoer,Dem
12,Merv Riepe,Rep,Steve Lathrop,Dem
14,Vacant,Rep,John Arch,Rep
16,Lydia Brasch,Rep,Ben Hansen,Rep
18,Brett Lindstrom,Rep,Brett Lindstrom,Rep
20,John S. McCollister,Rep,John S. McCollister,Rep
22,Paul Schumacher,Rep,Mike Moser,Rep
24,Mark Kolterman,Rep,Mark Kolterman,Rep
26,Matt Hansen,Dem,Matt Hansen,Dem
28,Patty Pansing Brooks,Dem,Patty Pansing Brooks,Dem
30,Roy Baker,Rep,Myron Dorn,Rep
32,Laura Ebke,Lib,Tom Brandt,Rep
34,Curt Friesen,Rep,Curt Friesen,Rep
36,Matt Williams,Rep,Matt Williams,Rep
38,John Kuehn,Rep,Dave Murman,Rep
40,Tyson Larson,Rep,Tim Gragert,Rep
42,Mike Groene,Rep,Mike Groene,Rep
44,Dan Hughes,Rep,Dan Hughes,Rep
46,Adam Morfeld,Dem,Adam Morfeld,Dem
48,John Stinner,Rep,John Stinner,Rep
