chamber,district,dem_votes,rep_votes,oth_votes,total_votes
House,BE1,0,1945,3,1948
House,BE2,3127,3094,276,6497
House,BE3,1347,1817,0,3164
House,BE4,1048,2021,6,3075
House,BE5,10782,10967,17,21766
House,BE6,10766,14361,1092,26219
House,BE7,5578,8957,3,14538
House,BE8,4286,6610,13,10909
House,CA1,6710,5179,7,11896
House,CA2,4649,3146,3,7798
House,CA3,4843,5947,11,10801
House,CA4,3480,5407,0,8887
House,CA5,743,1211,4,1958
House,CA6,4395,5602,12,10009
House,CA7,3203,4119,5,7327
House,CA8,8585,10847,4,19436
House,CH1,1095,272,11,1378
House,CH2,529,0,1289,1818
House,CH3,1484,636,3,2123
House,CH4,1276,633,1,1910
House,CH5,1439,847,3,2289
House,CH6,4413,3316,1,7730
House,CH7,1409,497,1,1907
House,CH8,1745,0,29,1774
House,CH9,1255,1127,1,2383
House,CH10,3430,3045,2,6477
House,CH11,679,766,2,1447
House,CH12,860,1046,3,1909
House,CH13,1776,1525,2,3303
House,CH14,1028,1766,2,2796
House,CH15,16507,8818,16,25341
House,CH16,4196,2424,4,6624
House,CH17,3070,3792,5,6867
House,CH18,5432,5844,4,11280
House,CO1,1110,2826,7,3943
House,CO2,628,1180,2,1810
House,CO3,0,1169,23,1192
House,CO4,911,1109,1,2021
House,CO5,5862,4812,0,10674
House,CO6,998,722,1,1721
House,CO7,2452,2450,1,4903
House,GR1,6113,6708,1,12822
House,GR2,1319,723,3,2045
House,GR3,862,699,7,1568
House,GR4,988,851,0,1839
House,GR5,0,3463,38,3501
House,GR6,924,1006,5,1935
House,GR7,1714,1677,0,3391
House,GR8,7414,4471,14,11899
House,GR9,1030,875,0,1905
House,GR10,863,1255,1,2119
House,GR11,905,1264,2,2171
House,GR12,21385,0,121,21506
House,GR13,1640,0,8,1648
House,GR14,1641,0,12,1653
House,GR15,1416,0,486,1902
House,GR16,1597,0,0,1597
House,GR17,4985,0,33,5018
House,GR18,4225,4229,3,8457
House,HI1,8961,14923,11,23895
House,HI2,35568,37505,34,73107
House,HI3,2513,668,0,3181
House,HI4,6662,4874,0,11536
House,HI5,14330,12019,0,26349
House,HI6,5164,3685,0,8849
House,HI7,4215,3324,0,7539
House,HI8,4168,3316,0,7484
House,HI9,14074,12066,0,26140
House,HI10,12573,9864,0,22437
House,HI11,5946,3819,0,9765
House,HI12,45147,45990,0,91137
House,HI13,16149,31434,44,47627
House,HI14,3072,4448,0,7520
House,HI15,3305,3957,3,7265
House,HI16,10324,11117,0,21441
House,HI17,3993,2640,325,6958
House,HI18,3384,2753,6,6143
House,HI19,2896,2542,10,5448
House,HI20,2774,2310,2,5086
House,HI21,4986,3288,5,8279
House,HI22,2421,1863,0,4284
House,HI23,2846,0,19,2865
House,HI24,2519,1806,1,4326
House,HI25,1752,1257,1,3010
House,HI26,2493,1159,5,3657
House,HI27,827,1032,0,1859
House,HI28,3065,4639,0,7704
House,HI29,26168,28143,0,54311
House,HI30,5683,6609,2,12294
House,HI31,1093,852,0,1945
House,HI32,5699,8096,439,14234
House,HI33,4971,2074,3,7048
House,HI34,10321,8090,3,18414
House,HI35,9394,8670,0,18064
House,HI36,3833,4351,2,8186
House,HI37,7162,6132,9,13303
House,HI38,11158,15047,53,26258
House,HI39,9497,9651,10,19158
House,HI40,29787,22490,33,52310
House,HI41,15375,11352,19,26746
House,HI42,7820,7993,7,15820
House,HI43,12563,11977,0,24540
House,HI44,9713,11665,1,21379
House,HI45,4474,4467,0,8941
House,ME1,1504,1459,0,2963
House,ME2,795,1101,0,1896
House,ME3,2279,3014,6,5299
House,ME4,3815,4293,1,8109
House,ME5,3404,3770,0,7174
House,ME6,1137,795,4,1936
House,ME7,4193,3319,8,7520
House,ME8,7179,5300,5,12484
House,ME9,18052,11686,1,29739
House,ME10,12849,16330,4,29183
House,ME11,1728,1696,0,3424
House,ME12,6361,5840,0,12201
House,ME13,2181,2973,284,5438
House,ME14,908,1368,0,2276
House,ME15,1293,0,19,1312
House,ME16,1100,0,8,1108
House,ME17,713,0,18,731
House,ME18,1308,498,1,1807
House,ME19,1784,593,0,2377
House,ME20,1085,0,13,1098
House,ME21,1631,674,3,2308
House,ME22,765,0,955,1720
House,ME23,911,625,1,1537
House,ME24,1545,871,2,2418
House,ME25,2170,2711,11,4892
House,ME26,4526,5142,5,9673
House,ME27,9498,12320,5,21823
House,ME28,2661,1705,9,4375
House,ME29,3562,2176,1,5739
House,ME30,5308,2451,2,7761
House,RO1,6860,7133,13,14006
House,RO2,8720,12869,5,21594
House,RO3,1591,0,1098,2689
House,RO4,4529,7609,0,12138
House,RO5,5943,7160,0,13103
