chamber,district,dem_votes,rep_votes,oth_votes,total_votes
House,1,32485,55579,0,88064
House,2,40382,52135,0,92517
House,3,61598,59002,0,120600
House,4,59886,52534,1145,113565
House,5,51701,22434,0,74135
House,6,68902,30012,0,98914
House,7,64544,32718,0,97262
House,8,55074,55265,0,110339
House,9,35579,73901,979,110459
House,10,36487,68903,0,105390
House,11,63641,48255,0,111896
House,12,32931,55261,0,88192
House,13,44095,61218,1241,106554
House,14,64024,44397,0,108421
House,15,54991,10371,0,65362
House,16,67812,52851,0,120663
House,17,40223,15244,0,55467
House,18,46598,27480,0,74078
House,19,37062,22236,619,59917
House,20,24384,4380,0,28764
House,21,61258,65753,0,127011
House,22,46833,24359,0,71192
House,23,44099,61488,0,105587
House,24,18722,63168,7184,89074
House,25,48475,52705,0,101180
House,26,42225,55977,0,98202
House,27,54548,23648,0,78196
House,28,37731,3502,0,41233
House,29,14897,2727,0,17624
House,30,38350,55526,0,93876
House,31,25886,8390,3167,37443
House,32,29588,3665,0,33253
House,33,50340,0,1121,51461
House,34,36573,10838,0,47411
House,35,24534,0,0,24534
House,36,36300,23307,0,59607
House,37,52885,21199,0,74084
House,38,55021,43007,0,98028
House,39,57229,65401,0,122630
House,40,46154,56239,0,102393
