chamber,district,dem_votes,rep_votes,oth_votes,total_votes
House,1,0,11369,0,11369
House,2,0,8610,0,8610
House,3,0,10332,0,10332
House,4,5664,4500,0,10164
House,5,8810,0,0,8810
House,6,5946,4156,0,10102
House,7,0,7789,0,7789
House,8,0,11123,0,11123
House,9,7019,0,0,7019
House,10,6767,0,0,6767
House,11,10071,3410,0,13481
House,12,5736,0,0,5736
House,13,5817,0,0,5817
House,14,7310,2868,0,10178
House,15,10232,0,0,10232
House,16,8005,5545,0,13550
House,17,7860,6679,0,14539
House,18,11668,0,0,11668
House,19,5626,2208,0,7834
House,20,8227,6498,0,14725
House,21,6850,0,0,6850
House,22,6486,10476,1620,18582
House,23,7678,9199,0,16877
House,24,9141,6222,0,15363
House,25,10022,4555,0,14577
House,26,5438,3900,0,9338
House,27,9000,7731,0,16731
House,28,9403,7406,0,16809
House,29,9536,8088,0,17624
House,30,7987,6766,0,14753
House,31,8754,9597,0,18351
House,32,3801,6026,0,9827
House,33,8096,0,0,8096
House,34,5081,3720,0,8801
House,35,8345,0,0,8345
House,36,7394,6850,0,14244
House,37,9479,0,0,9479
House,38,5664,6046,0,11710
House,39,6755,7777,0,14532
House,40,8012,5130,0,13142
House,41,8756,0,0,8756
House,42,11140,0,0,11140
House,43,11094,0,0,11094
House,44,9166,8158,0,17324
House,45,10767,0,0,10767
House,46,12736,0,0,12736
House,47,15772,0,0,15772
House,48,10883,0,0,10883
House,49,0,10879,0,10879
House,50,12029,7497,0,19526
House,51,4781,7514,0,12295
House,52,7161,0,0,7161
House,53,4871,4713,0,9584
House,54,0,8296,1678,9974
House,55,0,9919,0,9919
House,56,0,10951,0,10951
House,57,8244,8374,0,16618
House,58,0,5823,0,5823
House,59,0,9547,0,9547
House,60,6113,8166,0,14279
House,61,0,4890,0,4890
House,62,0,8993,0,8993
House,63,0,6552,0,6552
House,64,0,10035,0,10035
House,65,7773,0,0,7773
House,66,0,8379,0,8379
House,67,0,9392,0,9392
House,68,7654,7007,0,14661
House,69,6303,0,0,6303
House,70,8342,0,0,8342
Senate,1,0,14505,0,14505
Senate,2,4617,16832,0,21449
Senate,3,13968,0,0,13968
Senate,4,13091,0,0,13091
Senate,5,16183,0,0,16183
Senate,6,18958,0,0,18958
Senate,7,0,13722,0,13722
Senate,8,15016,0,0,15016
Senate,9,15588,12320,0,27908
Senate,10,15846,11678,0,27524
Senate,11,9665,0,0,9665
Senate,12,12382,13643,0,26025
Senate,13,14921,0,0,14921
Senate,14,11349,0,0,11349
Senate,15,12920,8371,0,21291
Senate,16,18219,0,0,18219
Senate,17,9117,0,0,9117
Senate,18,15131,10938,0,26069
Senate,19,13115,17400,0,30515
Senate,20,14222,10497,0,24719
Senate,21,14048,15719,0,29767
Senate,22,13989,0,0,13989
Senate,23,13267,11586,0,24853
Senate,24,18058,0,0,18058
Senate,25,28249,0,0,28249
Senate,26,13716,0,0,13716
Senate,27,0,16093,0,16093
Senate,28,9159,11386,0,20545
Senate,29,9337,13605,0,22942
Senate,30,11756,0,0,11756
Senate,31,8853,0,0,8853
Senate,32,0,12484,0,12484
Senate,33,0,16258,0,16258
Senate,34,0,14062,0,14062
Senate,35,0,17820,0,17820
Senate,36,11154,8792,0,19946
Senate,37,15693,0,0,15693
Senate,38,8643,8345,0,16988
Senate,39,16371,0,0,16371
Senate,40,12217,14345,0,26562
Senate,41,0,11157,0,11157
Senate,42,0,15583,0,15583
