chamber,district,dem_votes,rep_votes,oth_votes,total_votes
House,1,33700,23909,4914,62523
House,2,25455,40975,5541,71971
House,3,21451,28626,4022,54099
House,4,30795,26631,3369,60795
House,5,22783,36953,4568,64304
House,6,20464,11483,1591,33538
House,7,25003,36819,5855,67677
House,8,24966,44993,6653,76612
House,9,22372,42222,4257,68851
House,10,35938,25287,3045,64270
House,11,26878,23274,2734,52886
House,12,29137,34370,4491,67998
House,13,30850,23178,2121,56149
House,14,27906,45916,3784,77606
House,15,28081,35819,3131,67031
House,16,34104,32723,2231,69058
House,17,23887,41294,3812,68993
House,18,32865,6525,1342,40732
House,19,23726,39277,3676,66679
House,20,23616,37134,2514,63264
House,21,36036,30446,3053,69535
House,22,35473,20386,3125,58984
House,23,23133,20658,3203,46994
House,24,23300,12313,2526,38139
House,25,15394,13601,2593,31588
House,26,27022,0,12880,39902
House,27,20429,15150,96,35675
House,28,28376,19158,859,48393
House,29,37110,6015,142,43267
House,30,16396,11720,2456,30572
House,31,26045,0,2254,28299
House,32,32663,0,184,32847
House,33,39298,0,443,39741
House,34,21293,0,5833,27126
House,35,16178,0,3052,19230
House,36,30161,0,8346,38507
House,37,26527,0,8299,34826
House,38,22718,0,519,23237
House,39,19859,0,525,20384
House,40,12499,10007,1857,24363
House,41,19061,16305,2327,37693
House,42,34509,0,471,34980
House,43,37884,0,5781,43665
House,44,37408,6920,11124,55452
House,45,15151,14060,1461,30672
House,46,19540,19099,2092,40731
House,47,16365,9479,1208,27052
House,48,12539,0,12383,24922
House,49,0,12951,2567,15518
House,50,29622,0,7725,37347
House,51,17669,5749,5234,28652
House,52,51326,0,13393,64719
House,53,33100,0,245,33345
House,54,21908,0,277,22185
House,55,28825,2068,595,31488
House,56,37956,0,371,38327
House,57,47424,0,317,47741
House,58,35744,0,71,35815
House,59,29237,10147,1836,41220
House,60,29257,0,103,29360
House,61,31984,0,704,32688
House,62,0,53553,5552,59105
House,63,21481,26858,2545,50884
House,64,0,36626,5883,42509
House,65,29492,0,4441,33933
House,66,47097,0,515,47612
House,67,48227,0,4645,52872
House,68,34635,0,420,35055
House,69,48223,0,434,48657
House,70,41529,3989,144,45662
House,71,37267,5621,167,43055
House,72,26275,0,4418,30693
House,73,40741,15414,1904,58059
House,74,38149,0,4947,43096
House,75,39750,0,4185,43935
House,76,46962,0,4130,51092
House,77,18104,5020,1257,24381
House,78,17254,5674,602,23530
House,79,20585,4238,880,25703
House,80,20766,8243,1728,30737
House,81,29907,7941,1301,39149
House,82,29668,11957,1492,43117
House,83,30322,3300,675,34297
House,84,18861,5328,2261,26450
House,85,20881,4849,746,26476
House,86,17491,5369,645,23505
House,87,23224,0,2619,25843
House,88,42979,22341,3720,69040
House,89,31486,0,69,31555
House,90,27146,19212,1749,48107
House,91,33568,17333,1540,52441
House,92,41998,21477,4330,67805
House,93,45219,0,3939,49158
House,94,27798,42072,4394,74264
House,95,36042,19682,4585,60309
House,96,34402,23358,4178,61938
House,97,24749,21098,1833,47680
House,98,0,37028,5462,42490
House,99,27001,19516,3538,50055
House,100,24516,21583,5393,51492
House,101,0,38842,6403,45245
House,102,23432,40353,8688,72473
House,103,39722,22203,11351,73276
House,104,31640,0,5872,37512
House,105,0,41926,7547,49473
House,106,40541,26531,3788,70860
House,107,35433,33746,6091,75270
House,108,35851,0,432,36283
House,109,31488,11837,6422,49747
House,110,36424,24868,6892,68184
House,111,29848,15705,4051,49604
House,112,28617,38594,8063,75274
House,113,38348,27823,3746,69917
House,114,0,43644,7293,50937
House,115,44871,0,275,45146
