year,type,location,race,pollster_id,pollster,partisan,methodology,date,days,sample,poll_margin,actual_margin,error,oriented
2008,G,DE,2008_Gov-G_DE,92,Fairleigh Dickinson University,,NA,2008-09-19,46,601,-34.0,-35.48,1.48,1
2008,G,DE,2008_Gov-G_DE,325,SurveyUSA,,NA,2008-09-22,43,703,-35.0,-35.48,0.48,1
2008,G,DE,2008_Gov-G_DE,377,West Chester University,,NA,2008-10-07,28,429,-31.3,-35.48,4.18,1
2008,G,DE,2008_Gov-G_DE,776,Scott Rasmussen (Rasmussen Reports),,IVR,2008-10-10,25,500,-28.0,-35.48,7.48,1
2008,G,DE,2008_Gov-G_DE,325,SurveyUSA,,IVR,2008-10-27,8,657,-35.0,-35.48,0.48,1
2008,G,IN,2008_Gov-G_IN,403,Bellwether Research & Consulting,R,NA,2008-09-13,52,800,21.0,17.81,3.19,1
2008,G,IN,2008_Gov-G_IN,304,Selzer & Co.,,NA,2008-09-15,50,600,4.0,17.81,-13.81,1
2008,G,IN,2008_Gov-G_IN,776,Scott Rasmussen (Rasmussen Reports),,IVR,2008-09-17,48,500,16.0,17.81,-1.81,1
2008,G,IN,2008_Gov-G_IN,325,SurveyUSA,,NA,2008-09-28,37,687,16.0,17.81,-1.81,1
2008,G,IN,2008_Gov-G_IN,260,Public Opinion Strategies,R,Live Phone,2008-09-29,36,600,22.0,17.81,4.19,1
2008,G,IN,2008_Gov-G_IN,263,Public Policy Polling,,IVR,2008-10-18,17,1411,21.0,17.81,3.19,1
2008,G,IN,2008_Gov-G_IN,325,SurveyUSA,,IVR,2008-10-21,14,631,19.0,17.81,1.19,1
2008,G,IN,2008_Gov-G_IN,142,Howey Politics/DePauw University,,Live Phone,2008-10-23,12,600,31.0,17.81,13.19,1
2008,G,IN,2008_Gov-G_IN,304,Selzer & Co.,,Live Phone,2008-10-27,8,606,18.0,17.81,0.19,1
2008,G,IN,2008_Gov-G_IN,325,SurveyUSA,,IVR,2008-10-29,6,900,17.0,17.81,-0.81,1
2008,G,IN,2008_Gov-G_IN,263,Public Policy Polling,,IVR,2008-11-01,3,2634,23.0,17.81,5.19,1
2008,G,MO,2008_Gov-G_MO,776,Scott Rasmussen (Rasmussen Reports),,IVR,2008-09-11,54,700,-15.0,-18.91,3.91,1
2008,G,MO,2008_Gov-G_MO,325,SurveyUSA,,NA,2008-09-23,42,705,-17.0,-18.91,1.91,1
2008,G,MO,2008_Gov-G_MO,263,Public Policy Polling,,NA,2008-10-11,24,1009,-13.0,-18.91,5.91,1
2008,G,MO,2008_Gov-G_MO,325,SurveyUSA,,NA,2008-10-11,24,546,-22.0,-18.91,-3.09,1
2008,G,MO,2008_Gov-G_MO,776,Scott Rasmussen (Rasmussen Reports),,IVR,2008-10-14,21,700,-19.0,-18.91,-0.09,1
2008,G,MO,2008_Gov-G_MO,325,SurveyUSA,,IVR,2008-10-25,10,672,-17.0,-18.91,1.91,1
2008,G,MO,2008_Gov-G_MO,263,Public Policy Polling,,IVR,2008-11-01,3,1343,-19.5,-18.91,-0.59,1
2008,G,MO,2008_Gov-G_MO,325,SurveyUSA,,IVR,2008-11-01,3,674,-15.0,-18.91,3.91,1
2008,G,MT,2008_Gov-G_MT,776,Scott Rasmussen (Rasmussen Reports),,IVR,2008-10-01,34,500,-15.0,-32.95,17.95,1
2008,G,MT,2008_Gov-G_MT,216,Montana State University Billings,,Live Phone,2008-10-18,17,403,-32.9,-32.95,0.05,1
2008,G,MT,2008_Gov-G_MT,263,Public Policy Polling,,IVR,2008-11-01,3,2734,-26.0,-32.95,6.95,1
2008,G,NC,2008_Gov-G_NC,113,Garin-Hart-Yang Research Group,D,NA,2008-09-06,59,605,-6.0,-3.4,-2.6,1
2008,G,NC,2008_Gov-G_NC,325,SurveyUSA,,NA,2008-09-07,58,671,8.0,-3.4,11.4,1
2008,G,NC,2008_Gov-G_NC,334,The Tyson Group,,NA,2008-09-08,57,600,-1.0,-3.4,2.4,1
2008,G,NC,2008_Gov-G_NC,263,Public Policy Polling,,NA,2008-09-09,56,626,-1.0,-3.4,2.4,1
2008,G,NC,2008_Gov-G_NC,86,Elon University,,NA,2008-09-15,50,411,2.0,-3.4,5.4,1
2008,G,NC,2008_Gov-G_NC,263,Public Policy Polling,,NA,2008-09-18,47,1060,-1.0,-3.4,2.4,1
2008,G,NC,2008_Gov-G_NC,334,The Tyson Group,,NA,2008-09-19,46,600,2.0,-3.4,5.4,1
2008,G,NC,2008_Gov-G_NC,263,Public Policy Polling,,NA,2008-09-27,38,1041,3.0,-3.4,6.4,1
2008,G,NC,2008_Gov-G_NC,776,Scott Rasmussen (Rasmussen Reports),,IVR,2008-09-30,35,700,4.0,-3.4,7.4,1
2008,G,NC,2008_Gov-G_NC,263,Public Policy Polling,,NA,2008-10-04,31,1202,-3.0,-3.4,0.4,1
2008,G,NC,2008_Gov-G_NC,325,SurveyUSA,,NA,2008-10-05,30,617,1.0,-3.4,4.4,1
2008,G,NC,2008_Gov-G_NC,196,Marshall Marketing,,NA,2008-10-06,29,500,-3.4,-3.4,-0.0,1
2008,G,NC,2008_Gov-G_NC,334,The Tyson Group,,NA,2008-10-07,28,600,2.0,-3.4,5.4,1
2008,G,NC,2008_Gov-G_NC,263,Public Policy Polling,,NA,2008-10-11,24,1196,-1.0,-3.4,2.4,1
2008,G,NC,2008_Gov-G_NC,263,Public Policy Polling,,IVR,2008-10-18,17,1200,-4.0,-3.4,-0.6,1
