as_of,pollster_id,n,weight,score,bias,house
2018,1,4,2.52,-0.001,-0.726,-0.45
2018,3,24,7.34,-0.441,-0.785,-0.619
2018,4,2,1.19,-0.153,-0.327,0.031
2018,6,1,0.3,-0.09,-0.18,0.0
2018,7,6,4.28,0.168,-1.47,-0.304
2018,9,38,12.13,0.019,0.858,1.221
2018,10,1,0.59,-0.285,-0.037,0.0
2018,13,30,9.66,-0.485,1.277,-0.232
2018,14,12,3.61,0.074,-1.139,-1.156
2018,15,1,0.21,0.047,-0.165,-0.067
2018,20,3,2.52,-0.412,-0.878,0.645
2018,24,1,0.25,0.279,0.967,0.381
2018,25,4,1.43,0.389,1.305,0.792
2018,27,1,0.21,-0.022,-0.068,-0.059
2018,29,2,1.68,-0.055,-0.273,-0.552
2018,30,7,2.14,0.103,-0.931,-0.567
2018,31,10,2.08,0.19,-0.875,-1.084
2018,32,1,0.3,-0.072,-0.024,0.044
2018,33,6,3.46,-0.177,-1.628,-0.676
2018,35,2,0.84,0.112,-0.131,0.0
2018,36,10,3.47,-0.165,-0.508,-0.281
2018,37,64,24.27,0.001,-0.58,0.111
2018,40,6,2.18,-0.3,0.189,0.371
2018,42,4,1.67,0.032,0.68,0.068
2018,44,1,0.21,-0.038,-0.04,-0.038
2018,47,1,0.84,-0.061,-0.258,0.003
2018,48,7,5.73,-0.215,1.426,0.27
2018,49,4,3.11,0.266,0.896,0.936
2018,50,8,4.25,-0.374,-0.793,-0.582
2018,51,2,1.68,0.05,0.223,0.336
2018,52,11,7.31,-0.473,-1.704,-0.105
2018,53,1,0.25,0.117,-0.281,-0.19
2018,55,14,6.16,0.478,2.305,1.892
2018,57,8,3.91,-0.562,-0.791,0.661
2018,61,1,0.84,0.665,-1.78,-0.881
2018,62,1,0.3,-0.089,-0.088,-0.347
2018,63,1,0.3,-0.034,-0.116,0.0
2018,64,17,5.06,0.707,0.327,0.289
2018,66,2,0.42,0.01,0.384,0.656
2018,67,3,2.27,-0.219,-1.221,0.264
2018,68,1,0.84,-0.189,-0.423,0.0
2018,69,5,3.71,0.319,-2.316,-0.529
2018,70,27,9.27,-0.981,-1.18,-0.116
2018,71,2,0.29,0.345,0.756,0.0
2018,73,7,3.13,-0.375,-0.15,0.493
2018,75,3,0.36,0.019,0.064,0.071
2018,76,7,2.93,-0.31,0.336,0.089
2018,78,1,0.59,-0.158,-0.261,0.0
2018,79,4,0.92,0.078,-0.812,-0.19
2018,81,3,2.52,-0.273,0.253,0.764
2018,84,22,7.12,-0.322,-0.619,-0.481
2018,85,2,0.42,0.194,-0.6,-0.266
2018,86,8,4.37,-0.325,-0.769,-0.008
2018,87,12,5.84,-0.497,-0.604,-1.33
2018,88,62,41.89,-0.263,-0.974,1.21
2018,90,2,0.91,0.061,-0.954,-0.002
2018,92,9,2.95,-0.276,-0.935,-0.798
2018,93,1,0.42,-0.069,0.127,-0.103
2018,94,6,2.23,-0.238,0.619,-0.482
2018,96,7,2.56,-0.059,0.821,-0.056
2018,97,2,1.68,0.0,-0.718,-0.229
2018,98,1,0.21,-0.082,-0.046,0.0
2018,99,1,0.3,0.003,0.137,0.208
2018,101,2,1.68,1.466,3.251,4.553
2018,102,2,0.59,-0.083,-0.09,-0.186
2018,103,18,10.46,0.259,-1.962,-1.041
2018,104,5,0.78,0.032,0.257,0.299
2018,106,9,4.12,0.828,-1.241,-0.833
2018,108,2,0.71,0.072,-0.706,-0.392
2018,109,4,2.09,-0.118,-0.287,-0.217
2018,112,15,2.11,0.325,0.888,0.66
2018,113,11,4.67,-0.305,-0.469,-1.438
2018,114,15,2.63,0.084,0.694,0.386
2018,115,21,6.32,0.42,-0.828,-0.628
2018,116,1,0.59,0.686,-1.301,0.0
2018,117,6,2.74,-0.084,0.073,0.116
2018,118,14,5.47,0.304,-1.442,-2.006
2018,119,4,1.67,-0.097,0.463,-0.014
2018,120,1,0.42,0.18,0.564,0.36
2018,121,3,1.18,0.142,0.234,0.804
2018,124,87,48.19,0.2,-1.369,0.38
2018,125,1,0.3,0.061,0.268,0.0
2018,126,28,8.02,0.104,-1.863,-1.174
2018,127,7,3.7,0.07,1.237,-0.095
2018,128,1,0.3,0.264,-0.702,0.0
2018,129,23,6.95,-0.512,-0.298,-1.168
2018,130,2,1.01,0.197,-0.457,-0.082
2018,131,4,2.69,0.825,1.957,1.906
2018,132,7,4.45,-0.936,-0.234,0.661
2018,133,3,0.36,-0.042,0.032,0.03
2018,134,8,2.85,-0.235,-0.587,-0.575
2018,136,7,1.21,0.657,-1.664,-0.951
2018,137,4,2.07,0.197,-0.254,0.52
2018,138,14,7.01,0.165,-3.01,1.012
2018,139,2,0.84,-0.141,-0.005,-0.161
2018,140,1,0.21,0.026,0.134,0.166
2018,141,1,0.42,0.07,0.352,0.075
2018,142,6,1.88,0.265,-0.103,-0.06
2018,143,4,0.92,0.23,-0.797,-0.568
2018,144,14,2.96,-0.239,0.546,0.784
2018,145,2,1.41,0.001,0.964,0.053
2018,152,1,0.3,0.013,0.201,0.059
2018,154,114,60.5,-0.29,-2.268,0.256
2018,155,5,1.81,0.716,-2.041,-1.536
2018,156,8,5.16,-0.284,1.559,0.263
2018,157,1,0.59,1.714,-2.962,0.0
2018,161,5,2.86,-0.145,-0.478,-0.67
2018,162,5,1.9,-0.124,-0.555,-1.195
2018,163,6,2.02,0.17,1.174,0.427
2018,164,1,0.21,-0.038,0.01,0.009
2018,165,8,2.77,-0.167,-0.275,-0.323
2018,166,24,9.35,-0.245,-1.677,0.174
2018,171,14,10.28,0.388,-2.537,0.302
2018,172,2,0.42,0.013,-0.163,-0.131
2018,175,15,8.94,0.03,-1.926,-1.339
2018,176,2,0.5,0.112,-0.625,-0.237
2018,177,2,0.84,-0.23,0.268,-0.481
2018,179,7,3.26,0.21,0.748,0.101
2018,180,14,7.7,-0.204,-0.485,1.08
2018,182,1,0.71,0.031,0.505,0.47
2018,183,79,36.52,-0.204,-0.885,0.227
2018,184,2,0.42,-0.057,-0.184,-0.094
2018,185,5,2.25,-0.076,-1.279,-1.03
2018,187,4,1.22,-0.242,0.202,0.163
2018,193,2,1.14,0.12,-0.861,-0.45
2018,195,6,3.53,-0.402,-0.721,0.234
2018,196,3,0.62,0.029,0.222,0.088
2018,197,104,35.03,-0.059,-0.661,1.0
2018,198,10,5.58,-0.647,0.82,0.612
2018,202,2,1.19,-0.005,-0.392,-0.002
2018,203,19,6.82,1.491,2.141,2.047
2018,205,23,7.46,0.166,-1.829,-2.269
2018,207,24,8.47,0.865,3.698,2.536
2018,208,4,2.02,0.263,-1.227,0.034
2018,212,3,0.89,-0.175,-0.41,0.176
2018,213,20,6.3,-0.015,-1.052,-0.526
2018,214,1,0.3,0.207,-0.617,-0.285
2018,215,58,33.57,-0.888,-2.539,0.329
2018,216,3,0.62,-0.118,-0.097,-0.203
2018,217,5,1.72,0.012,0.918,0.724
2018,218,9,3.51,-0.193,-0.805,0.05
2018,219,21,5.75,-0.401,-0.45,0.045
2018,221,14,4.93,0.039,-0.655,-0.21
2018,225,7,2.47,-0.148,0.713,0.636
2018,227,2,0.5,0.058,0.805,0.294
2018,228,19,6.26,-0.245,1.371,0.672
2018,231,9,4.29,2.076,-5.224,-1.755
2018,232,6,1.81,0.253,-0.99,-0.893
2018,233,6,2.93,-0.455,0.646,0.452
2018,234,1,0.21,-0.067,-0.013,0.105
