year,type,total_races,dem_pct,rep_pct,margin,dem_votes,rep_votes,vote_margin,total_votes,rcp_final,pres_inc,pres_app,pres_disapp,pres_margin
2016,President,50,48.2,46.1,-2.1,65853514,62984828,-2868686,136669276,-3.2,Obama,52.4,44.6,7.8
2016,House,435,47.3,48.3,1.0,61417454,62772225,1354771,129833250,-0.6,Obama,52.4,44.6,7.8
2016,Senate,34,53.0,42.2,-10.8,51315969,40841717,-10474252,96866509,,Obama,52.4,44.6,7.8
2016,Governor,12,47.4,49.5,2.0,9288363,9688153,399790,19579201,,Obama,52.4,44.6,7.8
2017,Governor,2,54.9,43.6,-11.3,2612285,2075314,-536971,4761697,,Trump,38.7,56.6,-17.9
2018,House,435,53.4,44.8,-8.6,60572245,50861970,-9710275,113412989,-7.3,Trump,43.5,53.2,-9.7
2018,Senate,35,57.7,38.4,-19.3,52224867,34722926,-17501941,90473222,,Trump,43.5,53.2,-9.7
2018,Governor,36,50.3,47.3,-3.0,46253757,43452881,-2800876,91918835,,Trump,43.5,53.2,-9.7
2019,Governor,3,49.49,49.48,-0.01,1898756,1898436,-320,3836772,,Trump,43.5,54.3,-10.8
2020,President,50,51.3,46.8,-4.5,81283501,74223975,-7059526,158429631,-7.2,Trump,45.9,52.5,-6.6
2020,House,435,50.3,47.2,-3.0,77122690,72466576,-4656114,153431405,-6.8,Trump,45.9,52.5,-6.6
2020,Senate,35,47.0,49.3,2.3,38011916,39834647,1822731,80821083,,Trump,45.9,52.5,-6.6
2020,Governor,11,44.0,52.3,8.3,9001081,10698657,1697576,20468296,,Trump,45.9,52.5,-6.6
2021,Governor,2,49.8,49.4,-0.4,2939475,2918691,-20784,5903213,,Biden,43,51,-8
2022,House,435,47.3,50.0,2.7,51280463,54227992,2947529,108443387,2.5,Biden,42.1,54.6,-12.5
2022,Senate,35,50.0,47.4,-2.5,46208845,43850241,-2358604,92507402,,Biden,42.1,54.6,-12.5
2022,Governor,36,49.2,49.0,-0.2,43336108,43126140,-209968,88021140,,Biden,42.1,54.6,-12.5
2023,Governor,3,43.3,54.3,11.0,1389283,1741855,352572,3205519,,Biden,40.9,55.6,-14.7
2024,President,50,48.3,49.8,1.5,75017613,77302580,2284967,155238302,-0.1,Biden,41,56.2,-15.2
2024,House,435,47.2,49.7,2.6,70571330,74390864,3819534,149543421,0.3,Biden,41,56.2,-15.2
2024,Senate,34,49.1,47.7,-1.3,55934606,54402269,-1532337,113998179,,Biden,41,56.2,-15.2
2024,Governor,11,45.9,49.8,3.9,9242906,10031977,789071,20150527,,Biden,41,56.2,-15.2
2025,Governor,2,57.2,42.4,-14.9,3873467,2867291,-1006176,6767699,,Trump,43.4,54.4,-11
