township,precinct,ballots,reg_voters,pres_d,pres_r,pres_total,pres_d_pct,pres_r_pct,pres_margin,sen_d,sen_r,sen_total,sen_d_pct,sen_r_pct,sen_margin,house_d,house_r,house_total,house_d_pct,house_r_pct,house_margin,house_dist,srep_d,srep_r,srep_total,srep_d_pct,srep_r_pct,srep_margin,srep_dist
Barberton,BARBERTON 1-A,547,845,197,314,541,36.4,58,-21.6,170,319,525,32.4,60.8,-28.4,274,237,511,53.6,46.4,7.2,CD-13,229,261,490,46.7,53.3,-6.6,HD-35
Barberton,BARBERTON 1-B,516,854,223,258,509,43.8,50.7,-6.9,209,226,489,42.7,46.2,-3.5,290,190,480,60.4,39.6,20.8,CD-13,263,209,472,55.7,44.3,11.4,HD-35
Barberton,BARBERTON 1-C,556,830,224,300,545,41.1,55,-13.9,218,270,522,41.8,51.7,-9.9,297,211,508,58.5,41.5,17,CD-13,262,236,498,52.6,47.4,5.2,HD-35
Barberton,BARBERTON 2-A,620,917,267,298,607,44,49.1,-5.1,235,307,578,40.7,53.1,-12.4,338,213,551,61.3,38.7,22.6,CD-13,287,234,521,55.1,44.9,10.2,HD-35
Barberton,BARBERTON 2-B,679,877,289,340,660,43.8,51.5,-7.7,249,355,649,38.4,54.7,-16.3,373,256,629,59.3,40.7,18.6,CD-13,315,290,605,52.1,47.9,4.2,HD-35
Barberton,BARBERTON 2-C,546,864,256,259,535,47.9,48.4,-0.5,224,240,508,44.1,47.2,-3.1,316,183,499,63.3,36.7,26.6,CD-13,273,218,491,55.6,44.4,11.2,HD-35
Barberton,BARBERTON 3-A,591,955,437,125,582,75.1,21.5,53.6,407,125,562,72.4,22.2,50.2,451,103,554,81.4,18.6,62.8,CD-13,430,117,547,78.6,21.4,57.2,HD-35
Barberton,BARBERTON 3-B,647,931,374,242,634,59,38.2,20.8,326,262,614,53.1,42.7,10.4,429,182,611,70.2,29.8,40.4,CD-13,394,209,603,65.3,34.7,30.6,HD-35
Barberton,BARBERTON 3-C,792,947,336,411,774,43.4,53.1,-9.7,282,438,760,37.1,57.6,-20.5,424,306,730,58.1,41.9,16.2,CD-13,370,340,710,52.1,47.9,4.2,HD-35
Barberton,BARBERTON 4-A,367,729,183,143,352,52,40.6,11.4,159,157,349,45.6,45,0.6,234,110,344,68,32,36,CD-13,206,124,330,62.4,37.6,24.8,HD-35
Barberton,BARBERTON 4-B,422,754,191,194,415,46,46.7,-0.7,188,175,401,46.9,43.6,3.3,244,152,396,61.6,38.4,23.2,CD-13,227,162,389,58.4,41.6,16.8,HD-35
Barberton,BARBERTON 4-C,513,798,237,242,499,47.5,48.5,-1,203,237,480,42.3,49.4,-7.1,297,173,470,63.2,36.8,26.4,CD-13,264,194,458,57.6,42.4,15.2,HD-35
Barberton,BARBERTON 5-A,520,808,210,278,514,40.9,54.1,-13.2,201,241,490,41,49.2,-8.2,280,203,483,58,42,16,CD-13,253,218,471,53.7,46.3,7.4,HD-35
Barberton,BARBERTON 5-B,525,780,237,249,516,45.9,48.3,-2.4,206,242,489,42.1,49.5,-7.4,306,172,478,64,36,28,CD-13,265,200,465,57,43,14,HD-35
Barberton,BARBERTON 5-C,481,776,213,230,470,45.3,48.9,-3.6,185,228,453,40.8,50.3,-9.5,272,162,434,62.7,37.3,25.4,CD-13,232,190,422,55,45,10,HD-35
Barberton,BARBERTON 6-A,594,760,238,330,587,40.5,56.2,-15.7,202,328,567,35.6,57.8,-22.2,308,248,556,55.4,44.6,10.8,CD-13,259,275,534,48.5,51.5,-3,HD-35
Barberton,BARBERTON 6-B,438,766,175,229,433,40.4,52.9,-12.5,176,206,424,41.5,48.6,-7.1,245,164,409,59.9,40.1,19.8,CD-13,215,176,391,55,45,10,HD-35
Barberton,BARBERTON 6-C,570,786,237,297,560,42.3,53,-10.7,199,310,544,36.6,57,-20.4,301,235,536,56.2,43.8,12.4,CD-13,273,249,522,52.3,47.7,4.6,HD-35
Bath TWP,BATH TWP A,815,1023,323,432,788,41,54.8,-13.8,224,538,780,28.7,69,-40.3,260,478,738,35.2,64.8,-29.6,CD-11,219,533,752,29.1,70.9,-41.8,HD-38
Bath TWP,BATH TWP B,775,916,270,455,752,35.9,60.5,-24.6,200,518,741,27,69.9,-42.9,232,467,699,33.2,66.8,-33.6,CD-11,206,505,711,29,71,-42,HD-38
Bath TWP,BATH TWP C,914,1103,325,505,878,37,57.5,-20.5,237,609,872,27.2,69.8,-42.6,271,558,829,32.7,67.3,-34.6,CD-11,216,635,851,25.4,74.6,-49.2,HD-38
Bath TWP,BATH TWP D,789,943,382,354,765,49.9,46.3,3.6,273,448,752,36.3,59.6,-23.3,323,380,703,45.9,54.1,-8.2,CD-11,283,438,721,39.3,60.7,-21.4,HD-38
Bath TWP,BATH TWP E,797,941,365,382,777,47,49.2,-2.2,260,456,751,34.6,60.7,-26.1,325,399,724,44.9,55.1,-10.2,CD-11,265,473,738,35.9,64.1,-28.2,HD-38
