boundary_year,district_id,district_name,pres_year,dem_pct,rep_pct,margin,dem_votes,rep_votes,total_votes,source
2016,201,AK-01,2016,36.55,51.28,14.73,116454,163387,318608,house_statewide_results.csv
2016,101,AL-01,2016,33.78,62.97,29.18,103343,192616,305900,house_statewide_results.csv
2016,102,AL-02,2016,32.95,64.25,31.3,95307,185825,289220,house_statewide_results.csv
2016,103,AL-03,2016,31.99,64.74,32.75,92999,188210,290731,house_statewide_results.csv
2016,104,AL-04,2016,17.31,79.73,62.42,50846,234147,293678,house_statewide_results.csv
2016,105,AL-05,2016,30.87,63.72,32.85,97157,200562,314740,house_statewide_results.csv
2016,106,AL-06,2016,25.76,69.57,43.8,86481,233512,335672,house_statewide_results.csv
2016,107,AL-07,2016,69.24,28.5,-40.74,203474,83757,293883,house_statewide_results.csv
2016,501,AR-01,2016,30.18,64.98,34.8,78644,169330,260600,house_statewide_results.csv
2016,502,AR-02,2016,41.66,52.37,10.71,127878,160763,306949,house_statewide_results.csv
2016,503,AR-03,2016,30.49,61.92,31.43,89081,180921,292163,house_statewide_results.csv
2016,504,AR-04,2016,31.33,64.16,32.83,84842,173730,270780,house_statewide_results.csv
2016,401,AZ-01,2016,45.53,46.58,1.05,132879,135936,291830,house_statewide_results.csv
2016,402,AZ-02,2016,48.63,43.82,-4.81,156667,141184,322158,house_statewide_results.csv
2016,403,AZ-03,2016,61.56,32.06,-29.5,130466,67953,211944,house_statewide_results.csv
2016,404,AZ-04,2016,27.12,66.66,39.54,82193,202038,303092,house_statewide_results.csv
2016,405,AZ-05,2016,35.52,56.07,20.55,121280,191432,341437,house_statewide_results.csv
2016,406,AZ-06,2016,41.74,51.55,9.81,143525,177251,343866,house_statewide_results.csv
2016,407,AZ-07,2016,70.55,22.27,-48.28,117937,37229,167157,house_statewide_results.csv
2016,408,AZ-08,2016,36.36,57.15,20.79,121035,190244,332896,house_statewide_results.csv
2016,409,AZ-09,2016,53.46,37.6,-15.86,155185,109134,290277,house_statewide_results.csv
2016,601,CA-01,2016,36.54,56.17,19.64,114681,176313,313881,house_statewide_results.csv
2016,602,CA-02,2016,69.04,23.35,-45.69,238036,80497,344781,house_statewide_results.csv
2016,603,CA-03,2016,52.97,40.4,-12.57,138449,105589,261360,house_statewide_results.csv
2016,604,CA-04,2016,39.27,54.04,14.77,138352,190384,352323,house_statewide_results.csv
2016,605,CA-05,2016,69.14,24.3,-44.85,210535,73981,304493,house_statewide_results.csv
2016,606,CA-06,2016,69.16,24.41,-44.74,168686,59546,243919,house_statewide_results.csv
2016,607,CA-07,2016,52.31,40.85,-11.45,159066,124236,304105,house_statewide_results.csv
2016,608,CA-08,2016,39.62,54.73,15.11,92182,127341,232663,house_statewide_results.csv
2016,609,CA-09,2016,56.58,37.96,-18.62,134678,90363,238019,house_statewide_results.csv
2016,610,CA-10,2016,48.54,45.54,-3.0,116144,108969,239273,house_statewide_results.csv
2016,611,CA-11,2016,71.51,22.68,-48.83,223012,70720,311853,house_statewide_results.csv
2016,612,CA-12,2016,86.19,8.68,-77.51,309227,31150,358774,house_statewide_results.csv
2016,613,CA-13,2016,87.36,6.8,-80.56,291321,22681,333483,house_statewide_results.csv
2016,614,CA-14,2016,76.92,18.21,-58.71,229070,54242,297807,house_statewide_results.csv
2016,615,CA-15,2016,69.92,24.19,-45.72,198248,68603,283552,house_statewide_results.csv
2016,616,CA-16,2016,57.96,36.36,-21.6,98479,61780,169912,house_statewide_results.csv
2016,617,CA-17,2016,73.89,20.5,-53.39,183920,51023,248904,house_statewide_results.csv
2016,618,CA-18,2016,73.44,20.21,-53.23,246197,67746,335255,house_statewide_results.csv
2016,619,CA-19,2016,72.93,21.49,-51.44,187868,55351,257612,house_statewide_results.csv
2016,620,CA-20,2016,70.36,23.21,-47.15,180245,59468,256166,house_statewide_results.csv
2016,621,CA-21,2016,55.24,39.68,-15.56,73742,52965,133497,house_statewide_results.csv
2016,622,CA-22,2016,42.61,52.09,9.48,102285,125039,240064,house_statewide_results.csv
2016,623,CA-23,2016,36.07,58.13,22.06,88300,142315,244803,house_statewide_results.csv
2016,624,CA-24,2016,56.52,36.66,-19.86,175258,113677,310107,house_statewide_results.csv
