state,boundary_year,pres_year,district_name,dem_votes,rep_votes,total_votes,margin,joined_share,source
NC,2018,2020,NC-01,269665,123258,397481,-36.83,0.5691,NC SBE precinct results: 2020 US PRESIDENT joined to 2018 US HOUSE precinct labels
NC,2018,2020,NC-02,224725,245352,478514,4.31,0.5691,NC SBE precinct results: 2020 US PRESIDENT joined to 2018 US HOUSE precinct labels
NC,2018,2020,NC-03,144127,228821,378969,22.35,0.5691,NC SBE precinct results: 2020 US PRESIDENT joined to 2018 US HOUSE precinct labels
NC,2018,2020,NC-04,340076,132433,481289,-43.14,0.5691,NC SBE precinct results: 2020 US PRESIDENT joined to 2018 US HOUSE precinct labels
NC,2018,2020,NC-05,169920,235231,410875,15.9,0.5691,NC SBE precinct results: 2020 US PRESIDENT joined to 2018 US HOUSE precinct labels
NC,2018,2020,NC-06,177301,236335,418927,14.09,0.5691,NC SBE precinct results: 2020 US PRESIDENT joined to 2018 US HOUSE precinct labels
NC,2018,2020,NC-07,180350,253534,439596,16.65,0.5691,NC SBE precinct results: 2020 US PRESIDENT joined to 2018 US HOUSE precinct labels
NC,2018,2020,NC-08,172046,218672,396838,11.75,0.5691,NC SBE precinct results: 2020 US PRESIDENT joined to 2018 US HOUSE precinct labels
NC,2018,2020,NC-09,179691,220238,405426,10.0,0.5691,NC SBE precinct results: 2020 US PRESIDENT joined to 2018 US HOUSE precinct labels
NC,2018,2020,NC-10,160029,256871,422531,22.92,0.5691,NC SBE precinct results: 2020 US PRESIDENT joined to 2018 US HOUSE precinct labels
NC,2018,2020,NC-11,159549,265234,431057,24.52,0.5691,NC SBE precinct results: 2020 US PRESIDENT joined to 2018 US HOUSE precinct labels
NC,2018,2020,NC-12,313580,119771,440937,-43.95,0.5691,NC SBE precinct results: 2020 US PRESIDENT joined to 2018 US HOUSE precinct labels
NC,2018,2020,NC-13,193278,223115,422496,7.06,0.5691,NC SBE precinct results: 2020 US PRESIDENT joined to 2018 US HOUSE precinct labels
NC,2022,2024,NC-01,197230,185814,387284,-2.95,0.6637,NC SBE precinct results: 2024 US PRESIDENT joined to 2022 US HOUSE precinct labels
NC,2022,2024,NC-02,267870,149806,426443,-27.69,0.6637,NC SBE precinct results: 2024 US PRESIDENT joined to 2022 US HOUSE precinct labels
NC,2022,2024,NC-03,134212,248263,386614,29.5,0.6637,NC SBE precinct results: 2024 US PRESIDENT joined to 2022 US HOUSE precinct labels
NC,2022,2024,NC-04,273022,133009,413169,-33.89,0.6637,NC SBE precinct results: 2024 US PRESIDENT joined to 2022 US HOUSE precinct labels
NC,2022,2024,NC-05,159715,248943,414294,21.54,0.6637,NC SBE precinct results: 2024 US PRESIDENT joined to 2022 US HOUSE precinct labels
NC,2022,2024,NC-06,217806,175417,399474,-10.61,0.6637,NC SBE precinct results: 2024 US PRESIDENT joined to 2022 US HOUSE precinct labels
NC,2022,2024,NC-07,179509,248651,433041,15.97,0.6637,NC SBE precinct results: 2024 US PRESIDENT joined to 2022 US HOUSE precinct labels
NC,2022,2024,NC-08,131878,277541,414452,35.15,0.6637,NC SBE precinct results: 2024 US PRESIDENT joined to 2022 US HOUSE precinct labels
NC,2022,2024,NC-09,155366,204955,364996,13.59,0.6637,NC SBE precinct results: 2024 US PRESIDENT joined to 2022 US HOUSE precinct labels
NC,2022,2024,NC-10,121269,287522,413039,40.25,0.6637,NC SBE precinct results: 2024 US PRESIDENT joined to 2022 US HOUSE precinct labels
NC,2022,2024,NC-11,199137,237794,443806,8.71,0.6637,NC SBE precinct results: 2024 US PRESIDENT joined to 2022 US HOUSE precinct labels
NC,2022,2024,NC-12,240042,128985,377704,-29.4,0.6637,NC SBE precinct results: 2024 US PRESIDENT joined to 2022 US HOUSE precinct labels
NC,2022,2024,NC-13,211780,207712,427120,-0.95,0.6637,NC SBE precinct results: 2024 US PRESIDENT joined to 2022 US HOUSE precinct labels
NC,2022,2024,NC-14,223108,160499,391230,-16.0,0.6637,NC SBE precinct results: 2024 US PRESIDENT joined to 2022 US HOUSE precinct labels
AL,2022,2024,AL-01,108597,221424,334330,33.75,0.5922,"MEDSL 2024 precinct US PRESIDENT (county-scaled) joined to MEDSL 2022 US HOUSE precinct labels, calibrated"
