state_abbr,state_name,electoral_votes,year,dem_candidate,rep_candidate,incumbent,dem_pct,rep_pct,margin,dem_votes,rep_votes,vote_margin,total_votes
AK,Alaska,3,2016,Hillary Clinton,Donald Trump,None,36.55,51.28,14.73,116454,163387,46933,318608
AL,Alabama,9,2016,Hillary Clinton,Donald Trump,None,34.36,62.08,27.72,729547,1318255,588708,2123372
AR,Arkansas,6,2016,Hillary Clinton,Donald Trump,None,33.65,60.57,26.92,380494,684872,304378,1130676
AZ,Arizona,11,2016,Hillary Clinton,Donald Trump,None,45.13,48.67,3.54,1161167,1252401,91234,2573165
CA,California,55,2016,Hillary Clinton,Donald Trump,None,61.73,31.62,-30.11,8753788,4483810,-4269978,14181595
CO,Colorado,9,2016,Hillary Clinton,Donald Trump,None,48.16,43.25,-4.91,1338870,1202484,-136386,2780247
CT,Connecticut,7,2016,Hillary Clinton,Donald Trump,None,54.57,40.93,-13.64,897572,673215,-224357,1644920
DC,District of Coumbia,3,2016,Hillary Clinton,Donald Trump,None,90.86,4.09,-86.77,282830,12723,-270107,311268
DE,Delaware,3,2016,Hillary Clinton,Donald Trump,None,53.09,41.71,-11.38,235603,185127,-50476,443814
FL,Florida,29,2016,Hillary Clinton,Donald Trump,None,47.82,49.02,1.2,4504975,4617886,112911,9420039
GA,Georgia,16,2016,Hillary Clinton,Donald Trump,None,45.64,50.77,5.13,1877963,2089104,211141,4114732
HI,Hawaii,4,2016,Hillary Clinton,Donald Trump,None,62.22,30.04,-32.18,266891,128847,-138044,428937
IA,Iowa,6,2016,Hillary Clinton,Donald Trump,None,41.74,51.15,9.41,653669,800983,147314,1566031
ID,Idaho,4,2016,Hillary Clinton,Donald Trump,None,27.49,59.26,31.77,189765,409055,219290,690255
IL,Illinois,20,2016,Hillary Clinton,Donald Trump,None,55.83,38.76,-17.07,3090729,2146015,-944714,5536424
IN,Indiana,11,2016,Hillary Clinton,Donald Trump,None,37.77,56.94,19.17,1033126,1557286,524160,2734958
KS,Kansas,6,2016,Hillary Clinton,Donald Trump,None,36.05,56.65,20.6,427005,671018,244013,1184402
KY,Kentucky,8,2016,Hillary Clinton,Donald Trump,None,32.68,62.52,29.84,628854,1202971,574117,1924149
LA,Louisiana,8,2016,Hillary Clinton,Donald Trump,None,38.45,58.09,19.64,780154,1178638,398484,2029032
MA,Massachusetts,11,2016,Hillary Clinton,Donald Trump,None,60.01,32.81,-27.2,1995196,1090893,-904303,3325046
MD,Maryland,10,2016,Hillary Clinton,Donald Trump,None,60.33,33.91,-26.42,1677928,943169,-734759,2781446
ME,Maine,2,2016,Hillary Clinton,Donald Trump,None,47.83,44.87,-2.96,357735,335593,-22142,747927
ME-01,Maine 1st CD,1,2016,Hillary Clinton,Donald Trump,None,53.96,39.15,-14.81,212774,154384,-58390,394329
ME-02,Maine 2nd CD,1,2016,Hillary Clinton,Donald Trump,None,40.98,51.26,10.28,144817,181177,36360,353416
MI,Michigan,16,2016,Hillary Clinton,Donald Trump,None,47.27,47.5,0.23,2268839,2279543,10704,4799284
MN,Minnesota,10,2016,Hillary Clinton,Donald Trump,None,46.44,44.92,-1.52,1367716,1322951,-44765,2944813
MO,Missouri,10,2016,Hillary Clinton,Donald Trump,None,38.14,56.77,18.63,1071068,1594511,523443,2808605
MS,Mississippi,6,2016,Hillary Clinton,Donald Trump,None,40.11,57.94,17.83,485131,700714,215583,1209357
MT,Montana,3,2016,Hillary Clinton,Donald Trump,None,35.75,56.17,20.42,177709,279240,101531,497147
NC,North Carolina,15,2016,Hillary Clinton,Donald Trump,None,46.17,49.83,3.66,2189316,2362631,173315,4741564
ND,North Dakota,3,2016,Hillary Clinton,Donald Trump,None,27.23,62.96,35.73,93758,216794,123036,344360
NE,Nebraska AL,2,2016,Hillary Clinton,Donald Trump,None,33.7,58.75,25.05,284494,495961,211467,844227
NE-01,Nebraska 1st CD,1,2016,Hillary Clinton,Donald Trump,None,35.46,56.18,20.72,100132,158642,58510,282338
NE-02,Nebrasksa 2nd CD,1,2016,Hillary Clinton,Donald Trump,None,44.92,47.16,2.24,131030,137564,6534,291680
NE-03,Nebraska 3rd CD,1,2016,Hillary Clinton,Donald Trump,None,19.73,73.92,54.19,53332,199755,146423,270109
NH,New Hampshire,4,2016,Hillary Clinton,Donald Trump,None,46.83,46.46,-0.37,348526,345790,-2736,744296
NJ,New Jersey,14,2016,Hillary Clinton,Donald Trump,None,55.45,41.35,-14.1,2148278,1601933,-546345,3874046
NM,New Mexico,5,2016,Hillary Clinton,Donald Trump,None,48.26,40.04,-8.22,385234,319667,-65567,798319
NV,Nevada,6,2016,Hillary Clinton,Donald Trump,None,47.92,45.5,-2.42,539260,512058,-27202,1125385
NY,New York,29,2016,Hillary Clinton,Donald Trump,None,59.01,36.52,-22.49,4556124,2819534,-1736590,7721453
OH,Ohio,18,2016,Hillary Clinton,Donald Trump,None,43.56,51.69,8.13,2394164,2841005,446841,5496487
OK,Oklahoma,7,2016,Hillary Clinton,Donald Trump,None,28.93,65.32,36.39,420375,949136,528761,1452992
OR,Oregon,7,2016,Hillary Clinton,Donald Trump,None,50.07,39.09,-10.98,1002106,782403,-219703,2001336
PA,Pennsylvania,20,2016,Hillary Clinton,Donald Trump,None,47.46,48.18,0.72,2926441,2970733,44292,6165478
RI,Rhode Island,4,2016,Hillary Clinton,Donald Trump,None,54.41,38.9,-15.51,252525,180543,-71982,464144
SC,South Carolina,9,2016,Hillary Clinton,Donald Trump,None,40.67,54.94,14.27,855373,1155389,300016,2103027
SD,South Dakota,3,2016,Hillary Clinton,Donald Trump,None,31.74,61.53,29.79,117458,227721,110263,370093
TN,Tennessee,11,2016,Hillary Clinton,Donald Trump,None,34.72,60.72,26,870695,1522925,652230,2508027
TX,Texas,38,2016,Hillary Clinton,Donald Trump,None,43.24,52.23,8.99,3877868,4685047,807179,8969226
UT,Utah,6,2016,Hillary Clinton,Donald Trump,None,27.46,45.54,18.08,310676,515231,204555,1131430
VA,Virginia,13,2016,Hillary Clinton,Donald Trump,None,49.73,44.41,-5.32,1981473,1769443,-212030,3984631
VT,Vermont,3,2016,Hillary Clinton,Donald Trump,None,56.68,30.27,-26.41,178573,95369,-83204,315067
WA,Washington,12,2016,Hillary Clinton,Donald Trump,None,52.54,36.83,-15.71,1742718,1221747,-520971,3317019
WI,Wisconsin,10,2016,Hillary Clinton,Donald Trump,None,46.45,47.22,0.77,1382536,1405284,22748,2976150
WV,West Virginia,5,2016,Hillary Clinton,Donald Trump,None,26.43,68.5,42.07,188794,489371,300577,714423
WY,Wyoming,3,2016,Hillary Clinton,Donald Trump,None,21.88,68.17,46.29,55973,174419,118446,255849
AK,Alaska,3,2020,Joe Biden,Donald Trump,R,42.77,52.83,10.06,153778,189951,36173,359530
AL,Alabama,9,2020,Joe Biden,Donald Trump,R,36.57,62.03,25.46,849624,1441170,591546,2323282
AR,Arkansas,6,2020,Joe Biden,Donald Trump,R,34.78,62.4,27.62,423932,760647,336715,1219069
