state,id,2026_pvi,2024_pvi,2022_pvi,2020_pvi,2018_pvi,2016_pvi
Alabama,Statewide,15,,,,,
Alaska,Statewide,6,,,,,
Arizona,Statewide,2,,,,,
Arkansas,Statewide,15,,,,,
California,Statewide,-12,,,,,
Colorado,Statewide,-6,,,,,
Connecticut,Statewide,-8,,,,,
Delaware,Statewide,-8,,,,,
District of Coumbia,Statewide,-44,,,,,
Florida,Statewide,5,,,,,
Georgia,Statewide,1,,,,,
Hawaii,Statewide,-13,,,,,
Idaho,Statewide,18,,,,,
Illinois,Statewide,-6,,,,,
Indiana,Statewide,9,,,,,
Iowa,Statewide,6,,,,,
Kansas,Statewide,8,,,,,
Kentucky,Statewide,15,,,,,
Louisiana,Statewide,11,,,,,
Maine,Statewide,-4,,,,,
Maryland,Statewide,-15,,,,,
Massachusetts,Statewide,-14,,,,,
Michigan,Statewide,0,,,,,
Minnesota,Statewide,-3,,,,,
Mississippi,Statewide,11,,,,,
Missouri,Statewide,9,,,,,
Montana,Statewide,10,,,,,
Nebraska AL,Statewide,10,,,,,
Nevada,Statewide,1,,,,,
New Hampshire,Statewide,-2,,,,,
New Jersey,Statewide,-4,,,,,
New Mexico,Statewide,-4,,,,,
New York,Statewide,-8,,,,,
North Carolina,Statewide,1,,,,,
North Dakota,Statewide,18,,,,,
Ohio,Statewide,5,,,,,
Oklahoma,Statewide,17,,,,,
Oregon,Statewide,-8,,,,,
Pennsylvania,Statewide,1,,,,,
Rhode Island,Statewide,-8,,,,,
South Carolina,Statewide,8,,,,,
South Dakota,Statewide,15,,,,,
Tennessee,Statewide,14,,,,,
Texas,Statewide,6,,,,,
Utah,Statewide,11,,,,,
Vermont,Statewide,-17,,,,,
Virginia,Statewide,-3,,,,,
Washington,Statewide,-10,,,,,
West Virginia,Statewide,21,,,,,
Wisconsin,Statewide,0,,,,,
Wyoming,Statewide,23,,,,,
AL-01,101,,28,16,16,15,15
AL-02,102,,-4,17,17,16,16
AL-03,103,,23,19,18,16,16
AL-04,104,,33,33,34,30,30
AL-05,105,,17,17,17,18,18
AL-06,106,,22,18,22,26,26
AL-07,107,,-12,-14,-19,-20,-20
AK-01,201,6,8,8,9,9,9
