year,office,state,race,pollster,partisan,start,end,sample,population,dem,rep,grade
2018,G,AK,Governor,Alaska Survey Research,,2018-03-25,2018-03-29,761,a,53.0,42.0,1.9
2018,G,AK,Governor,Alaska Survey Research,,2018-06-15,2018-06-21,654,rv,33.0,38.0,1.9
2018,G,AK,Governor,Harstad,D,2018-06-21,2018-06-26,602,lv,28.0,32.0,1.0
2018,G,AK,Governor,Harstad,D,2018-06-21,2018-06-26,602,lv,50.0,41.0,1.0
2018,G,AK,Governor,Patinkin Research Strategies,,2018-06-22,2018-06-28,800,lv,22.0,36.0,1.3
2018,G,AK,Governor,Harstad,D,2018-08-13,2018-08-16,602,lv,24.0,36.0,1.0
2018,G,AK,Governor,Harstad,D,2018-08-13,2018-08-16,602,lv,46.0,44.0,1.0
2018,G,AK,Governor,Alaska Survey Research,,2018-09-21,2018-09-25,500,lv,46.8,49.9,1.9
2018,G,AK,Governor,Alaska Survey Research,,2018-09-21,2018-09-25,500,lv,29.0,44.4,1.9
2018,G,AK,Governor,Alaska Survey Research,,2018-10-01,2018-10-06,500,lv,29.0,44.4,1.9
2018,G,AK,Governor,Alaska Survey Research,,2018-10-01,2018-10-06,500,lv,22.6,46.5,1.9
2018,G,AK,Governor,Alaska Survey Research,,2018-10-01,2018-10-06,500,lv,40.8,54.5,1.9
2018,G,AK,Governor,PPP,D,2018-10-11,2018-10-12,645,v,23.0,43.0,1.4
2018,G,AK,Governor,Alaska Survey Research,,2018-10-12,2018-10-14,500,lv,26.4,43.4,1.9
2018,G,AK,Governor,Alaska Survey Research,,2018-10-12,2018-10-14,500,lv,44.8,51.7,1.9
2018,G,AK,Governor,Alaska Survey Research,,2018-10-19,2018-10-22,500,lv,43.7,48.3,1.9
2018,G,AK,Governor,Alaska Survey Research,,2018-10-26,2018-10-29,500,lv,42.3,42.5,1.9
2018,G,AL,Governor,Atlantic Media and Research,,2018-06-12,2018-06-21,440,lv,28.0,53.0,1.3
2018,G,AL,Governor,Cygnal,,2018-07-24,2018-07-25,1027,lv,42.0,56.0,2.1
2018,G,AL,Governor,Research Consultants,R,2018-09-22,2018-09-22,316,lv,38.0,58.0,
