state_abbr,year,seat,class,type,dem_candidate,rep_candidate,incumbent,dem_pct,rep_pct,margin,dem_votes,rep_votes,vote_margin,total_votes,wikipedia_url
AK,2022,2,3,,Patricia Chesbro,Lisa Murkowski,R,10.37,43.37,33.00,27145,113495,86350,261705,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Alaska
AK,2020,1,2,,Al Gross,Dan Sullivan,R,41.19,53.90,12.70,146068,191112,45044,354587,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Alaska
AK,2016,2,3,,Ray Metcalfe,Lisa Murkowski,R,11.62,44.36,32.73,36200,138149,101949,311441,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_Alaska
AK,2014,1,2,,Mark Begich,Dan Sullivan,D,45.83,47.96,2.13,129431,135445,6014,282400,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Alaska
AL,2022,2,3,,Will Boyd,Katie Britt,None,30.88,66.62,35.74,436746,942154,505408,1414238,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Alabama
AL,2020,1,2,,Doug Jones,Tommy Tuberville,D,39.74,60.10,20.36,920478,1392076,471598,2316445,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Alabama
AL,2016,2,3,,Ron Crumpton,Richard Shelby,R,35.87,63.96,28.09,748709,1335104,586395,2087444,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_Alabama
AL,2014,1,2,,,Jeff Sessions,R,0.00,97.25,97.25,0,795606,795606,818090,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Alabama
AR,2022,2,3,,Natalie James,John Boozman,R,31.09,65.73,34.64,280187,592437,312250,901306,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Arkansas
AR,2020,1,2,,Ricky Dale Harrington Jr. (I),Tom Cotton,R,33.47,66.53,33.06,399390,793871,394481,1193261,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Arkansas
AR,2016,2,3,,Conner Eldridge,John Boozman,R,36.17,59.77,23.60,400602,661984,261382,1107522,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_Arkansas
AR,2014,1,2,,Mark Pryor,Tom Cotton,D,39.43,56.50,17.07,334174,478819,144645,847505,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Arkansas
AZ,2024,1,1,,Ruben Gallego,Kari Lake,None,50.06,47.65,-2.41,1676335,1595761,-80574,3348814,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_Arizona
AZ,2022,2,3,,Mark Kelly,Blake Masters,D,51.39,46.51,-4.89,1322027,1196308,-125719,2572294,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Arizona
AZ,2020,2,3,Special,Mark Kelly,Martha McSally,R,51.16,48.81,-2.35,1716467,1637661,-78806,3355317,https://en.wikipedia.org/wiki/2020_United_States_Senate_special_election_in_Arizona
AZ,2018,1,1,,Kyrsten Sinema,Martha McSally,None,49.96,47.61,-2.34,1191100,1135200,-55900,2384308,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Arizona
AZ,2016,2,3,,Ann Kirkpatrick,John McCain,R,40.75,53.71,12.96,1031245,1359267,328022,2530730,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_Arizona
AZ,2012,1,1,,Richard Carmona,Jeff Flake,None,46.20,49.23,3.03,1036542,1104457,67915,2243422,https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_Arizona
CA,2024,1,1,,Adam Schiff,Steve Garvey,None,58.87,41.13,-17.75,9036252,6312594,-2723658,15348846,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_California
CA,2022,2,3,,Alex Padilla,Mark Meuser,D,61.06,38.94,-22.13,6621616,4222025,-2399591,10843641,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_California
CA,2018,1,1,,Dianne Feinstein,Kevin de León (D),D,54.16,45.84,-8.32,6019422,5093942,-925480,11113364,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_California
CA,2016,2,3,,Kamala Harris,Loretta Sanchez (D),None,61.60,38.40,-23.20,7542753,4701417,-2841336,12244170,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_California
CA,2012,1,1,,Dianne Feinstein,Elizabeth Emken,D,62.52,37.48,-25.05,7864624,4713887,-3150737,12578511,https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_California
CO,2022,2,3,,Michael Bennet,Joe O'Dea,D,55.88,41.27,-14.62,1397170,1031693,-365477,2500130,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Colorado
CO,2020,1,2,,John Hickenlooper,Cory Gardner,R,53.50,44.18,-9.32,1731114,1429492,-301622,3235790,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Colorado
CO,2016,2,3,,Michael Bennet,Darryl Glenn,D,49.97,44.31,-5.66,1370710,1215318,-155392,2743023,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_Colorado
CO,2014,1,2,,Mark Udall,Cory Gardner,D,46.26,48.20,1.94,944203,983891,39688,2041058,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Colorado
CT,2024,1,1,,Chris Murphy,Matthew Corey,D,58.58,39.70,-18.88,1000695,678256,-322439,1708259,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_Connecticut
CT,2022,2,3,,Richard Blumenthal,Leora Levy,D,57.45,42.54,-14.92,723864,535943,-187921,1259887,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Connecticut
CT,2018,1,1,,Chris Murphy,Matthew Corey,D,59.53,39.35,-20.18,825579,545717,-279862,1386840,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Connecticut
CT,2016,2,3,,Richard Blumenthal,Dan Carter,D,63.19,34.62,-28.57,1008714,552621,-456093,1596276,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_Connecticut
CT,2012,1,1,,Chris Murphy,Linda McMahon,None,54.82,43.07,-11.75,828761,651089,-177672,1511764,https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_Connecticut
DE,2024,1,1,,Lisa Blunt Rochester,Eric Hansen,None,56.59,39.50,-17.09,283298,197753,-85545,500606,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_Delaware
DE,2020,2,2,,Chris Coons,Lauren Witzke,D,59.44,37.90,-21.54,291804,186054,-105750,490935,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Delaware
DE,2018,1,1,,Tom Carper,Rob Arlett,D,59.95,37.82,-22.13,217385,137127,-80258,362606,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Delaware
DE,2014,2,2,,Chris Coons,Kevin Wade,D,55.83,42.23,-13.60,130655,98823,-31832,234038,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Delaware
DE,2012,1,1,,Tom Carper,Kevin Wade,D,66.42,28.95,-37.47,265415,115700,-149715,399606,https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_Delaware
FL,2024,1,1,,Debbie Mucarsel-Powell,Rick Scott,R,42.79,55.57,12.78,4603077,5977706,1374629,10757428,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_Florida
FL,2022,2,3,,Val Demings,Marco Rubio,R,41.27,57.68,16.41,3201522,4474847,1273325,7758014,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Florida
FL,2018,1,1,,Bill Nelson,Rick Scott,D,49.93,50.05,0.12,4089472,4099505,10033,8190005,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Florida
FL,2016,2,3,,Patrick Murphy,Marco Rubio,R,44.31,51.98,7.67,4122088,4835191,713103,9301820,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_Florida
FL,2012,1,1,,Bill Nelson,Connie Mack,D,55.23,42.23,-13.01,4523451,3458267,-1065184,8189946,https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_Florida
GA,2022,2,3,,Raphael Warnock,Herschel Walker,D,51.40,48.60,-2.81,1820633,1721244,-99389,3541877,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Georgia
GA,2020,1,2,,Jon Ossoff,David Perdue,R,50.61,49.39,-1.23,2269923,2214979,-54944,4484902,https://en.wikipedia.org/wiki/2020%E2%80%9321_United_States_Senate_election_in_Georgia
GA,2020,2,3,Special,Raphael Warnock,Kelly Loeffler,R,51.04,48.96,-2.08,2289113,2195841,-93272,4484954,https://en.wikipedia.org/wiki/2020%E2%80%9321_United_States_Senate_special_election_in_Georgia
GA,2016,2,3,,Jim Barksdale,Johnny Isakson,R,41.03,54.78,13.75,1599726,2135806,536080,3898605,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_Georgia
GA,2014,1,2,,Michelle Nunn,David Perdue,None,45.21,52.89,7.68,1160811,1358088,197277,2567805,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Georgia
HI,2024,1,1,,Mazie Hirono,Bob McDermott,D,64.61,31.90,-32.71,324194,160075,-164119,501763,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_Hawaii
HI,2022,2,3,,Brian Schatz,Bob McDermott,D,71.21,26.04,-45.17,290894,106358,-184536,419363,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Hawaii
HI,2018,1,1,,Mazie Hirono,Ron Curtis,D,71.15,28.85,-42.30,276316,112035,-164281,398657,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Hawaii
HI,2016,2,3,,Brian Schatz,John Carroll,D,73.60,22.24,-51.36,306604,92653,-213951,437664,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_Hawaii
HI,2014,2,3,Special,Brian Schatz,Cam Cavasso,D,69.77,27.70,-42.07,246827,98006,-148821,369703,https://en.wikipedia.org/wiki/2014_United_States_Senate_special_election_in_Hawaii
HI,2012,1,1,,Mazie Hirono,Linda Lingle,None,62.60,37.40,-25.20,269489,160994,-108495,437159,https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_Hawaii
IA,2022,2,3,,Michael Franken,Chuck Grassley,R,43.84,56.01,12.18,533330,681501,148171,1230416,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Iowa
IA,2020,1,2,,Theresa Greenfield,Joni Ernst,R,45.15,51.74,6.59,754859,864997,110138,1700130,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Iowa
IA,2016,2,3,,Patty Judge,Chuck Grassley,R,35.66,60.09,24.43,549460,926007,376547,1541036,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_Iowa
IA,2014,1,2,,Bruce Braley,Joni Ernst,None,43.76,52.10,8.34,494370,588575,94205,1129700,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Iowa
ID,2022,2,3,,David Roth,Mike Crapo,R,28.74,60.68,31.94,169808,358539,188731,590890,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Idaho
ID,2020,1,2,,Paulette Jordan,Jim Risch,R,33.25,62.62,29.38,285864,538446,252582,859827,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Idaho
ID,2016,2,3,,Jerry Sturgill,Mike Crapo,R,27.73,66.13,38.41,188249,449017,260768,678943,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_Idaho
ID,2014,1,2,,Nels Mitchell,Jim Risch,R,34.67,65.33,30.66,151574,285596,134022,437170,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Idaho
IL,2022,2,3,,Tammy Duckworth,Kathy Salvi,D,56.82,41.50,-15.32,2329136,1701055,-628081,4098896,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Illinois
IL,2020,1,2,,Dick Durbin,Mark Curran,D,54.93,38.87,-16.07,3278930,2319870,-959060,5968901,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Illinois
IL,2016,2,3,,Tammy Duckworth,Mark Kirk,R,54.86,39.78,-15.08,3012940,2184692,-828248,5491878,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_Illinois
IL,2014,1,2,,Dick Durbin,Jim Oberweis,D,53.55,42.69,-10.85,1929637,1538522,-391115,3603519,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Illinois
IN,2024,1,1,,Valerie McCray,Jim Banks,None,38.77,58.64,19.87,1097061,1659416,562355,2829897,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_Indiana
IN,2022,2,3,,Tom McDermott,Todd Young,R,37.87,58.62,20.75,704480,1090390,385910,1860154,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Indiana
IN,2018,1,1,,Joe Donnelly,Mike Braun,D,44.84,50.73,5.89,1023553,1158000,134447,2282565,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Indiana
IN,2016,2,3,,Evan Bayh,Todd Young,None,42.41,52.11,9.70,1158947,1423991,265044,2732546,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_Indiana
IN,2012,1,1,,Joe Donnelly,Richard Mourdock,None,50.04,44.28,-5.76,1281181,1133621,-147560,2560102,https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_Indiana
KS,2022,2,3,,Mark Holland,Jerry Moran,R,37.04,60.00,22.96,372214,602976,230762,1004956,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Kansas
KS,2020,1,2,,Barbara Bollier,Roger Marshall,None,41.79,53.22,11.44,571530,727962,156432,1367755,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Kansas
KS,2016,2,3,,Patrick Wiesner,Jerry Moran,R,32.24,62.18,29.94,379740,732376,352636,1177922,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_Kansas
KS,2014,1,2,,Greg Orman (I),Pat Roberts,R,42.53,53.15,10.62,368372,460350,91978,866191,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Kansas
KY,2022,2,3,,Charles Booker,Rand Paul,R,38.19,61.80,23.62,564311,913326,349015,1477830,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Kentucky
KY,2020,1,2,,Amy McGrath,Mitch McConnell,R,38.23,57.76,19.53,816257,1233315,417058,2135057,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Kentucky
KY,2016,2,3,,Jim Gray,Rand Paul,R,42.72,57.27,14.55,813246,1090177,276931,1903465,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_Kentucky
KY,2014,1,2,,Alison Lundergan Grimes,Mitch McConnell,R,40.72,56.19,15.47,584698,806787,222089,1435868,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Kentucky
LA,2022,2,3,,Gary Chambers,John Kennedy,R,17.85,61.56,43.71,246933,851568,604635,1383290,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Louisiana
LA,2020,1,2,,Adrian Perkins,Bill Cassidy,R,19.02,59.32,40.30,394049,1228908,834859,2071543,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Louisiana
LA,2016,2,3,,Foster Campbell,John Kennedy,None,39.35,60.65,21.31,347816,536191,188375,884007,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_Louisiana
LA,2014,1,2,,Mary Landrieu,Bill Cassidy,D,44.07,55.93,11.87,561210,712379,151169,1273589,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Louisiana
MA,2024,1,1,,Elizabeth Warren,John Deaton,D,59.81,40.00,-19.81,2041693,1365445,-676248,3512866,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_Massachusetts
MA,2020,2,2,,Ed Markey,Kevin O'Connor,D,66.15,33.04,-33.11,2357809,1177765,-1180044,3658005,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Massachusetts
MA,2018,1,1,,Elizabeth Warren,Geoff Diehl,D,60.34,36.17,-24.16,1633371,979210,-654161,2752665,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Massachusetts
MA,2014,2,2,,Ed Markey,Brian Herr,D,61.87,37.98,-23.88,1289944,791950,-497994,2186789,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Massachusetts
MA,2012,1,1,,Elizabeth Warren,Scott Brown,R,53.74,46.19,-7.55,1696346,1458048,-238298,3184196,https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_Massachusetts
MD,2024,1,1,,Angela Alsobrooks,Larry Hogan,None,54.64,42.84,-11.80,1650912,1294344,-356568,3021378,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_Maryland
MD,2022,2,3,,Chris Van Hollen,Chris Chaffee,D,65.77,34.07,-31.69,1316897,682293,-634604,2002336,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Maryland
MD,2018,1,1,,Ben Cardin,Tony Campbell,D,64.86,30.31,-34.55,1491614,697017,-794597,2299889,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Maryland
MD,2016,2,3,,Chris Van Hollen,Kathy Szeliga,None,60.89,35.67,-25.21,1659907,972557,-687350,2726170,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_Maryland
MD,2012,1,1,,Ben Cardin,Dan Bongino,D,55.98,26.33,-29.65,1474028,693291,-780737,2633234,https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_Maryland
ME,2024,1,1,,Angus King (I),Demi Kouzounas,D,52.06,34.64,-17.42,427331,284338,-142993,820782,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_Maine
ME,2020,2,2,,Sara Gideon,Susan Collins,R,42.39,50.98,8.60,347223,417645,70422,828305,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Maine
ME,2018,1,1,,Angus King (I),Eric Brakey,D,54.31,35.23,-19.08,344575,223502,-121073,634345,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Maine
ME,2014,2,2,,Shenna Bellows,Susan Collins,R,31.50,68.46,36.96,190254,413505,223251,616996,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Maine
ME,2012,1,1,,Angus King (I),Charlie Summers,None,52.89,30.75,-22.14,370580,215399,-155181,678879,https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_Maine
MI,2024,1,1,,Elissa Slotkin,Mike Rogers,None,48.64,48.30,-0.34,2712686,2693680,-19006,5577187,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_Michigan
MI,2020,2,2,,Gary Peters,John James,D,49.90,48.22,-1.69,2734568,2642233,-92335,5479720,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Michigan
MI,2018,1,1,,Debbie Stabenow,John James,D,52.26,45.76,-6.51,2214478,1938818,-275660,4237271,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Michigan
MI,2014,2,2,,Gary Peters,Terri Lynn Land,None,54.61,41.33,-13.29,1704936,1290199,-414737,3121771,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Michigan
MI,2012,1,1,,Debbie Stabenow,Pete Hoekstra,D,58.80,37.98,-20.81,2735826,1767386,-968440,4652918,https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_Michigan
MN,2024,1,1,,Amy Klobuchar,Royce White,D,56.20,40.50,-15.70,1792441,1291712,-500729,3189323,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_Minnesota
