state_abbr,state_name,seat,class,type,next_election,race_desc,current_incumbent,party,dem_name,rep_name,incumbent,prob_dem,prob_rep,margin,proj_dem,proj_rep,rcp_dem,rcp_rep,kalshi_dem,kalshi_rep,poly_dem,poly_rep
SC,South Carolina,1,2,Regular,2026,TBD,Lindsey Graham,R,Annie Andrews,Lindsey Graham,R,0.14,0.86,8.5,45.75,54.25,N/A,N/A,0.14,0.86,N/A,N/A
KY,Kentucky,1,2,Regular,2026,TBD,Mitch McConnell,R,Charles Booker,Andy Barr,None,0.07,0.93,13.5,43.25,56.75,N/A,N/A,0.07,0.93,N/A,N/A
NH,New Hampshire,1,2,Regular,2026,TBD,Jeanne Shaheen,D,Chris Pappas,John Sununu,None,0.85,0.15,-4.5,52.25,47.75,N/A,N/A,0.85,0.15,N/A,N/A
AR,Arkansas,1,2,Regular,2026,TBD,Tom Cotton,R,Hallie Shoffner,Tom Cotton,R,0.04,0.96,21,39.5,60.5,N/A,N/A,0.04,0.96,N/A,N/A
LA,Louisiana,1,2,Regular,2026,TBD,Bill Cassidy,R,Jamie Davis,Bill Cassidy,R,0.09,0.91,20,40,60,N/A,N/A,0.09,0.91,N/A,N/A
OR,Oregon,1,2,Regular,2026,TBD,Jeff Merkley,D,Jeff Merkley,TBD,D,0.95,0.05,-17,58.5,41.5,N/A,N/A,0.95,0.05,N/A,N/A
CO,Colorado,1,2,Regular,2026,TBD,John Hickenlooper,D,John Hickenlooper,Mark Baisley,D,0.97,0.03,-14,57,43,N/A,N/A,0.97,0.03,N/A,N/A
GA,Georgia,1,2,Regular,2026,TBD,Jon Ossoff,D,Jon Ossoff,Mike Collins,D,0.65,0.35,-3.5,51.75,48.25,N/A,N/A,0.8,0.2,N/A,N/A
SD,South Dakota,1,2,Regular,2026,TBD,Mike Rounds,R,Julian Beaudion,Mike Rounds,R,0.06,0.94,27.5,36.25,63.75,N/A,N/A,0.06,0.94,N/A,N/A
IL,Illinois,1,2,Regular,2026,TBD,Dick Durbin,D,Juliana Stratton,Don Tracy,None,0.93,0.07,-15,57.5,42.5,N/A,N/A,0.93,0.07,N/A,N/A
AK,Alaska,1,2,Regular,2026,TBD,Dan Sullivan,R,Mary Peltola,Dan Sullivan,R,0.49,0.51,2,49,51,N/A,N/A,0.53,0.47,N/A,N/A
NC,North Carolina,1,2,Regular,2026,TBD,Thom Tillis,R,Roy Cooper,Michael Whatley,None,0.52,0.48,-5.5,52.75,47.25,N/A,N/A,0.52,0.48,N/A,N/A
KS,Kansas,1,2,Regular,2026,TBD,Roger Marshall,R,Sharice Davids,Roger Marshall,R,0.15,0.85,10.5,44.75,55.25,N/A,N/A,0.23,0.77,N/A,N/A
AL,Alabama,1,2,Regular,2026,TBD,Tommy Tuberville,R,TBD,Barry Moore,None,0.05,0.95,17.5,41.25,58.75,N/A,N/A,0.03,0.97,N/A,N/A
ID,Idaho,1,2,Regular,2026,TBD,Jim Risch,R,TBD,Jim Risch,R,0.07,0.93,24,38,62,N/A,N/A,0.07,0.93,N/A,N/A
OK,Oklahoma,1,2,Regular,2026,TBD,Markwayne Mullin,R,TBD,Kevin Hern,None,0.04,0.96,25,37.5,62.5,N/A,N/A,0.04,0.96,N/A,N/A
IA,Iowa,1,2,Regular,2026,TBD,Joni Ernst,R,Zach Wahls,Ashley Hinson,None,0.3,0.7,2.5,48.75,51.25,N/A,N/A,0.41,0.59,N/A,N/A
FL,Florida,2,3,Special,2026,TBD,Ashley Moody,R,Alexander Vindman,Ashley Moody,R,0.18,0.82,11.5,44.25,55.75,N/A,N/A,0.14,0.86,N/A,N/A
NM,New Mexico,2,2,Regular,2026,TBD,Ben Ray Lujan,D,Ben Ray Lujan,TBD,D,0.97,0.03,-48,74,26,N/A,N/A,0.97,0.03,N/A,N/A
DE,Delaware,2,2,Regular,2026,TBD,Chris Coons,D,Chris Coons,TBD,D,0.94,0.06,-20.5,60.25,39.75,N/A,N/A,0.94,0.06,N/A,N/A
NJ,New Jersey,2,2,Regular,2026,TBD,Cory Booker,D,Cory Booker,TBD,D,0.96,0.04,-14,57,43,N/A,N/A,0.96,0.04,N/A,N/A
NE,Nebraska,2,2,Regular,2026,TBD,Pete Ricketts,R,Dan Osborne (I),Pete Ricketts,R,0.27,0.73,7,46.5,53.5,N/A,N/A,0.27,0.73,N/A,N/A
MA,Massachusetts,2,2,Regular,2026,TBD,Ed Markey,D,Ed Markey,John Deaton,D,0.95,0.05,-28,64,36,N/A,N/A,0.95,0.05,N/A,N/A
ME,Maine,2,2,Regular,2026,TBD,Susan Collins,R,Grahama Platner,Susan Collins,R,0.6,0.4,-3.5,51.75,48.25,N/A,N/A,0.7,0.3,N/A,N/A
RI,Rhode Island,2,2,Regular,2026,TBD,Jack Reed,D,Jack Reed,Raymond McKay,D,0.96,0.04,-38,69,31,N/A,N/A,0.96,0.04,N/A,N/A
WY,Wyoming,2,2,Regular,2026,TBD,Cynthia Lummis,R,James Byrd,Harriet Hageman,None,0.03,0.97,45.5,27.25,72.75,N/A,N/A,0.03,0.97,N/A,N/A
WV,West Virginia,2,2,Regular,2026,TBD,Shelley Moore Capito,R,Jeff Kessler,Shelley Moore Capito,R,0.93,0.07,36.5,31.75,68.25,N/A,N/A,0.93,0.07,N/A,N/A
MI,Michigan,2,2,Regular,2026,TBD,Gary Peters,D,Mallory McMorrow,Mike Rogers,None,0.79,0.21,-1.2,50.6,49.4,N/A,N/A,0.79,0.21,N/A,N/A
VA,Virginia,2,2,Regular,2026,TBD,Mark Warner,D,Mark Warner,TBD,D,0.96,0.04,-14,57,43,N/A,N/A,0.96,0.04,N/A,N/A
MN,Minnesota,2,2,Regular,2026,TBD,Tina Smith,D,Peggy Flanagan,Michele Tafoya,None,0.9,0.1,-9.5,54.75,45.25,N/A,N/A,0.9,0.1,N/A,N/A
MT,Montana,2,2,Regular,2026,TBD,Steve Daines,R,Reilly Neill,Kurt Alme,None,0.21,0.79,12,44,56,N/A,N/A,0.21,0.79,N/A,N/A
MS,Mississippi,2,2,Regular,2026,TBD,Cindy Hyde-Smith,D,Scott Colom,Cindy Hyde-Smith,R,0.06,0.94,13,43.5,56.5,N/A,N/A,0.06,0.94,N/A,N/A
OH,Ohio,2,3,Special,2026,TBD,Jon Husted,R,Sherrod Brown,Jon Husted,R,0.48,0.52,1.5,49.25,50.75,N/A,N/A,0.52,0.48,N/A,N/A
TN,Tennessee,2,2,Regular,2026,TBD,Bill Hagerty,R,TBD,Bill Hagerty,R,0.07,0.93,26.5,36.75,63.25,N/A,N/A,0.07,0.93,N/A,N/A
TX,Texas,2,2,Regular,2026,TBD,John Cornyn,R,TBD,James Talarico,None,0.43,0.57,4.5,47.75,52.25,N/A,N/A,0.43,0.57,N/A,N/A
AL,Alabama,2,3,,2028,TBD,Katie Britt,R,,,,,,,,,,,,,,
