cycle,district,election,candidate,party,contributions,expenditures,status,data_through,tusa_candidate,race_url,incumbent
2018,1,"General Election November 6, 2018",Scott Wiggam,Republican,97841.11,71659.48,Won,12/31/2018,/oh/candidate/scott-wiggam-14360,/oh/race/ohio-house-of-representatives-district-1-827,True
2018,1,"General Election November 6, 2018",Kevin Barnet,Democratic,5609.36,6160.96,Lost,12/31/2018,/oh/candidate/kevin-barnet,/oh/race/ohio-house-of-representatives-district-1-827,False
2018,1,"General Election November 6, 2018",Elizabeth Thomas,Libertarian,0.0,0.0,Lost,12/31/2018,,/oh/race/ohio-house-of-representatives-district-1-827,False
2018,1,"Democratic Party Primary Election May 8, 2018",Kevin Barnet,Democratic,5609.36,6160.96,Advanced,12/31/2018,/oh/candidate/kevin-barnet,/oh/race/ohio-house-of-representatives-district-1-827,False
2018,1,"Republican Party Primary Election May 8, 2018",Scott Wiggam,Republican,97841.11,71659.48,Advanced,12/31/2018,/oh/candidate/scott-wiggam-14360,/oh/race/ohio-house-of-representatives-district-1-827,True
2018,2,"General Election November 6, 2018",Mark Romanchuk,Republican,179810.02,153212.28,Won,12/31/2018,/oh/candidate/mark-romanchuk-13721,/oh/race/ohio-house-of-representatives-district-2-1063,True
2018,2,"General Election November 6, 2018",Lane Winters,Democratic,12522.0,9884.61,Lost,12/31/2018,/oh/candidate/lane-winters,/oh/race/ohio-house-of-representatives-district-2-1063,False
2018,2,"General Election November 6, 2018",Tim Grady,Libertarian,64.03,0.0,Lost,12/31/2018,/oh/candidate/tim-grady,/oh/race/ohio-house-of-representatives-district-2-1063,False
2018,2,"Democratic Party Primary Election May 8, 2018",Lane Winters,Democratic,12522.0,9884.61,Advanced,12/31/2018,/oh/candidate/lane-winters,/oh/race/ohio-house-of-representatives-district-2-1063,False
2018,2,"Democratic Party Primary Election May 8, 2018",Amanda Spear,Democratic,0.0,0.0,Withdrew,12/31/2018,,/oh/race/ohio-house-of-representatives-district-2-1063,False
2018,2,"Republican Party Primary Election May 8, 2018",Mark Romanchuk,Republican,179810.02,153212.28,Advanced,12/31/2018,/oh/candidate/mark-romanchuk-13721,/oh/race/ohio-house-of-representatives-district-2-1063,True
2018,3,"General Election November 6, 2018",Theresa Gavarone,Republican,473579.86,214278.66,Won,12/31/2018,/oh/candidate/theresa-gavarone-14560,/oh/race/ohio-house-of-representatives-district-3-7658,True
2018,3,"General Election November 6, 2018",Daniel Gordon,Democratic,1230.85,4168.48,Withdrew,12/31/2018,/oh/candidate/daniel-gordon,/oh/race/ohio-house-of-representatives-district-3-7658,False
2018,3,"General Election November 6, 2018",Aidan Hubbell-Staeble,Democratic,5405.05,1443.75,Lost,12/31/2018,/oh/candidate/aidan-hubbell-staeble-15057,/oh/race/ohio-house-of-representatives-district-3-7658,False
