state_name,year,type,freq,dem_seats,rep_seats,oth_seats,total_seats,dem_seats_won,rep_seats_won,oth_seats_won,seats_up,dem_pct,rep_pct,oth_pct,margin,dem_votes,rep_votes,oth_votes,vote_margin,total_votes,note,source
Alabama,2022,House,4,28,77,0,105,28,77,0,105,24.7,72.9,2.4,48.2,297798,878801,29469,581003,1206068,,Klarner SLERS 1967-2022
Alabama,2018,House,4,28,77,0,105,28,77,0,105,36.5,62.8,0.8,26.3,552461,950420,11413,397959,1514294,,Klarner SLERS 1967-2022
Alaska,2024,House,2,14,21,5,40,14,21,5,40,25.7,56.5,17.8,30.8,74273,163207,51268,88934,288748,,MEDSL State Precinct-Level Returns 2024
Alaska,2022,House,2,13,21,6,40,13,20,7,40,28.5,57.0,14.6,28.5,67998,136126,34765,68128,238889,,Klarner SLERS 1967-2022
Alaska,2020,House,2,15,21,4,40,17,21,2,40,36.5,51.7,11.7,15.2,116228,164591,37270,48363,318089,,Klarner SLERS 1967-2022
Alaska,2018,House,2,16,23,1,40,16,23,1,40,40.7,52.6,6.7,11.9,107045,138238,17607,31193,262890,,Klarner SLERS 1967-2022
Alaska,2016,House,2,17,21,2,40,17,21,2,40,39.6,50.9,9.5,11.3,106352,136723,25527,30371,268602,,Klarner SLERS 1967-2022
Arizona,2024,House,2,27,33,0,60,27,33,0,60,44.3,54.7,1.0,10.5,1951102,2412962,43383,461860,4407447,,Wikipedia district tables
Arizona,2022,House,2,29,31,0,60,29,31,0,60,41.8,58.1,0.0,16.3,1544410,2146368,1347,601958,3692125,,Klarner SLERS 1967-2022
Arizona,2020,House,2,29,31,0,60,29,31,0,60,43.2,55.9,0.9,12.7,2175352,2813130,47477,637778,5035959,,Klarner SLERS 1967-2022
Arizona,2018,House,2,29,31,0,60,29,31,0,60,49.0,50.0,1.0,1.0,1826038,1861956,36442,35918,3724436,,Klarner SLERS 1967-2022
Arizona,2016,House,2,25,35,0,60,25,35,0,60,41.5,56.8,1.7,15.3,1485854,2032005,62102,546151,3579961,,Klarner SLERS 1967-2022
Arkansas,2024,House,2,19,81,0,100,19,81,0,100,27.7,70.9,1.4,43.3,299396,767520,15403,468124,1082319,,MEDSL State Precinct-Level Returns 2024
Arkansas,2022,House,2,18,82,0,100,18,82,0,100,23.6,71.8,4.6,48.2,193673,590016,37804,396343,821493,,Klarner SLERS 1967-2022
Arkansas,2020,House,2,23,77,0,100,22,78,0,100,28.0,70.5,1.5,42.5,309650,779920,16240,470270,1105810,3 contest(s) missing votes in source,Klarner SLERS 1967-2022
