state_name,year,type,dem_votes,rep_votes,oth_votes,total_votes,dem_seats_won,rep_seats_won,oth_seats_won,seats_up,total_seats,contests,uncontested,vote_missing_contests
Alabama,2018,House,552461,950420,11413,1514294,28.0,77.0,0.0,105,105,105,56,0
Alabama,2018,Senate,525581,943024,32467,1501072,8.0,27.0,0.0,35,35,35,20,0
Alabama,2022,House,297798,878801,29469,1206068,28.0,77.0,0.0,105,105,105,80,0
Alabama,2022,Senate,281312,891805,42544,1215661,8.0,27.0,0.0,35,35,35,27,0
Alaska,2016,House,106352,136723,25527,268602,17.0,21.0,2.0,40,40,40,17,0
Alaska,2016,Senate,36138,80123,14610,130871,3.0,7.0,0.0,10,20,10,7,0
Alaska,2018,House,107045,138238,17607,262890,16.0,23.0,1.0,40,40,40,8,0
Alaska,2018,Senate,51891,65376,6803,124070,4.0,6.0,0.0,10,20,10,4,0
Alaska,2020,House,116228,164591,37270,318089,17.0,21.0,2.0,40,40,40,20,0
Alaska,2020,Senate,47112,104991,24232,176335,3.0,8.0,0.0,11,20,11,5,0
Alaska,2022,House,67998,136126,34765,238889,13.0,20.0,7.0,40,40,40,24,0
Alaska,2022,Senate,68181,154004,13632,235817,8.0,11.0,0.0,19,20,19,11,0
Arizona,2016,House,1485854,2032005,62102,3579961,25.0,35.0,0.0,60,60,30,7,0
Arizona,2016,Senate,995357,1183722,20309,2199388,13.0,17.0,0.0,30,30,30,14,0
Arizona,2018,House,1826038,1861956,36442,3724436,29.0,31.0,0.0,60,60,30,5,0
Arizona,2018,Senate,1125010,1093513,42609,2261132,13.0,17.0,0.0,30,30,30,7,0
Arizona,2020,House,2175352,2813130,47477,5035959,29.0,31.0,0.0,60,60,30,5,0
Arizona,2020,Senate,1385094,1593364,0,2978458,14.0,16.0,0.0,30,30,30,10,0
Arizona,2022,House,1544410,2146368,1347,3692125,29.0,31.0,0.0,60,60,30,10,0
Arizona,2022,Senate,1045126,1254632,38649,2338407,14.0,16.0,0.0,30,30,30,10,0
Arkansas,2016,House,135246,205224,19475,359945,27.0,73.0,0.0,100,100,100,75,66
Arkansas,2016,Senate,88126,52753,15054,155933,4.0,13.0,0.0,17,35,17,14,12
Arkansas,2018,House,163317,246403,10614,420334,24.0,76.0,0.0,100,100,100,60,55
Arkansas,2018,Senate,87968,162598,19008,269574,5.0,13.0,0.0,18,35,18,11,8
Arkansas,2020,House,309650,779920,16240,1105810,22.0,78.0,0.0,100,100,100,62,3
Arkansas,2020,Senate,144986,372240,0,517226,2.0,15.0,0.0,17,35,17,9,0
Arkansas,2022,House,193673,590016,37804,821493,18.0,82.0,0.0,100,100,100,65,0
Arkansas,2022,Senate,187923,591186,42763,821872,6.0,29.0,0.0,35,35,35,22,0
California,2016,House,7929866,4849783,202742,12982391,55.0,25.0,0.0,80,80,80,21,0
California,2016,Senate,4769557,2250103,48316,7067976,16.0,4.0,0.0,20,40,20,6,0
California,2018,House,7872305,3710882,208786,11791973,60.0,20.0,0.0,80,80,80,21,0
California,2018,Senate,3562527,1742012,181191,5485730,14.0,6.0,0.0,20,40,20,6,0
California,2020,House,10079308,5722015,274610,16075933,60.0,19.0,1.0,80,80,80,22,0
California,2020,Senate,5796211,2832038,142336,8770585,17.0,3.0,0.0,20,40,20,5,0
California,2022,House,6252370,3958751,151942,10363063,62.0,18.0,0.0,80,80,80,22,0
California,2022,Senate,3201860,1825644,0,5027504,15.0,5.0,0.0,20,40,20,5,0
Colorado,2016,House,1201939,1238154,71677,2511770,37.0,28.0,0.0,65,65,65,13,0
Colorado,2016,Senate,697521,580873,23881,1302275,10.0,8.0,0.0,18,35,18,3,0
Colorado,2018,House,1321710,1025765,48618,2396093,41.0,24.0,0.0,65,65,65,8,0
Colorado,2018,Senate,608037,564971,24324,1197332,9.0,8.0,0.0,17,35,17,1,0
Colorado,2020,House,1642008,1331774,34286,3008068,41.0,24.0,0.0,65,65,65,9,0
Colorado,2020,Senate,920525,630299,33016,1583840,11.0,7.0,0.0,18,35,18,2,0
Colorado,2022,House,1271525,1093148,0,2364673,46.0,19.0,0.0,65,65,65,4,0
Colorado,2022,Senate,587511,602095,2264,1191870,11.0,6.0,0.0,17,35,17,2,0
Connecticut,2016,House,694700,763802,13708,1472210,79.0,72.0,0.0,151,151,151,45,0
Connecticut,2016,Senate,782220,748899,6641,1537760,18.0,18.0,0.0,36,36,36,4,0
Connecticut,2018,House,726316,603085,2312,1331713,92.0,59.0,0.0,151,151,151,23,0
Connecticut,2018,Senate,747054,615452,2963,1365469,23.0,13.0,0.0,36,36,36,2,0
Connecticut,2020,House,938314,747431,5805,1691550,97.0,54.0,0.0,151,151,151,32,0
Connecticut,2020,Senate,956559,752112,0,1708671,24.0,12.0,0.0,36,36,36,4,0
Connecticut,2022,House,619296,557662,3067,1180025,98.0,53.0,0.0,151,151,151,41,0
Connecticut,2022,Senate,661415,542650,8371,1212436,24.0,12.0,0.0,36,36,36,5,0
Delaware,2016,House,226083,149871,3184,379138,25.0,16.0,0.0,41,41,41,23,0
Delaware,2016,Senate,106963,97082,0,204045,6.0,5.0,0.0,11,21,11,5,0
Delaware,2018,House,199716,135694,2235,337645,26.0,15.0,0.0,41,41,41,15,0
Delaware,2018,Senate,94396,68613,0,163009,6.0,4.0,0.0,10,21,10,2,0
Delaware,2020,House,247294,179698,0,426992,26.0,15.0,0.0,41,41,41,22,0
Delaware,2020,Senate,130663,105142,0,235805,8.0,3.0,0.0,11,21,11,4,0
Delaware,2022,House,141731,145808,1723,289262,26.0,15.0,0.0,41,41,41,16,0
Delaware,2022,Senate,144368,132293,1527,278188,15.0,6.0,0.0,21,21,21,11,0
Florida,2016,House,2226861,3195961,175595,5598417,41.0,79.0,0.0,120,120,120,64,42
Florida,2016,Senate,2106459,3001015,163573,5271047,15.0,25.0,0.0,40,40,40,23,15
Florida,2018,House,2494934,3317691,78665,5891290,47.0,73.0,0.0,120,120,120,43,35
Florida,2018,Senate,1731686,2044404,0,3776090,7.0,15.0,0.0,22,40,22,5,3
Florida,2020,House,3796251,5075575,18959,8890785,42.0,78.0,0.0,120,120,120,25,24
Florida,2020,Senate,2642318,2663076,79463,5384857,9.0,12.0,0.0,21,40,21,3,1
Florida,2022,House,1924913,2770420,59462,4754795,35.0,85.0,0.0,120,120,120,53,45
Florida,2022,Senate,1813976,2827455,64119,4705550,12.0,28.0,0.0,40,40,40,17,15
Georgia,2016,House,1239831,2239064,7726,3486621,62.0,118.0,0.0,180,180,180,149,0
Georgia,2016,Senate,1260395,2247579,0,3507974,18.0,38.0,0.0,56,56,56,43,0
Georgia,2018,House,1582161,1893492,4595,3480248,75.0,105.0,0.0,180,180,180,112,0
Georgia,2018,Senate,1603472,1914110,0,3517582,21.0,35.0,0.0,56,56,56,33,0
Georgia,2020,House,2202542,2354424,0,4556966,77.0,103.0,0.0,180,180,180,94,0
Georgia,2020,Senate,2018895,2419281,0,4438176,22.0,34.0,0.0,56,56,56,28,0
Georgia,2022,House,1619542,1999536,0,3619078,79.0,101.0,0.0,180,180,180,94,0
Georgia,2022,Senate,1606415,1985311,0,3591726,23.0,33.0,0.0,56,56,56,30,0
Hawaii,2016,House,150146,72649,10412,233207,45.0,6.0,0.0,51,51,51,25,21
Hawaii,2016,Senate,110506,31025,8727,150258,14.0,0.0,0.0,14,25,14,9,5
Hawaii,2018,House,85915,49776,6802,142493,46.0,5.0,0.0,51,51,51,35,32
Hawaii,2018,Senate,73125,23618,8902,105645,12.0,1.0,0.0,13,25,13,8,5
Hawaii,2020,House,240042,105475,18712,364229,47.0,4.0,0.0,51,51,51,23,17
Hawaii,2020,Senate,112858,56447,10866,180171,13.0,1.0,0.0,14,25,14,8,6
