township,precinct,ballots,reg_voters,gov_d,gov_r,gov_total,gov_d_pct,gov_r_pct,gov_margin,sen_d,sen_r,sen_total,sen_d_pct,sen_r_pct,sen_margin,house_d,house_r,house_total,house_d_pct,house_r_pct,house_margin,house_dist,srep_d,srep_r,srep_total,srep_d_pct,srep_r_pct,srep_margin,srep_dist
Barberton,BARBERTON 1-A,364,833,127,227,354,35.9,64.1,-28.2,158,200,358,44.1,55.9,-11.7,154,200,354,43.5,56.5,-13,CD-13,149,211,360,41.4,58.6,-17.2,HD-32
Barberton,BARBERTON 1-B,360,838,123,223,346,35.5,64.5,-28.9,162,191,353,45.9,54.1,-8.2,159,195,354,44.9,55.1,-10.2,CD-13,144,210,354,40.7,59.3,-18.6,HD-32
Barberton,BARBERTON 1-C,432,905,149,263,412,36.2,63.8,-27.7,205,218,423,48.5,51.5,-3.1,200,214,414,48.3,51.7,-3.4,CD-13,182,236,418,43.5,56.5,-12.9,HD-32
Barberton,BARBERTON 2-A,472,939,166,293,459,36.2,63.8,-27.7,235,227,462,50.9,49.1,1.7,223,232,455,49,51,-2,CD-13,206,256,462,44.6,55.4,-10.8,HD-32
Barberton,BARBERTON 2-B,525,887,188,321,509,36.9,63.1,-26.1,261,256,517,50.5,49.5,1,260,248,508,51.2,48.8,2.4,CD-13,236,278,514,45.9,54.1,-8.2,HD-32
Barberton,BARBERTON 2-C,368,875,143,218,361,39.6,60.4,-20.8,187,176,363,51.5,48.5,3,182,175,357,51,49,2,CD-13,172,187,359,47.9,52.1,-4.2,HD-32
Barberton,BARBERTON 3-A,406,1052,248,144,392,63.3,36.7,26.5,280,119,399,70.2,29.8,40.4,280,119,399,70.2,29.8,40.4,CD-13,263,137,400,65.8,34.2,31.5,HD-32
Barberton,BARBERTON 3-B,503,946,237,253,490,48.4,51.6,-3.3,323,176,499,64.7,35.3,29.5,303,182,485,62.5,37.5,24.9,CD-13,288,202,490,58.8,41.2,17.6,HD-32
Barberton,BARBERTON 3-C,655,931,230,405,635,36.2,63.8,-27.6,322,323,645,49.9,50.1,-0.2,306,332,638,48,52,-4.1,CD-13,287,349,636,45.1,54.9,-9.7,HD-32
Barberton,BARBERTON 4-A,242,740,94,145,239,39.3,60.7,-21.3,116,121,237,48.9,51.1,-2.1,113,118,231,48.9,51.1,-2.2,CD-13,113,125,238,47.5,52.5,-5,HD-32
Barberton,BARBERTON 4-B,249,754,113,127,240,47.1,52.9,-5.8,141,105,246,57.3,42.7,14.6,130,114,244,53.3,46.7,6.6,CD-13,128,117,245,52.2,47.8,4.5,HD-32
Barberton,BARBERTON 4-C,354,808,139,208,347,40.1,59.9,-19.9,176,170,346,50.9,49.1,1.7,166,178,344,48.3,51.7,-3.5,CD-13,152,195,347,43.8,56.2,-12.4,HD-32
Barberton,BARBERTON 5-A,311,756,110,193,303,36.3,63.7,-27.4,129,175,304,42.4,57.6,-15.1,141,163,304,46.4,53.6,-7.2,CD-13,122,182,304,40.1,59.9,-19.7,HD-32
Barberton,BARBERTON 5-B,364,785,147,207,354,41.5,58.5,-16.9,180,176,356,50.6,49.4,1.1,175,174,349,50.1,49.9,0.3,CD-13,168,189,357,47.1,52.9,-5.9,HD-32
Barberton,BARBERTON 5-C,298,737,120,173,293,41,59,-18.1,151,142,293,51.5,48.5,3.1,146,143,289,50.5,49.5,1,CD-13,132,160,292,45.2,54.8,-9.6,HD-32
Barberton,BARBERTON 6-A,495,784,171,309,480,35.6,64.4,-28.7,233,250,483,48.2,51.8,-3.5,225,255,480,46.9,53.1,-6.2,CD-13,209,273,482,43.4,56.6,-13.3,HD-32
Barberton,BARBERTON 6-B,308,759,93,207,300,31,69,-38,131,171,302,43.4,56.6,-13.2,130,167,297,43.8,56.2,-12.5,CD-13,112,181,293,38.2,61.8,-23.5,HD-32
Barberton,BARBERTON 6-C,434,825,145,275,420,34.5,65.5,-31,202,226,428,47.2,52.8,-5.6,193,225,418,46.2,53.8,-7.7,CD-13,178,239,417,42.7,57.3,-14.6,HD-32
Bath TWP,BATH TWP A,694,995,244,435,679,35.9,64.1,-28.1,324,362,686,47.2,52.8,-5.5,320,351,671,47.7,52.3,-4.6,CD-13,268,409,677,39.6,60.4,-20.8,HD-31
Bath TWP,BATH TWP B,639,929,207,413,620,33.4,66.6,-33.2,272,357,629,43.2,56.8,-13.5,260,360,620,41.9,58.1,-16.1,CD-13,231,402,633,36.5,63.5,-27,HD-31
Bath TWP,BATH TWP C,830,1214,270,547,817,33,67,-33.9,367,451,818,44.9,55.1,-10.3,350,451,801,43.7,56.3,-12.6,CD-13,277,540,817,33.9,66.1,-32.2,HD-31
Bath TWP,BATH TWP D,670,943,307,345,652,47.1,52.9,-5.8,382,280,662,57.7,42.3,15.4,366,276,642,57,43,14,CD-13,323,333,656,49.2,50.8,-1.5,HD-31
Bath TWP,BATH TWP E,690,967,294,379,673,43.7,56.3,-12.6,354,325,679,52.1,47.9,4.3,346,330,676,51.2,48.8,2.4,CD-13,304,374,678,44.8,55.2,-10.3,HD-31
Bath TWP,BATH TWP F,653,924,285,355,640,44.5,55.5,-10.9,343,306,649,52.9,47.1,5.7,338,304,642,52.6,47.4,5.3,CD-13,303,340,643,47.1,52.9,-5.8,HD-31
Bath TWP,BATH TWP G,774,1094,284,469,753,37.7,62.3,-24.6,367,399,766,47.9,52.1,-4.2,361,389,750,48.1,51.9,-3.7,CD-13,308,448,756,40.7,59.3,-18.5,HD-31
Bath TWP,BATH TWP H,604,895,345,246,591,58.4,41.6,16.8,405,189,594,68.2,31.8,36.4,396,193,589,67.2,32.8,34.5,CD-13,359,235,594,60.4,39.6,20.9,HD-31
Boston Heights,BOSTON HTS VILL,718,1075,220,480,700,31.4,68.6,-37.1,292,413,705,41.4,58.6,-17.2,287,403,690,41.6,58.4,-16.8,CD-13,249,445,694,35.9,64.1,-28.2,HD-31
Boston TWP,BOSTON TWP,360,551,150,202,352,42.6,57.4,-14.8,175,179,354,49.4,50.6,-1.1,170,179,349,48.7,51.3,-2.6,CD-13,158,190,348,45.4,54.6,-9.2,HD-31
Copley,COPLEY TWP A,623,1037,333,270,603,55.2,44.8,10.4,394,218,612,64.4,35.6,28.8,387,216,603,64.2,35.8,28.4,CD-13,361,248,609,59.3,40.7,18.6,HD-31
Copley,COPLEY TWP B,560,967,291,251,542,53.7,46.3,7.4,331,216,547,60.5,39.5,21,328,214,542,60.5,39.5,21,CD-13,315,231,546,57.7,42.3,15.4,HD-31
Copley,COPLEY TWP C,611,1037,302,290,592,51,49,2,356,244,600,59.3,40.7,18.7,355,233,588,60.4,39.6,20.7,CD-13,328,270,598,54.8,45.2,9.7,HD-31
Copley,COPLEY TWP D,632,1012,229,373,602,38,62,-23.9,289,328,617,46.8,53.2,-6.3,286,323,609,47,53,-6.1,CD-13,251,359,610,41.1,58.9,-17.7,HD-31
Copley,COPLEY TWP E,713,1033,252,446,698,36.1,63.9,-27.8,323,383,706,45.8,54.2,-8.5,309,378,687,45,55,-10,CD-13,275,411,686,40.1,59.9,-19.8,HD-31
Copley,COPLEY TWP F,830,1353,390,426,816,47.8,52.2,-4.4,488,332,820,59.5,40.5,19,482,333,815,59.1,40.9,18.3,CD-13,413,402,815,50.7,49.3,1.3,HD-31
Copley,COPLEY TWP G,854,1353,395,444,839,47.1,52.9,-5.8,493,351,844,58.4,41.6,16.8,485,341,826,58.7,41.3,17.4,CD-13,443,392,835,53.1,46.9,6.1,HD-31
Copley,COPLEY TWP H,640,1070,291,333,624,46.6,53.4,-6.7,365,267,632,57.8,42.2,15.5,356,264,620,57.4,42.6,14.8,CD-13,308,317,625,49.3,50.7,-1.4,HD-31
Copley,COPLEY TWP I,557,960,243,291,534,45.5,54.5,-9,309,236,545,56.7,43.3,13.4,296,238,534,55.4,44.6,10.9,CD-13,267,264,531,50.3,49.7,0.6,HD-31
Copley,COPLEY TWP J,760,1087,298,445,743,40.1,59.9,-19.8,370,378,748,49.5,50.5,-1.1,347,384,731,47.5,52.5,-5.1,CD-13,307,433,740,41.5,58.5,-17,HD-31
Copley,COPLEY TWP K,688,1034,320,353,673,47.5,52.5,-4.9,396,285,681,58.1,41.9,16.3,387,277,664,58.3,41.7,16.6,CD-13,349,320,669,52.2,47.8,4.3,HD-31
Copley,COPLEY TWP L,752,1102,329,403,732,44.9,55.1,-10.1,434,306,740,58.6,41.4,17.3,419,312,731,57.3,42.7,14.6,CD-13,373,352,725,51.4,48.6,2.9,HD-31
Cuyahoga Falls,CUY FALLS 1-A,570,1105,292,264,556,52.5,47.5,5,341,217,558,61.1,38.9,22.2,347,209,556,62.4,37.6,24.8,CD-13,337,219,556,60.6,39.4,21.2,HD-34
Cuyahoga Falls,CUY FALLS 1-B,498,1127,292,200,492,59.3,40.7,18.7,333,158,491,67.8,32.2,35.6,322,162,484,66.5,33.5,33.1,CD-13,311,177,488,63.7,36.3,27.5,HD-34
Cuyahoga Falls,CUY FALLS 1-C,440,991,222,207,429,51.7,48.3,3.5,271,162,433,62.6,37.4,25.2,262,170,432,60.6,39.4,21.3,CD-13,258,173,431,59.9,40.1,19.7,HD-34
Cuyahoga Falls,CUY FALLS 1-D,511,955,243,255,498,48.8,51.2,-2.4,294,208,502,58.6,41.4,17.1,288,202,490,58.8,41.2,17.6,CD-13,283,216,499,56.7,43.3,13.4,HD-34
Cuyahoga Falls,CUY FALLS 2-A,417,878,213,192,405,52.6,47.4,5.2,263,152,415,63.4,36.6,26.7,259,148,407,63.6,36.4,27.3,CD-13,248,156,404,61.4,38.6,22.8,HD-34
Cuyahoga Falls,CUY FALLS 2-B,415,811,220,185,405,54.3,45.7,8.6,265,145,410,64.6,35.4,29.3,257,144,401,64.1,35.9,28.2,CD-13,254,153,407,62.4,37.6,24.8,HD-34
Cuyahoga Falls,CUY FALLS 2-C,543,842,282,239,521,54.1,45.9,8.3,335,201,536,62.5,37.5,25,328,204,532,61.7,38.3,23.3,CD-13,328,206,534,61.4,38.6,22.8,HD-34
Cuyahoga Falls,CUY FALLS 2-D,436,837,220,206,426,51.6,48.4,3.3,258,171,429,60.1,39.9,20.3,246,175,421,58.4,41.6,16.9,CD-13,243,180,423,57.4,42.6,14.9,HD-34
Cuyahoga Falls,CUY FALLS 2-E,461,829,236,212,448,52.7,47.3,5.4,287,159,446,64.3,35.7,28.7,271,167,438,61.9,38.1,23.7,CD-13,263,178,441,59.6,40.4,19.3,HD-34
Cuyahoga Falls,CUY FALLS 3-A,531,859,253,263,516,49,51,-1.9,311,212,523,59.5,40.5,18.9,310,206,516,60.1,39.9,20.2,CD-13,300,218,518,57.9,42.1,15.8,HD-34
Cuyahoga Falls,CUY FALLS 3-B,564,829,299,253,552,54.2,45.8,8.3,362,196,558,64.9,35.1,29.7,352,193,545,64.6,35.4,29.2,CD-13,338,213,551,61.3,38.7,22.7,HD-34
Cuyahoga Falls,CUY FALLS 3-C,587,907,274,291,565,48.5,51.5,-3,344,239,583,59,41,18,336,235,571,58.8,41.2,17.7,CD-13,314,257,571,55,45,10,HD-34
Cuyahoga Falls,CUY FALLS 3-D,570,880,291,265,556,52.3,47.7,4.7,334,226,560,59.6,40.4,19.3,328,233,561,58.5,41.5,16.9,CD-13,314,243,557,56.4,43.6,12.7,HD-34
Cuyahoga Falls,CUY FALLS 3-E,518,918,278,230,508,54.7,45.3,9.4,340,170,510,66.7,33.3,33.3,324,178,502,64.5,35.5,29.1,CD-13,320,183,503,63.6,36.4,27.2,HD-34
Cuyahoga Falls,CUY FALLS 4-A,346,829,206,128,334,61.7,38.3,23.4,225,118,343,65.6,34.4,31.2,225,113,338,66.6,33.4,33.1,CD-13,215,127,342,62.9,37.1,25.7,HD-34
Cuyahoga Falls,CUY FALLS 4-B,457,847,227,217,444,51.1,48.9,2.3,270,184,454,59.5,40.5,18.9,267,177,444,60.1,39.9,20.3,CD-13,255,195,450,56.7,43.3,13.3,HD-34
Cuyahoga Falls,CUY FALLS 4-C,521,884,273,239,512,53.3,46.7,6.6,319,194,513,62.2,37.8,24.4,312,198,510,61.2,38.8,22.4,CD-13,302,211,513,58.9,41.1,17.7,HD-34
Cuyahoga Falls,CUY FALLS 4-D,488,872,255,223,478,53.3,46.7,6.7,301,178,479,62.8,37.2,25.7,295,177,472,62.5,37.5,25,CD-13,293,181,474,61.8,38.2,23.6,HD-34
Cuyahoga Falls,CUY FALLS 4-E,464,821,218,234,452,48.2,51.8,-3.5,267,189,456,58.6,41.4,17.1,263,185,448,58.7,41.3,17.4,CD-13,248,198,446,55.6,44.4,11.2,HD-34
Cuyahoga Falls,CUY FALLS 5-A,295,782,143,140,283,50.5,49.5,1.1,179,112,291,61.5,38.5,23,169,115,284,59.5,40.5,19,CD-13,174,119,293,59.4,40.6,18.8,HD-34
Cuyahoga Falls,CUY FALLS 5-B,563,782,230,319,549,41.9,58.1,-16.2,313,242,555,56.4,43.6,12.8,306,241,547,55.9,44.1,11.9,CD-13,287,261,548,52.4,47.6,4.7,HD-34
Cuyahoga Falls,CUY FALLS 5-C,557,1008,267,267,534,50,50,0,343,204,547,62.7,37.3,25.4,332,205,537,61.8,38.2,23.6,CD-13,327,222,549,59.6,40.4,19.1,HD-34
Cuyahoga Falls,CUY FALLS 5-D,522,856,234,275,509,46,54,-8.1,311,201,512,60.7,39.3,21.5,300,196,496,60.5,39.5,21,CD-13,285,219,504,56.5,43.5,13.1,HD-34
Cuyahoga Falls,CUY FALLS 5-E,442,872,226,206,432,52.3,47.7,4.6,283,150,433,65.4,34.6,30.7,270,155,425,63.5,36.5,27.1,CD-13,268,165,433,61.9,38.1,23.8,HD-34
Cuyahoga Falls,CUY FALLS 6-A,482,823,206,265,471,43.7,56.3,-12.5,244,224,468,52.1,47.9,4.3,243,218,461,52.7,47.3,5.4,CD-13,230,238,468,49.1,50.9,-1.7,HD-34
Cuyahoga Falls,CUY FALLS 6-B,504,839,211,280,491,43,57,-14.1,270,227,497,54.3,45.7,8.7,270,220,490,55.1,44.9,10.2,CD-13,255,239,494,51.6,48.4,3.2,HD-34
Cuyahoga Falls,CUY FALLS 6-C,475,854,234,227,461,50.8,49.2,1.5,276,192,468,59,41,17.9,278,179,457,60.8,39.2,21.7,CD-13,255,206,461,55.3,44.7,10.6,HD-34
Cuyahoga Falls,CUY FALLS 6-D,437,768,225,198,423,53.2,46.8,6.4,266,163,429,62,38,24,265,158,423,62.6,37.4,25.3,CD-13,263,161,424,62,38,24.1,HD-34
Cuyahoga Falls,CUY FALLS 6-E,447,792,218,215,433,50.3,49.7,0.7,262,171,433,60.5,39.5,21,254,176,430,59.1,40.9,18.1,CD-13,244,187,431,56.6,43.4,13.2,HD-34
Cuyahoga Falls,CUY FALLS 7-A,513,857,262,235,497,52.7,47.3,5.4,290,213,503,57.7,42.3,15.3,288,210,498,57.8,42.2,15.7,CD-13,276,228,504,54.8,45.2,9.5,HD-34
Cuyahoga Falls,CUY FALLS 7-B,371,849,176,186,362,48.6,51.4,-2.8,199,165,364,54.7,45.3,9.3,210,152,362,58,42,16,CD-13,197,167,364,54.1,45.9,8.2,HD-34
Cuyahoga Falls,CUY FALLS 7-C,403,673,169,217,386,43.8,56.2,-12.4,211,183,394,53.6,46.4,7.1,214,169,383,55.9,44.1,11.7,CD-13,197,194,391,50.4,49.6,0.8,HD-34
Cuyahoga Falls,CUY FALLS 7-D,427,853,193,229,422,45.7,54.3,-8.5,230,192,422,54.5,45.5,9,229,188,417,54.9,45.1,9.8,CD-13,222,196,418,53.1,46.9,6.2,HD-34
Cuyahoga Falls,CUY FALLS 7-E,499,825,236,253,489,48.3,51.7,-3.5,273,223,496,55,45,10.1,273,212,485,56.3,43.7,12.6,CD-13,261,225,486,53.7,46.3,7.4,HD-34
Cuyahoga Falls,CUY FALLS 8-A,629,996,214,394,608,35.2,64.8,-29.6,284,338,622,45.7,54.3,-8.7,276,328,604,45.7,54.3,-8.6,CD-13,252,363,615,41,59,-18,HD-34
Cuyahoga Falls,CUY FALLS 8-B,615,967,258,334,592,43.6,56.4,-12.8,329,278,607,54.2,45.8,8.4,325,275,600,54.2,45.8,8.3,CD-13,307,288,595,51.6,48.4,3.2,HD-34
Cuyahoga Falls,CUY FALLS 8-C,708,1072,307,391,698,44,56,-12,361,336,697,51.8,48.2,3.6,360,327,687,52.4,47.6,4.8,CD-13,345,343,688,50.1,49.9,0.3,HD-34
Cuyahoga Falls,CUY FALLS 8-D,650,935,288,345,633,45.5,54.5,-9,341,304,645,52.9,47.1,5.7,323,309,632,51.1,48.9,2.2,CD-13,319,316,635,50.2,49.8,0.5,HD-34
Cuyahoga Falls,CUY FALLS 8-E,925,1366,357,553,910,39.2,60.8,-21.5,440,462,902,48.8,51.2,-2.4,441,455,896,49.2,50.8,-1.6,CD-13,414,484,898,46.1,53.9,-7.8,HD-34
