Pollster,Date,Sample,Approve,Disapprove,Diff
Big Data Poll,7/27 - 7/29,2617 LV,39,59,-20
CNN,7/23 - 7/27,RV,35,65,-30
Rasmussen Reports,7/26 - 7/30,1500 LV,44,55,-11
Quinnipiac,7/23 - 7/27,963 RV,32,58,-26
Morning Consult,7/24 - 7/26,2200 RV,45,52,-7
Reuters/Ipsos,7/24 - 7/26,1003 RV,39,60,-21
RMG Research*,7/20 - 7/29,3000 RV,43,55,-12
Economist/YouGov,7/25 - 7/27,1407 RV,39,59,-20
AP/NORC**,7/23 - 7/27,1165 A,33,66,-33
CBS News,7/22 - 7/24,2193 A,39,61,-22
Emerson,7/19 - 7/20,1100 LV,39,57,-18
Daily Mail,7/17 - 7/20,1000 RV,44,56,-12
FOX News,7/17 - 7/20,1003 RV,39,61,-22
Economist/YouGov,7/17 - 7/20,1432 RV,40,58,-18
Morning Consult,7/17 - 7/19,2200 RV,44,53,-9
RMG Research*,7/13 - 7/21,2000 RV,46,52,-6
Harvard-Harris,7/11 - 7/12,1776 RV,42,54,-12
Wash Post/Ipsos,7/8 - 7/13,2092 RV,40,59,-19
Echelon Insights**,7/9 - 7/13,1004 LV,38,61,-23
Morning Consult,7/10 - 7/13,2200 RV,45,52,-7
Economist/YouGov,7/10 - 7/13,1450 RV,40,58,-18
CNBC,7/8 - 7/12,1000 RV,40,59,-19
RMG Research*,7/6 - 7/14,2000 RV,44,53,-9
2Way/HarrisX,7/9 - 7/10,787 LV,45,54,-9
Pew Research,7/6 - 7/12,3554 A,34,64,-30
2Way/HarrisX,7/6 - 7/7,1008 RV,43,54,-11
Morning Consult,7/3 - 7/6,2200 RV,45,53,-8
Economist/YouGov,7/3 - 7/6,1443 RV,40,58,-18
Quantus Insights,7/3 - 7/7,1140 LV,43,55,-12
I&I/TIPP,6/29 - 7/2,1473 A,38,54,-16
Financial Times,6/26 - 6/29,1795 RV,36,56,-20
Economist/YouGov,6/26 - 6/29,1428 RV,40,58,-18
Morning Consult,6/26 - 6/28,2202 RV,43,55,-12
Big Data Poll,6/26 - 6/28,2604 LV,44,53,-9
Economist/YouGov,6/19 - 6/22,1517 RV,39,58,-19
Morning Consult,6/19 - 6/22,2200 RV,43,54,-11
Quinnipiac,6/18 - 6/22,1165 RV,38,55,-17
Echelon Insights**,6/18 - 6/22,1003 LV,41,58,-17
Daily Mail,6/19 - 6/21,1040 RV,47,53,-6
Reuters/Ipsos,6/18 - 6/21,978 RV,37,62,-25
RMG Research*,6/15 - 6/23,3000 RV,43,55,-12
CBS News,6/17 - 6/19,2519 A,38,62,-24
Quantus Insights,6/16 - 6/17,1000 LV,43,56,-13
RMG Research*,6/10 - 6/18,3000 RV,43,55,-12
FOX News,6/12 - 6/15,1002 RV,39,60,-21
Reuters/Ipsos,6/12 - 6/15,1537 A,36,62,-26
Economist/YouGov,6/13 - 6/15,1403 RV,41,56,-15
AP/NORC**,6/11 - 6/17,3040 A,37,62,-25
Morning Consult,6/12 - 6/15,2200 RV,43,53,-10
Echelon Insights**,6/11 - 6/14,1012 RV,40,59,-19
Marquette,6/9 - 6/15,1213 RV,40,60,-20
NPR/PBS/Marist,6/8 - 6/11,1162 RV,38,59,-21
Emerson,6/7 - 6/8,1000 LV,39,55,-16
RMG Research*,6/3 - 6/11,3000 RV,42,56,-14
Economist/YouGov,6/5 - 6/8,1438 RV,39,59,-20
Morning Consult,6/5 - 6/7,2200 RV,44,53,-9
Reuters/Ipsos,6/3 - 6/8,3578 RV,39,61,-22
NBC News,5/29 - 6/7,2400 RV,42,57,-15
Quantus Insights,6/1 - 6/2,1050 LV,42,56,-14
Financial Times,5/29 - 6/1,1537 RV,38,56,-18
Economist/YouGov,5/29 - 6/1,1453 RV,39,60,-21
Forbes/HarrisX,5/20 - 6/7,1137 LV,44,52,-8
RMG Research*,5/26 - 6/4,3000 RV,44,55,-11
Harvard-Harris,5/29 - 5/31,1725 RV,43,53,-10
I&I/TIPP,5/26 - 5/28,1589 A,37,54,-17
Big Data Poll,5/24 - 5/27,2784 LV,41,57,-16
Emerson,5/24 - 5/25,1000 LV,39,55,-16
Economist/YouGov,5/22 - 5/26,1397 RV,38,60,-22
Marquette,5/20 - 5/26,857 RV,41,59,-18
Morning Consult,5/22 - 5/24,2204 RV,43,54,-11
RMG Research*,5/18 - 5/26,3000 RV,43,55,-12
FOX News,5/15 - 5/18,1002 RV,39,61,-22
Economist/YouGov,5/15 - 5/18,1380 RV,41,57,-16
Daily Mail,5/15 - 5/18,1003 RV,43,57,-14
Reuters/Ipsos,5/15 - 5/18,984 RV,38,61,-23
Data for Progress**,5/15 - 5/18,1149 LV,43,56,-13
Echelon Insights**,5/14 - 5/18,1008 LV,40,59,-19
Quinnipiac,5/14 - 5/18,1106 RV,34,58,-24
RMG Research*,5/13 - 5/21,3000 RV,42,57,-15
Morning Consult,5/15 - 5/17,2203 RV,42,55,-13
AP/NORC**,5/14 - 5/18,1117 A,37,62,-25
CBS News,5/13 - 5/15,2064 A,37,63,-26
New York Times,5/11 - 5/15,1507 RV,37,59,-22
Wall Street Journal,5/7 - 5/18,1500 RV,41,57,-16
Economist/YouGov,5/9 - 5/11,1410 RV,41,57,-16
Reuters/Ipsos,5/8 - 5/11,1254 A,36,62,-26
RMG Research*,5/5 - 5/14,3000 RV,42,57,-15
Atlas Intel,5/4 - 5/7,2069 A,40,60,-20
Financial Times,5/1 - 5/5,3167 RV,39,54,-15
Forbes/HarrisX,4/29 - 5/5,1888 RV,41,56,-15
Rasmussen Reports,5/3 - 5/7,1500 LV,42,56,-14
Economist/YouGov,5/1 - 5/4,1409 RV,40,58,-18
CNN,4/30 - 5/4,RV,36,63,-27
Morning Consult,4/30 - 5/3,2200 RV,44,53,-9
RMG Research*,4/29 - 5/6,3000 RV,41,58,-17
I&I/TIPP,4/28 - 5/1,1464 A,38,54,-16
NPR/PBS/Marist,4/27 - 4/30,1155 RV,39,59,-20
InsiderAdvantage,4/26 - 4/27,800 LV,44,49,-5
Rasmussen Reports,4/26 - 4/30,1500 LV,43,56,-13
Big Data Poll,4/25 - 4/28,3176 RV,40,57,-17
ABC/Wash Post/Ipsos,4/24 - 4/28,2059 RV,39,60,-21
Morning Consult,4/24 - 4/27,2201 RV,45,53,-8
Economist/YouGov,4/24 - 4/27,1647 RV,40,57,-17
Reuters/Ipsos,4/24 - 4/27,1014 RV,37,62,-25
RMG Research*,4/22 - 4/30,3000 RV,42,57,-15
Emerson,4/24 - 4/26,1000 LV,40,56,-16
Harvard-Harris,4/23 - 4/26,2745 RV,42,53,-11
Pew Research,4/20 - 4/26,5103 A,34,64,-30
Quantus Insights,4/21 - 4/23,1452 LV,43,56,-13
Rasmussen Reports,4/19 - 4/23,1500 LV,44,54,-10
FOX News,4/17 - 4/20,1001 RV,42,58,-16
Morning Consult,4/17 - 4/20,2203 RV,44,53,-9
Economist/YouGov,4/17 - 4/20,1553 RV,41,56,-15
Echelon Insights**,4/17 - 4/20,1012 LV,41,57,-16
RMG Research*,4/14 - 4/23,3000 RV,42,55,-13
AP/NORC**,4/16 - 4/20,2596 A,33,67,-34
Reuters/Ipsos,4/15 - 4/20,4557 A,36,62,-26
CNBC,4/15 - 4/19,1000 RV,40,58,-18
Rasmussen Reports,4/12 - 4/16,1500 LV,43,54,-11
Quinnipiac,4/9 - 4/13,1028 RV,38,55,-17
Marquette,4/8 - 4/16,870 RV,41,59,-18
Economist/YouGov,4/10 - 4/13,1573 RV,41,58,-17
Morning Consult,4/10 - 4/12,2201 RV,44,53,-9
RMG Research*,4/8 - 4/15,3000 RV,45,53,-8
CBS News,4/8 - 4/10,2387 A,39,61,-22
Daily Mail,4/8 - 4/8,1013 RV,43,57,-14
Rasmussen Reports,4/5 - 4/9,1500 LV,45,54,-9
NBC News Decision Desk,3/30 - 4/13,32433 A,37,63,-26
RMG Research*,4/1 - 4/9,4000 RV,45,54,-9
Economist/YouGov,4/3 - 4/6,1560 RV,41,56,-15
Morning Consult,4/3 - 4/5,2200 RV,45,52,-7
I&I/TIPP,3/31 - 4/2,1464 A,39,53,-14
Rasmussen Reports,3/29 - 4/2,1500 LV,46,52,-6
RMG Research*,3/25 - 4/2,3000 RV,40,58,-18
Economist/YouGov,3/27 - 3/30,1505 RV,39,58,-19
CNN,3/26 - 3/30,951 RV,38,62,-24
Morning Consult,3/27 - 3/29,2203 RV,43,54,-11
Harvard-Harris,3/25 - 3/26,2009 RV,43,53,-10
Quantus Insights,3/25 - 3/26,1472 LV,42,57,-15
Rasmussen Reports,3/22 - 3/26,1500 LV,44,55,-11
Daily Mail,3/23 - 3/24,1019 RV,46,54,-8
Big Data Poll,3/22 - 3/24,3003 RV,42,56,-14
FOX News,3/20 - 3/23,1001 RV,41,59,-18
Economist/YouGov,3/20 - 3/23,1502 RV,41,55,-14
Reuters/Ipsos,3/20 - 3/23,1272 A,36,62,-26
RMG Research*,3/18 - 3/26,3000 RV,45,54,-9
Morning Consult,3/20 - 3/22,2200 RV,43,54,-11
Quinnipiac,3/19 - 3/23,1191 RV,38,56,-18
AP/NORC**,3/19 - 3/23,1150 A,38,60,-22
