chamber,district,seats,dem_votes,rep_votes,oth_votes,total_votes
Senate,Addison,2,17938,5290,8899,32127
Senate,Bennington,2,27845,0,3934,31779
Senate,Caledonia,2,10967,9818,167,20952
Senate,Chittenden,6,403297,90414,40059,533770
Senate,Essex-Orleans,2,18799,0,3000,21799
Senate,Franklin,2,12745,21867,30,34642
Senate,Grand Isle,1,13903,0,342,14245
Senate,Lamoille,1,0,9099,121,9220
Senate,Orange,1,5167,3842,11,9020
Senate,Rutland,3,35265,39792,87,75144
Senate,Washington,3,43995,21962,2652,68609
Senate,Windham,2,31483,5067,4395,40945
Senate,Windsor,3,54796,26455,2684,83935
