state,county_name,county_id,dem_2008,gop_2008,oth_2008,total_2008,dem_2012,gop_2012,oth_2012,total_2012,dem_2016,gop_2016,oth_2016,total_2016,dem_2020,gop_2020,oth_2020,total_2020,dem_2024,gop_2024,oth_2024,total_2024
AK,Aleutians East,02013,,,,,,,,,,,,,,,,,,,,
AK,Aleutians West,02016,,,,,,,,,,,,,,,,,,,,
AK,Anchorage,02020,,,,,,,,,,,,,,,,,,,,
AK,Bethel,02050,,,,,,,,,,,,,,,,,,,,
AK,Bristol Bay,02060,,,,,,,,,,,,,,,,,,,,
AK,Denali,02068,,,,,,,,,,,,,,,,,,,,
AK,Dillingham,02070,,,,,,,,,,,,,,,,,,,,
AK,Fairbanks North Star,02090,,,,,,,,,,,,,,,,,,,,
AK,Haines,02100,,,,,,,,,,,,,,,,,,,,
AK,Hoonah-Angoon,02105,,,,,,,,,,,,,,,,,,,,
AK,Juneau,02110,,,,,,,,,,,,,,,,,,,,
AK,Kenai Peninsula,02122,,,,,,,,,,,,,,,,,,,,
AK,Ketchikan Gateway,02130,,,,,,,,,,,,,,,,,,,,
AK,Kodiak Island,02150,,,,,,,,,,,,,,,,,,,,
AK,Kusilvak,02158,,,,,,,,,,,,,,,,,,,,
AK,Lake and Peninsula,02164,,,,,,,,,,,,,,,,,,,,
AK,Matanuska-Susitna,02170,,,,,,,,,,,,,,,,,,,,
AK,Nome,02180,,,,,,,,,,,,,,,,,,,,
AK,North Slope,02185,,,,,,,,,,,,,,,,,,,,
AK,Northwest Arctic,02188,,,,,,,,,,,,,,,,,,,,
AK,Petersburg,02195,,,,,,,,,,,,,,,,,,,,
AK,Prince of Wales-Hyder,02198,,,,,,,,,,,,,,,,,,,,
AK,Sitka,02220,,,,,,,,,,,,,,,,,,,,
AK,Skagway,02230,,,,,,,,,,,,,,,,,,,,
AK,Southeast Fairbanks,02240,,,,,,,,,,,,,,,,,,,,
AK,Valdez-Cordova,02261,,,,,,,,,,,,,,,,,,,,
AK,Wrangell,02275,,,,,,,,,,,,,,,,,,,,
AK,Yakutat,02282,,,,,,,,,,,,,,,,,,,,
